기준일자,유형,연관검색어,검색일자,검색량,InfoData,RisingMonth
2024-03-26,월별규칙성,전세권설정,2021-09-13,87.23477006401431,91.93,1.0
2024-03-26,월별규칙성,주식장,2021-07-19,9.749190630569016,91.69,5.0
2024-03-26,월별규칙성,주식장,2021-08-16,21.803151112334998,91.69,11.0
2024-03-26,월별규칙성,주식장,2021-09-13,14.57379207564552,91.69,12.0
2024-03-26,월별규칙성,주택관리사,2021-07-19,94.81962226149732,90.83,5.0
2024-03-26,월별규칙성,주택관리사,2021-08-16,69.56067245251751,90.83,7.0
2024-03-26,월별규칙성,주택관리사,2021-09-13,82.45381558251121,90.83,10.0
2024-03-26,월별규칙성,주택관리사,2021-10-11,73.26340091677235,90.83,11.0
2024-03-26,월별규칙성,주택관리사,2021-11-08,90.72992635014234,90.83,1.0
2024-03-26,월별규칙성,직계존속,2021-07-19,24.795654034591017,92.37,5.0
2024-03-26,월별규칙성,직계존속,2021-08-16,25.032830711040727,92.37,8.0
2024-03-26,월별규칙성,직계존속,2021-09-13,26.132692119648055,92.37,10.0
2024-03-26,월별규칙성,직계존속,2021-10-11,26.525664807282595,92.37,12.0
2024-03-26,월별규칙성,직계존속,2021-11-08,25.022366507584742,92.37,1.0
2024-03-26,월별규칙성,질권설정,2021-07-19,84.1331943445087,92.87,10.0
2024-03-26,월별규칙성,질권설정,2021-08-16,78.30391867286346,92.87,11.0
2024-03-26,월별규칙성,질권설정,2021-09-13,85.24315249530041,92.87,1.0
2024-03-26,월별규칙성,차용,2021-07-19,77.60083908619427,91.28,3.0
2024-03-26,월별규칙성,차용,2021-08-16,70.9239326547704,91.28,4.0
2024-03-26,월별규칙성,차용,2021-09-13,77.68167334552602,91.28,10.0
2024-03-26,월별규칙성,차용증법적효력,2021-07-19,87.64015049743708,90.79,5.0
2024-03-26,월별규칙성,차용증법적효력,2021-08-16,80.33901148414753,90.79,7.0
2024-03-26,월별규칙성,차용증법적효력,2021-09-13,86.01571444854909,90.79,1.0
