기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||[저녁브리핑] 나홀로 치솟는 솔라나…밈코인 투자 과열 우려 목소리도|||https://www.tokenpost.kr/article-169945|||0.0%||||||비트코인가격||||||
"2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||'밈코인 열풍'에  DEX 로 몰린 코인족…제로엑스, 일주일간 36%↑[특징코인]|||https://n.news.naver.com/mnews/article/421/0007422237?sid=101|||0.0%||||||가상화폐시세||||||"
"2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||[주간 디지털 자산 시장 브리핑] 가상화폐, 코스피와 동반 상승|||https://www.khgames.co.kr/news/articleView.html?idxno=225833|||0.0%||||||코인거래소||||||"
2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||[디센터 스냅샷]가상자산 영입인재 '0'명···무지의 악순환 끊어야|||https://decenter.kr/NewsView/2D6P48AA2R|||0.0%||||||블록체인||||||
2024-03-21|||주별 급상승|||가상자산|||디지털자산|||14010.0|||24.02%|||김남국의 더불어민주연합 입당에 “순수한 마음”이라는 박지원…“당을 향한...|||https://n.news.naver.com/mnews/article/022/0003916356?sid=100|||6.7%||||||비트코인시세||||||
2024-03-21|||주별 급상승|||가상자산|||디지털자산|||14010.0|||24.02%|||'테라·루나' 사태 권도형 한국행 확정…배상은?|||https://www.ziksir.com/news/articleView.html?idxno=54172|||6.7%||||||이더리움시세||||||
2024-03-21|||주별 급상승|||가상자산|||디지털자산|||14010.0|||24.02%|||[SECON & eGISEC 2024] ‘2024년 정보보호 R&D 기술이전 설명회’ 성료|||http://www.boannews.com/media/view.asp?idx=127932&kind=|||6.7%||||||리플시세||||||
"2024-03-21|||주별 급상승|||가상자산|||디지털자산|||14010.0|||24.02%|||페이코인, 일본 스타트업과 함께 상반기 내 싱가포르 결제 시작|||https://www.etoday.co.kr/news/view/2342542|||6.7%||||||코인시세||||||"
2024-03-21|||주별 급상승|||가상자산|||디지털자산|||14010.0|||24.02%|||‘테라·루나 사태’ 핵심 권도형 한국행 최종 확정|||https://n.news.naver.com/mnews/article/028/0002681830?sid=101|||6.7%||||||비트코인하는법||||||
"2024-03-21|||주별 급상승|||가상자산|||디지털자산|||14010.0|||24.02%|||거물급 변호사 등에 업은 권도형, 미국 100년형 피했다|||https://n.news.naver.com/mnews/article/055/0001140497?sid=104|||6.7%||||||가상화폐||||||"
