기준일자,유형,연관검색어,검색키워드,검색량,지표,뉴스제목,뉴스링크,활동성,구글검색어,네이버검색어,상승월
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,카드 쓰고 못 갚는 고객 늘었다…건전성 리스크 관리 '불똥',https://www.asiatime.co.kr/article/20240318500201,93.6%, ,이자계산기, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,"美 연준 덕에  비트코인  8%↑…""연내 금리인하""",http://www.edaily.co.kr/news/newspath.asp?newsid=01908966638825616,44.7%, ,삼성전자주가, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,FOMC 결과에  비트코인  급반등…가상자산 관련주 강세,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202403210049&t=NN,44.7%, ,미국증시, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%, 비트코인  다시 1억원 근접하자…가상자산 관련주 일제히 '반등',http://news.mt.co.kr/mtview.php?no=2024032109145040831,44.7%, ,달러환율, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,"""땡큐 파월""…다시 폭발한  비트코인 , 8900만원→1억원 탈환",https://www.newsis.com/view/?id=NISX20240321_0002669178&cID=15001&pID=15000,44.7%, ,부동산, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,""" 비트코인 , 금리 인하 시 급등할 것""...""BTC, 블랙스완 없으면 강세장 지속 될...",http://coinreaders.com/103353,44.7%, ,나스닥선물, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,[특징주] '금리 인하 기대'  비트코인  반등에 관련주 강세,https://www.etoday.co.kr/news/view/2342478,44.7%, ,나스닥, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,"""땡큐 파월""  비트코인  단숨에1000만원 반등…또 1억 넘본다[ 코인 브리핑]",https://www.news1.kr/articles/5357683,44.7%, ,대출계산기, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,"올해  비트코인 전망 , '점도표'에 주목해야하는 이유",https://www.digitaltoday.co.kr/news/articleView.html?idxno=510391,44.7%, ,유럽증시, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,美 FOMC 5회 연속 금리동결....올해 3회 인하  전망  그대로,https://www.tokenpost.kr/article-170218,44.7%, ,대출이자계산기, 
2024-03-21,주별 급상승,비트코인전망,"금리, 암호화폐",112800.0,0.66%,[정의길 국제경제 톺아보기] '인공지능 주가 폭등'은 거품일까,https://www.businesspost.co.kr/BP?command=article_view&num=346334,44.7%, ,이자계산기, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"신한카드, AI 기반 혁신 가속화",https://www.dailian.co.kr/news/view/1341666/?sc=Naver,34.7%, ,삼성전자주가, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"신한카드, 인공지능 기반 혁신 가속화",http://www.paxetv.com/news/articleView.html?idxno=199156,34.7%, ,대출이자계산기, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"신한카드, 'AI 5025' 프로젝트 추진…AI 기반 혁신 가속화",https://www.etoday.co.kr/news/view/2342443,34.7%, ,적금, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"광진구, 513억원 규모 '특별융자'... '업체당 최대 7000만원'",http://www.hg-times.com/news/articleView.html?idxno=259753,34.7%, ,주식시세, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"신한카드, 2025년까지 AI 상담  비중 50%로 확대",http://www.seoulfn.com/news/articleView.html?idxno=514044,34.7%, ,에코프로주가, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"신한카드, AI 기반 혁신 가속화…‘AI 5025’ 프로젝트 가동",https://www.ebn.co.kr/news/view/1616667/?sc=Naver,34.7%, ,예금금리, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"신한카드, ‘AI 기반 혁신’ 가속화",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202403210915376490805,34.7%, ,대출, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"신한카드, AI 대전환 실현",https://www.newsclaim.co.kr/news/articleView.html?idxno=3028892,34.7%, ,ETF, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"신한카드,AI 기반 혁신 가속화  'AI 5025' 프로젝트 추진",http://www.issuenbiz.com/news/articleView.html?idxno=39683,34.7%, ,금리, 
2024-03-21,주별 급상승,대출상담,"금융상품, CMA통장, CMA금리비교",7910.0,4.26%,"용인병 부승찬 ""수지 소상공인지원센터 설립 및 지역화폐 확대""",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003012531&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,34.7%, ,정기예금금리비교, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,"2030 직장인, 月 100만원씩 꼬박꼬박 1년 모았더니…",https://www.hankyung.com/article/2024032029391,52.0%, ,삼성전자주가, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,"1위 카카오뱅크 주가·2위 제주은행 주가·3위 우리금융지주 주가, 3월 3주차...",https://www.stardailynews.co.kr/news/articleView.html?idxno=440572,52.0%, ,대출이자계산기, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,지난해 카드사 순이익 소폭 감소…연체율 9년 만에 최고치,https://www.kgnews.co.kr/news/article.html?no=785880,52.0%, ,적금, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,"1위 예스24·2위 카카오뱅크·3위 NH투자증권, 2024년 3월 2주차 테마별 주식...",https://www.stardailynews.co.kr/news/articleView.html?idxno=439831,52.0%, ,주식시세, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,"[딜링룸 백브리핑] 모틀리풀 ""평생 월세 내고 살아도 괜찮아""",https://news.einfomax.co.kr/news/articleView.html?idxno=4301773,52.0%, ,에코프로주가, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,오직 사회 초년생을 위한 재테크 입문서,https://www.harpersbazaar.co.kr/article/1861711,52.0%, ,예금금리, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,"1위 카카오뱅크 주가·2위 우리금융지주 주가·3위 하나금융지주 주가, 3월 2...",https://www.stardailynews.co.kr/news/articleView.html?idxno=439410,52.0%, ,대출, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,노후비용 계산 후 자녀 지원 기준 세워야[정경아의 퇴직생활백서],https://www.donga.com/news/Opinion/article/all/20240310/123903132/1,52.0%, ,ETF, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,초단시간 알바는 ‘노동하는 사람’ 아닌가요?,http://www.ildaro.com/9853,52.0%, ,금리, 
2024-03-21,주별 급상승,비상금대출,금융상품,69900.0,10.92%,"[비바100] '차곡차곡 불려드림, 더 크게 돌려드림'…금융권, '청년 정책 금융...",https://www.viva100.com/main/view.php?key=20240305010000138,52.0%, ,정기예금금리비교, 
