date,NPL
2022-12-17,23.31536
2022-12-18,26.28032
2022-12-19,43.9353
2022-12-20,55.5256
2022-12-21,50.53908
2022-12-22,52.15633
2022-12-23,50.80862
2022-12-24,19.27223
2022-12-25,20.08086
2022-12-26,44.60916
2022-12-27,42.72237
2022-12-28,45.14824
2022-12-29,38.00539
2022-12-30,28.97574
2022-12-31,18.32884
2023-01-01,17.25067
2023-01-02,42.99191
2023-01-03,51.75202
2023-01-04,58.35579
2023-01-05,51.21293
2023-01-06,48.24797
2023-01-07,22.50673
2023-01-08,22.91105
2023-01-09,50.94339
2023-01-10,55.12129
2023-01-11,54.31266
2023-01-12,50.80862
2023-01-13,47.70889
2023-01-14,28.30188
2023-01-15,20.08086
2023-01-16,44.74393
2023-01-17,49.32614
2023-01-18,47.97843
2023-01-19,48.78706
2023-01-20,36.38814
2023-01-21,16.03773
2023-01-22,16.03773
2023-01-23,16.03773
2023-01-24,23.5849
2023-01-25,56.06469
2023-01-26,50.94339
2023-01-27,39.89218
2023-01-28,22.37196
2023-01-29,21.15902
2023-01-30,47.43935
2023-01-31,49.0566
2023-02-01,53.77358
2023-02-02,45.41778
2023-02-03,39.21832
2023-02-04,19.81132
2023-02-05,25.20215
2023-02-06,48.38274
2023-02-07,46.76549
2023-02-08,45.28301
2023-02-09,47.03504
2023-02-10,40.29649
2023-02-11,22.23719
2023-02-12,23.04582
2023-02-13,47.84366
2023-02-14,47.57412
2023-02-15,42.45283
2023-02-16,51.21293
2023-02-17,45.01347
2023-02-18,18.05929
2023-02-19,19.27223
2023-02-20,44.8787
2023-02-21,47.97843
2023-02-22,42.45283
2023-02-23,37.87061
2023-02-24,39.89218
2023-02-25,23.04582
2023-02-26,18.32884
2023-02-27,39.48787
2023-02-28,32.47978
2023-03-01,23.18059
2023-03-02,37.87061
2023-03-03,36.92722
2023-03-04,24.5283
2023-03-05,23.71967
2023-03-06,50.53908
2023-03-07,46.49595
2023-03-08,42.45283
2023-03-09,44.8787
2023-03-10,40.02695
2023-03-11,22.50673
2023-03-12,23.31536
2023-03-13,50.80862
2023-03-14,54.58221
2023-03-15,51.61725
2023-03-16,42.5876
2023-03-17,40.02695
2023-03-18,19.13746
2023-03-19,20.48517
2023-03-20,44.07008
2023-03-21,44.8787
2023-03-22,45.8221
2023-03-23,43.66576
2023-03-24,42.45283
2023-03-25,21.42857
2023-03-26,22.23719
2023-03-27,38.00539
2023-03-28,42.85714
2023-03-29,44.60916
2023-03-30,44.20485
2023-03-31,37.73584
2023-04-01,20.21563
2023-04-02,18.19407
2023-04-03,41.37466
2023-04-04,46.22641
2023-04-05,45.14824
2023-04-06,74.5283
2023-04-07,53.2345
2023-04-08,30.9973
2023-04-09,33.42318
2023-04-10,51.75202
2023-04-11,52.83018
2023-04-12,50.94339
2023-04-13,50.67385
2023-04-14,44.60916
2023-04-15,25.87601
2023-04-16,22.37196
2023-04-17,45.14824
2023-04-18,52.02156
2023-04-19,58.08625
2023-04-20,58.08625
2023-04-21,47.03504
2023-04-22,26.01078
2023-04-23,23.98921
2023-04-24,54.31266
2023-04-25,59.16442
2023-04-26,50.40431
2023-04-27,51.48247
2023-04-28,57.54716
2023-04-29,31.67115
2023-04-30,25.47169
2023-05-01,30.59299
2023-05-02,57.95148
2023-05-03,44.74393
2023-05-04,45.01347
2023-05-05,20.3504
2023-05-06,21.15902
2023-05-07,22.50673
2023-05-08,46.76549
2023-05-09,47.70889
2023-05-10,50.13477
2023-05-11,51.3477
2023-05-12,39.08355
2023-05-13,20.75471
2023-05-14,20.21563
2023-05-15,38.81401
2023-05-16,43.80053
2023-05-17,45.68733
2023-05-18,52.15633
2023-05-19,40.43126
2023-05-20,26.41509
2023-05-21,22.37196
2023-05-22,42.45283
2023-05-23,44.8787
2023-05-24,47.30458
2023-05-25,40.02695
2023-05-26,35.1752
2023-05-27,17.1159
