date,전세자금대출금리비교
2021-11-27,1.73913
2021-11-29,2.31884
2021-11-30,4.63768
2021-12-01,4.92753
2021-12-03,5.50724
2021-12-04,1.44927
2021-12-05,2.89855
2021-12-06,5.21739
2021-12-07,4.34782
2021-12-08,5.50724
2021-12-09,1.73913
2021-12-10,4.05797
2021-12-12,1.44927
2021-12-13,7.82608
2021-12-14,6.95652
2021-12-15,6.37681
2021-12-16,2.02898
2021-12-17,1.73913
2021-12-18,1.73913
2021-12-20,3.76811
2021-12-21,5.7971
2021-12-22,5.50724
2021-12-23,4.63768
2021-12-24,3.76811
2021-12-27,6.66666
2021-12-28,4.63768
2021-12-29,4.63768
2021-12-30,1.73913
2022-01-02,2.02898
2022-01-03,6.66666
2022-01-04,7.24637
2022-01-05,4.63768
2022-01-06,7.53623
2022-01-07,6.37681
2022-01-09,2.02898
2022-01-10,4.63768
2022-01-11,7.53623
2022-01-12,9.27536
2022-01-13,8.9855
2022-01-14,6.37681
2022-01-15,1.44927
2022-01-16,1.44927
2022-01-17,6.66666
2022-01-18,8.69565
2022-01-19,6.66666
2022-01-20,3.76811
2022-01-21,3.1884
2022-01-22,3.1884
2022-01-23,1.44927
2022-01-24,8.11594
2022-01-25,4.34782
2022-01-26,8.11594
2022-01-27,4.92753
2022-01-28,3.76811
2022-01-29,1.73913
2022-02-02,2.89855
2022-02-03,8.69565
2022-02-04,8.11594
2022-02-06,1.73913
2022-02-07,4.05797
2022-02-08,6.08695
2022-02-09,4.63768
2022-02-10,3.47826
2022-02-11,2.31884
2022-02-12,3.47826
2022-02-13,2.31884
2022-02-14,1.73913
2022-02-15,6.37681
2022-02-16,5.21739
2022-02-17,6.37681
2022-02-18,4.63768
2022-02-19,2.31884
2022-02-21,1.73913
2022-02-22,2.89855
2022-02-23,5.7971
2022-02-24,1.73913
2022-02-25,4.34782
2022-02-26,1.73913
2022-02-28,6.08695
2022-03-01,2.02898
2022-03-02,5.21739
2022-03-03,4.34782
2022-03-04,6.95652
2022-03-06,2.89855
2022-03-07,6.66666
2022-03-08,4.34782
2022-03-10,4.92753
2022-03-11,3.76811
2022-03-12,4.92753
2022-03-13,2.60869
2022-03-14,8.40579
2022-03-15,4.05797
2022-03-16,4.34782
2022-03-17,1.44927
2022-03-18,6.08695
2022-03-20,3.1884
2022-03-21,4.63768
2022-03-22,5.7971
2022-03-23,7.24637
2022-03-24,6.08695
2022-03-25,4.92753
2022-03-26,1.73913
2022-03-27,2.02898
2022-03-28,8.9855
2022-03-29,6.08695
2022-03-30,6.37681
2022-03-31,1.73913
2022-04-01,4.34782
2022-04-02,1.44927
2022-04-04,9.56521
2022-04-05,4.63768
2022-04-06,5.7971
2022-04-07,5.50724
2022-04-08,2.02898
2022-04-09,2.31884
2022-04-11,5.7971
2022-04-12,5.50724
2022-04-13,5.7971
2022-04-14,5.50724
2022-04-15,3.76811
2022-04-16,1.44927
2022-04-18,5.50724
2022-04-19,4.34782
2022-04-20,2.31884
2022-04-21,3.1884
2022-04-22,2.02898
2022-04-25,5.7971
2022-04-26,4.63768
2022-04-27,3.76811
2022-04-28,2.60869
2022-04-29,4.05797
2022-04-30,1.73913
2022-05-02,4.34782
2022-05-03,4.34782
2022-05-04,4.34782
2022-05-06,3.1884
2022-05-07,2.89855
2022-05-08,1.73913
2022-05-09,6.66666
2022-05-11,1.44927
2022-05-12,1.73913
2022-05-13,3.47826
2022-05-16,6.37681
2022-05-17,3.76811
2022-05-18,4.92753
2022-05-19,4.63768
2022-05-20,3.1884
2022-05-23,3.76811
2022-05-24,3.1884
2022-05-25,4.63768
2022-05-26,8.40579
2022-05-27,1.73913
2022-05-28,3.47826
2022-05-30,3.47826
2022-05-31,5.50724
2022-06-01,2.31884
2022-06-02,1.73913
2022-06-03,4.92753
2022-06-06,1.44927
2022-06-07,4.34782
2022-06-08,5.50724
2022-06-09,4.63768
2022-06-10,1.44927
2022-06-11,2.02898
2022-06-13,4.92753
2022-06-14,4.63768
2022-06-15,4.92753
2022-06-16,8.40579
2022-06-17,5.50724
2022-06-18,2.89855
2022-06-19,1.44927
2022-06-20,4.05797
2022-06-21,9.56521
2022-06-22,5.7971
2022-06-23,5.50724
2022-06-24,5.50724
2022-06-25,1.73913
2022-06-26,1.73913
2022-06-27,5.7971
2022-06-28,4.92753
2022-06-29,4.05797
2022-06-30,3.47826
2022-07-01,4.34782
2022-07-02,2.89855
2022-07-03,2.31884
2022-07-04,8.69565
2022-07-05,6.08695
2022-07-06,4.63768
2022-07-07,6.66666
2022-07-08,4.63768
2022-07-09,1.44927
2022-07-10,1.44927
2022-07-11,7.82608
2022-07-12,8.69565
2022-07-13,9.27536
2022-07-14,5.7971
2022-07-15,5.50724
2022-07-16,1.73913
2022-07-17,2.02898
2022-07-18,6.37681
2022-07-19,14.49275
2022-07-20,7.24637
2022-07-21,5.50724
2022-07-22,5.7971
2022-07-23,4.05797
2022-07-24,1.73913
2022-07-25,5.7971
2022-07-26,7.53623
2022-07-27,7.24637
2022-07-28,4.34782
2022-07-29,6.66666
2022-07-31,3.47826
2022-08-01,9.85507
2022-08-02,6.37681
2022-08-03,4.63768
2022-08-04,2.60869
2022-08-05,9.27536
2022-08-06,2.60869
2022-08-07,5.7971
2022-08-08,7.82608
2022-08-09,5.50724
2022-08-10,6.66666
2022-08-11,7.53623
2022-08-12,4.34782
2022-08-15,1.73913
2022-08-16,5.21739
2022-08-17,7.82608
2022-08-18,6.08695
2022-08-19,5.21739
2022-08-20,3.76811
2022-08-21,1.44927
2022-08-22,15.65217
2022-08-23,9.85507
2022-08-24,11.01449
2022-08-25,11.01449
2022-08-26,11.30434
2022-08-27,1.73913
2022-08-28,4.34782
2022-08-29,11.01449
2022-08-30,8.9855
2022-08-31,6.66666
2022-09-01,8.11594
2022-09-02,7.24637
2022-09-03,4.34782
2022-09-04,2.60869
2022-09-05,11.30434
2022-09-06,10.72463
2022-09-07,7.82608
2022-09-08,5.7971
2022-09-11,3.47826
2022-09-12,3.76811
2022-09-13,11.30434
2022-09-14,11.88405
2022-09-15,17.10144
2022-09-16,20.28985
2022-09-17,4.34782
2022-09-18,3.76811
2022-09-19,9.85507
2022-09-20,13.62318
2022-09-21,10.43478
2022-09-22,8.69565
2022-09-23,10.43478
2022-09-24,4.63768
2022-09-25,2.60869
2022-09-26,11.30434
2022-09-27,10.72463
2022-09-28,11.5942
2022-09-29,8.40579
2022-09-30,9.85507
2022-10-01,7.53623
2022-10-02,7.24637
2022-10-03,8.40579
2022-10-04,20.57971
2022-10-05,18.84057
2022-10-06,19.42028
2022-10-07,13.33333
2022-10-08,4.05797
2022-10-09,6.08695
2022-10-10,10.72463
2022-10-11,15.07246
2022-10-12,22.60869
2022-10-13,19.71014
2022-10-14,14.7826
2022-10-15,10.43478
2022-10-16,8.40579
2022-10-17,21.15942
2022-10-18,18.84057
2022-10-19,15.36231
2022-10-20,20.86956
2022-10-21,17.3913
2022-10-22,3.76811
2022-10-23,10.14492
2022-10-24,15.07246
2022-10-25,15.07246
2022-10-26,15.65217
2022-10-27,17.97101
2022-10-28,11.01449
2022-10-29,5.21739
2022-10-30,3.76811
2022-10-31,17.68115
2022-11-01,17.97101
2022-11-02,17.3913
2022-11-03,19.71014
2022-11-04,14.20289
2022-11-05,6.95652
2022-11-06,6.37681
2022-11-07,22.89855
2022-11-08,24.34782
2022-11-09,15.94202
2022-11-10,15.65217
2022-11-11,11.30434
2022-11-12,7.53623
2022-11-13,4.63768
2022-11-14,17.68115
2022-11-15,19.42028
2022-11-16,19.42028
2022-11-17,14.49275
2022-11-18,14.20289
2022-11-19,8.40579
2022-11-20,3.76811
2022-11-21,17.10144
2022-11-22,17.97101
2022-11-23,13.62318
2022-11-24,17.97101
2022-11-25,14.49275
2022-11-26,6.95652
2022-11-27,9.27536
2022-11-28,19.42028
2022-11-29,13.91304
2022-11-30,17.10144
2022-12-01,16.52173
2022-12-02,12.75362
2022-12-03,4.34782
2022-12-04,4.92753
2022-12-05,23.47826
2022-12-06,18.26086
2022-12-07,15.36231
2022-12-08,17.10144
2022-12-09,19.13043
2022-12-10,8.69565
2022-12-11,9.27536
2022-12-12,23.1884
2022-12-13,14.7826
2022-12-14,18.84057
2022-12-15,15.94202
2022-12-16,13.33333
2022-12-17,11.01449
2022-12-18,8.40579
2022-12-19,15.36231
2022-12-20,21.44927
2022-12-21,15.65217
2022-12-22,15.07246
2022-12-23,11.5942
2022-12-24,5.50724
2022-12-25,2.89855
2022-12-26,11.01449
2022-12-27,18.84057
2022-12-28,18.84057
2022-12-29,9.27536
2022-12-30,12.75362
2022-12-31,4.63768
2023-01-01,6.08695
2023-01-02,19.42028
2023-01-03,17.10144
2023-01-04,13.62318
2023-01-05,12.46376
2023-01-06,13.91304
2023-01-07,9.27536
2023-01-08,8.40579
2023-01-09,26.37681
2023-01-10,17.10144
2023-01-11,15.65217
2023-01-12,19.42028
2023-01-13,12.75362
2023-01-14,3.47826
2023-01-15,5.21739
2023-01-16,17.97101
2023-01-17,20.57971
2023-01-18,11.88405
2023-01-19,13.91304
2023-01-20,10.72463
2023-01-21,2.31884
2023-01-22,4.92753
2023-01-23,2.60869
2023-01-24,11.01449
2023-01-25,20.57971
2023-01-26,24.34782
2023-01-27,14.49275
2023-01-28,11.01449
2023-01-29,9.27536
2023-01-30,16.52173
2023-01-31,21.73913
2023-02-01,20.28985
2023-02-02,19.42028
2023-02-03,13.33333
2023-02-04,6.37681
2023-02-05,8.9855
2023-02-06,22.02898
2023-02-07,19.13043
2023-02-08,18.55072
2023-02-09,15.36231
2023-02-10,17.10144
2023-02-11,7.82608
2023-02-12,8.69565
2023-02-13,19.42028
2023-02-14,26.08695
2023-02-15,23.1884
2023-02-16,16.23188
2023-02-17,13.91304
2023-02-18,7.82608
2023-02-19,7.53623
2023-02-20,19.42028
2023-02-21,24.05797
2023-02-22,18.84057
2023-02-23,24.92753
2023-02-24,17.10144
2023-02-25,5.7971
2023-02-26,2.60869
2023-02-27,26.08695
2023-02-28,16.81159
2023-03-01,11.01449
2023-03-02,17.3913
2023-03-03,15.94202
2023-03-04,10.43478
2023-03-05,11.5942
2023-03-06,18.55072
2023-03-07,19.13043
2023-03-08,13.62318
2023-03-09,17.3913
2023-03-10,15.94202
2023-03-11,8.40579
2023-03-12,3.76811
2023-03-13,14.49275
2023-03-14,14.20289
2023-03-15,16.81159
2023-03-16,18.26086
2023-03-17,8.9855
2023-03-18,10.14492
2023-03-19,8.11594
2023-03-20,18.26086
2023-03-21,19.71014
2023-03-22,19.13043
2023-03-23,20.0
2023-03-24,15.65217
2023-03-25,7.82608
2023-03-26,7.24637
2023-03-27,28.40579
2023-03-28,24.92753
2023-03-29,19.42028
2023-03-30,20.0
2023-03-31,13.62318
2023-04-01,6.66666
2023-04-02,11.88405
2023-04-03,21.73913
2023-04-04,21.44927
2023-04-05,20.0
2023-04-06,18.84057
2023-04-07,17.97101
2023-04-08,11.88405
2023-04-09,6.37681
2023-04-10,22.31884
2023-04-11,18.26086
2023-04-12,22.31884
2023-04-13,19.42028
2023-04-14,14.7826
2023-04-15,8.69565
2023-04-16,8.40579
2023-04-17,24.05797
2023-04-18,17.10144
2023-04-19,13.62318
2023-04-20,13.91304
2023-04-21,13.33333
2023-04-22,4.63768
2023-04-23,9.85507
2023-04-24,20.28985
2023-04-25,21.44927
2023-04-26,17.3913
2023-04-27,12.75362
2023-04-28,13.04347
2023-04-29,6.66666
2023-04-30,7.53623
2023-05-01,9.56521
2023-05-02,19.13043
2023-05-03,22.02898
2023-05-04,20.57971
2023-05-05,6.66666
2023-05-06,10.43478
2023-05-07,11.30434
2023-05-08,26.37681
2023-05-09,22.02898
2023-05-10,15.36231
2023-05-11,13.33333
2023-05-12,17.10144
2023-05-13,9.56521
2023-05-14,12.17391
2023-05-15,24.05797
2023-05-16,24.34782
2023-05-17,20.0
2023-05-18,15.94202
2023-05-19,15.94202
2023-05-20,5.21739
2023-05-21,6.08695
2023-05-22,20.28985
2023-05-23,22.89855
2023-05-24,14.49275
2023-05-25,19.42028
2023-05-26,21.15942
2023-05-27,5.7971
2023-05-28,7.82608
2023-05-29,8.69565
2023-05-30,30.72463
2023-05-31,23.76811
2023-06-01,22.31884
2023-06-02,21.15942
2023-06-03,9.85507
2023-06-04,17.68115
2023-06-05,27.82608
2023-06-06,15.07246
2023-06-07,30.14492
2023-06-08,28.69565
2023-06-09,26.08695
2023-06-10,10.14492
2023-06-11,8.9855
2023-06-12,31.01449
2023-06-13,22.02898
2023-06-14,23.76811
2023-06-15,21.44927
2023-06-16,21.15942
2023-06-17,9.27536
2023-06-18,10.43478
2023-06-19,34.7826
2023-06-20,23.47826
2023-06-21,32.46376
2023-06-22,20.57971
2023-06-23,21.44927
2023-06-24,10.14492
