date,나스닥종합
2021-09-20,0.06947
2021-09-21,0.18913
2021-09-22,0.17369
2021-09-23,0.1441
2021-09-24,0.12351
2021-09-25,0.08105
2021-09-26,0.01929
2021-09-27,0.07076
2021-09-28,0.1634
2021-09-29,0.29978
2021-09-30,0.20457
2021-10-01,0.19813
2021-10-02,0.09135
2021-10-03,0.01929
2021-10-04,0.10164
2021-10-05,0.28562
2021-10-06,0.26504
2021-10-07,0.25989
2021-10-08,0.19427
2021-10-09,0.10936
2021-10-10,0.01286
2021-10-11,0.08234
2021-10-12,0.1531
2021-10-13,0.16983
2021-10-14,0.16082
2021-10-15,0.16211
2021-10-16,0.09906
2021-10-17,0.02058
2021-10-18,0.06433
2021-10-19,0.20714
2021-10-20,0.16854
2021-10-21,0.16597
2021-10-22,0.1441
2021-10-23,0.07333
2021-10-24,0.01543
2021-10-25,0.05275
2021-10-26,0.10035
2021-10-27,0.12094
2021-10-28,0.11322
2021-10-29,0.10807
2021-10-30,0.06433
2021-10-31,0.02187
2021-11-01,0.0476
2021-11-02,9.0102
2021-11-03,25.70152
2021-11-04,28.13838
2021-11-05,25.23577
2021-11-06,14.64688
2021-11-07,2.44586
2021-11-08,7.58334
2021-11-09,22.59691
2021-11-10,26.78743
2021-11-11,34.54189
2021-11-12,24.92827
2021-11-13,18.25071
2021-11-14,2.88846
2021-11-15,5.9043
2021-11-16,23.19519
2021-11-17,22.52615
2021-11-18,22.2521
2021-11-19,23.39333
2021-11-20,18.85928
2021-11-21,2.97852
2021-11-22,5.87856
2021-11-23,30.00398
2021-11-24,32.20796
2021-11-25,25.18173
2021-11-26,14.69063
2021-11-27,29.80713
2021-11-28,4.03612
2021-11-29,8.731
2021-11-30,33.84841
2021-12-01,38.13928
2021-12-02,37.64008
2021-12-03,29.42758
2021-12-04,41.78943
2021-12-05,5.06671
2021-12-06,10.22477
2021-12-07,33.32089
2021-12-08,36.45767
2021-12-09,27.66619
2021-12-10,33.5795
2021-12-11,22.60592
2021-12-12,2.97723
2021-12-13,6.05483
2021-12-14,31.98281
2021-12-15,40.22876
2021-12-16,39.73341
2021-12-17,44.76152
2021-12-18,29.26932
2021-12-19,3.25386
2021-12-20,9.38846
2021-12-21,40.06021
2021-12-22,32.57208
2021-12-23,29.18312
2021-12-24,24.7906
2021-12-25,7.86382
2021-12-26,1.97753
2021-12-27,4.73733
2021-12-28,24.55515
2021-12-29,24.37759
2021-12-30,22.91728
2021-12-31,15.77267
2022-01-01,9.04494
2022-01-02,2.1435
2022-01-03,5.52088
2022-01-04,26.2522
2022-01-05,33.8008
2022-01-06,51.45967
2022-01-07,43.16096
2022-01-08,31.96608
2022-01-09,4.14549
2022-01-10,11.7983
2022-01-11,54.98758
2022-01-12,37.73014
2022-01-13,31.46816
2022-01-14,46.96035
2022-01-15,30.68847
2022-01-16,3.57037
2022-01-17,6.24268
2022-01-18,21.17262
2022-01-19,49.21065
2022-01-20,46.5036
2022-01-21,50.74045
2022-01-22,64.77619
2022-01-23,7.2308
2022-01-24,22.05267
2022-01-25,99.64617
2022-01-26,87.62657
2022-01-27,74.32291
2022-01-28,75.68802
2022-01-29,46.50232
2022-01-30,5.96734
2022-01-31,7.92558
2022-02-01,48.7153
2022-02-02,50.6967
2022-02-03,56.24075
2022-02-04,64.28727
2022-02-05,44.07832
2022-02-06,5.87084
2022-02-07,10.80632
2022-02-08,41.69422
2022-02-09,38.61276
2022-02-10,40.03576
2022-02-11,42.65146
2022-02-12,43.64859
2022-02-13,5.1825
2022-02-14,13.8955
2022-02-15,53.99817
2022-02-16,42.27706
2022-02-17,48.43353
2022-02-18,49.13474
2022-02-19,39.39245
2022-02-20,4.34749
2022-02-21,7.36075
2022-02-22,24.19618
2022-02-23,50.918
2022-02-24,64.52015
2022-02-25,81.19732
2022-02-26,34.3206
2022-02-27,3.71061
2022-02-28,7.72872
2022-03-01,38.67967
2022-03-02,44.14909
2022-03-03,34.85712
2022-03-04,41.65433
2022-03-05,35.28041
2022-03-06,3.84828
2022-03-07,10.95042
2022-03-08,56.23946
2022-03-09,37.54101
2022-03-10,34.64225
2022-03-11,33.70816
2022-03-12,37.29012
2022-03-13,4.84927
2022-03-14,14.19271
2022-03-15,57.46046
2022-03-16,47.70402
2022-03-17,53.65721
2022-03-18,41.6093
2022-03-19,34.88156
2022-03-20,4.33333
2022-03-21,13.71408
2022-03-22,38.64493
2022-03-23,41.14483
2022-03-24,41.59257
2022-03-25,37.01735
2022-03-26,24.09711
2022-03-27,3.06344
2022-03-28,11.8948
2022-03-29,39.69095
2022-03-30,38.03764
2022-03-31,34.93689
2022-04-01,34.15205
2022-04-02,23.58117
2022-04-03,3.03899
2022-04-04,11.19874
2022-04-05,37.75973
2022-04-06,46.85742
2022-04-07,53.22362
2022-04-08,43.1378
2022-04-09,31.35365
2022-04-10,4.08501
2022-04-11,16.37996
2022-04-12,50.00836
2022-04-13,45.3405
2022-04-14,40.47064
2022-04-15,37.97588
2022-04-16,12.8855
2022-04-17,2.96823
2022-04-18,14.0396
2022-04-19,38.06852
2022-04-20,37.81892
2022-04-21,42.2436
2022-04-22,46.14592
2022-04-23,39.70767
2022-04-24,4.96635
2022-04-25,22.69984
2022-04-26,59.06874
2022-04-27,82.10182
2022-04-28,55.24104
2022-04-29,51.16374
2022-04-30,54.24134
2022-05-01,6.78048
2022-05-02,20.18707
2022-05-03,51.81735
2022-05-04,40.42304
2022-05-05,61.68573
2022-05-06,93.32243
2022-05-07,46.41483
2022-05-08,5.68557
2022-05-09,34.61394
2022-05-10,95.85322
2022-05-11,74.83756
2022-05-12,100.0
2022-05-13,74.71404
2022-05-14,39.34999
2022-05-15,5.02296
2022-05-16,22.02179
2022-05-17,56.23303
2022-05-18,50.54102
2022-05-19,84.43703
2022-05-20,55.73253
2022-05-21,48.82467
2022-05-22,4.56492
2022-05-23,22.10156
2022-05-24,60.52262
2022-05-25,65.67682
2022-05-26,50.04824
2022-05-27,47.11218
2022-05-28,35.62523
2022-05-29,4.52761
2022-05-30,10.49367
2022-05-31,28.20014
2022-06-01,40.52854
2022-06-02,45.66344
2022-06-03,42.87919
2022-06-04,31.98152
2022-06-05,4.61382
2022-06-06,16.99882
2022-06-07,46.94877
2022-06-08,44.79755
2022-06-09,44.70234
2022-06-10,58.96195
2022-06-11,48.22124
2022-06-12,5.94804
2022-06-13,46.26172
2022-06-14,98.25791
2022-06-15,66.77946
2022-06-16,83.42318
2022-06-17,82.04006
2022-06-18,40.16443
2022-06-19,5.46299
2022-06-20,14.64946
2022-06-21,35.2045
2022-06-22,56.97026
2022-06-23,54.66335
2022-06-24,50.21808
2022-06-25,32.21826
2022-06-26,4.46843
2022-06-27,23.26467
2022-06-28,49.92601
2022-06-29,64.28084
2022-06-30,58.34695
2022-07-01,57.0719
2022-07-02,32.38809
2022-07-03,3.90103
2022-07-04,8.89826
2022-07-05,33.82139
2022-07-06,61.94305
2022-07-07,46.0713
2022-07-08,42.97183
2022-07-09,26.39115
2022-07-10,3.46872
2022-07-11,20.7133
2022-07-12,54.35199
