date,주택임대사업자
2023-02-21,4.27811
2023-02-22,4.70672
2023-02-23,4.60353
2023-02-24,4.28605
2023-02-25,2.81768
2023-02-26,2.57956
2023-02-27,4.46067
2023-02-28,4.32574
2023-03-01,4.02412
2023-03-02,4.92896
2023-03-03,4.03206
2023-03-04,3.11929
2023-03-05,3.2066
2023-03-06,4.34955
2023-03-07,4.28605
2023-03-08,3.913
2023-03-09,3.72251
2023-03-10,3.2701
2023-03-11,2.65894
2023-03-12,2.1589
2023-03-13,4.16699
2023-03-14,4.13524
2023-03-15,3.65108
2023-03-16,3.68283
2023-03-17,3.5479
2023-03-18,2.88118
2023-03-19,2.73037
2023-03-20,4.13524
2023-03-21,4.7464
2023-03-22,4.33367
2023-03-23,4.3813
2023-03-24,3.74632
2023-03-25,2.32558
2023-03-26,2.56369
2023-03-27,3.87332
2023-03-28,4.23049
2023-03-29,4.14318
2023-03-30,3.26216
2023-03-31,3.03198
2023-04-01,2.20652
2023-04-02,2.47638
2023-04-03,3.61933
2023-04-04,3.7622
2023-04-05,3.84951
2023-04-06,3.44471
2023-04-07,3.11135
2023-04-08,2.51607
2023-04-09,2.39701
2023-04-10,3.70664
2023-04-11,3.84951
2023-04-12,3.27803
2023-04-13,3.62727
2023-04-14,3.2066
2023-04-15,2.54782
2023-04-16,2.73037
2023-04-17,3.53202
2023-04-18,4.04
2023-04-19,3.94475
2023-04-20,3.65108
2023-04-21,3.40503
2023-04-22,2.54782
2023-04-23,2.18271
2023-04-24,4.00031
2023-04-25,3.84951
2023-04-26,3.6352
2023-04-27,3.18279
2023-04-28,3.09548
2023-04-29,2.69862
2023-04-30,1.99222
2023-05-01,4.03206
2023-05-02,4.80196
2023-05-03,4.1035
2023-05-04,3.51615
2023-05-05,2.56369
2023-05-06,2.51607
2023-05-07,2.84943
2023-05-08,4.4686
2023-05-09,4.85752
2023-05-10,4.92896
2023-05-11,4.88133
2023-05-12,4.56385
2023-05-13,2.77006
2023-05-14,2.91292
2023-05-15,4.77021
2023-05-16,5.302
2023-05-17,4.69084
2023-05-18,4.42098
2023-05-19,3.99238
2023-05-20,2.78593
2023-05-21,2.56369
2023-05-22,4.40511
2023-05-23,4.42098
2023-05-24,4.60353
2023-05-25,3.71458
2023-05-26,3.43678
