date,지방세법
2022-03-09,6.3253
2022-03-10,30.27108
2022-03-11,31.4006
2022-03-12,8.28313
2022-03-13,7.98192
2022-03-14,34.56325
2022-03-15,35.61746
2022-03-16,33.28313
2022-03-17,36.44578
2022-03-18,27.40963
2022-03-19,6.4759
2022-03-20,6.92771
2022-03-21,32.00301
2022-03-22,39.83433
2022-03-23,40.21084
2022-03-24,37.5753
2022-03-25,29.66867
2022-03-26,7.98192
2022-03-27,7.75602
2022-03-28,41.79216
2022-03-29,41.86746
2022-03-30,40.73795
2022-03-31,36.82228
2022-04-01,30.19578
2022-04-02,15.21084
2022-04-03,10.99397
2022-04-04,40.28614
2022-04-05,44.42771
2022-04-06,42.54518
2022-04-07,40.73795
2022-04-08,33.96084
2022-04-09,6.7018
2022-04-10,9.48795
2022-04-11,36.67168
2022-04-12,40.73795
2022-04-13,35.24096
2022-04-14,41.56626
2022-04-15,32.30421
2022-04-16,7.75602
2022-04-17,9.33734
2022-04-18,39.23192
2022-04-19,44.3524
2022-04-20,45.03012
2022-04-21,38.47891
2022-04-22,34.33734
2022-04-23,7.22891
2022-04-24,6.92771
2022-04-25,41.26506
2022-04-26,41.41566
2022-04-27,41.49096
2022-04-28,39.98493
2022-04-29,35.46686
2022-04-30,8.20783
2022-05-01,5.57228
2022-05-02,35.01506
2022-05-03,38.55421
2022-05-04,34.86445
2022-05-05,7.90662
2022-05-06,24.32228
2022-05-07,6.7018
2022-05-08,5.64759
2022-05-09,35.46686
2022-05-10,42.84638
2022-05-11,41.18975
2022-05-12,37.5753
2022-05-13,36.82228
2022-05-14,7.75602
2022-05-15,5.94879
2022-05-16,36.97289
2022-05-17,36.89759
2022-05-18,41.64156
2022-05-19,44.2771
2022-05-20,35.99397
2022-05-21,6.7018
2022-05-22,6.6265
2022-05-23,35.39156
2022-05-24,39.45783
2022-05-25,40.66265
2022-05-26,36.67168
2022-05-27,28.46385
2022-05-28,6.7018
2022-05-29,6.7018
2022-05-30,34.63855
2022-05-31,30.19578
2022-06-01,8.88554
2022-06-02,27.78614
2022-06-03,29.29216
2022-06-04,5.19578
2022-06-05,4.21686
2022-06-06,7.15361
2022-06-07,37.19879
2022-06-08,40.43674
2022-06-09,39.23192
2022-06-10,32.07831
2022-06-11,6.92771
2022-06-12,7.98192
2022-06-13,38.78012
2022-06-14,37.27409
2022-06-15,39.98493
2022-06-16,39.90963
2022-06-17,37.04819
2022-06-18,11.74698
2022-06-19,8.28313
2022-06-20,39.08132
2022-06-21,39.00602
2022-06-22,39.90963
2022-06-23,29.66867
2022-06-24,26.88253
2022-06-25,5.79819
2022-06-26,3.99096
2022-06-27,34.11144
2022-06-28,44.42771
2022-06-29,39.98493
2022-06-30,30.34638
2022-07-01,22.74096
2022-07-02,6.7771
2022-07-03,5.49698
2022-07-04,39.15662
2022-07-05,39.00602
2022-07-06,33.43373
2022-07-07,38.85542
2022-07-08,32.60542
2022-07-09,4.66867
2022-07-10,6.5512
2022-07-11,46.91265
2022-07-12,42.39457
2022-07-13,51.88253
2022-07-14,60.09036
2022-07-15,48.79518
2022-07-16,7.37951
2022-07-17,8.58433
2022-07-18,52.40963
2022-07-19,56.17469
2022-07-20,55.57228
2022-07-21,51.80722
2022-07-22,39.60843
2022-07-23,7.53012
2022-07-24,8.58433
2022-07-25,50.90361
2022-07-26,55.87349
2022-07-27,46.15963
2022-07-28,45.85843
2022-07-29,36.37048
2022-07-30,8.13253
2022-07-31,6.8524
2022-08-01,37.42469
2022-08-02,38.93072
2022-08-03,42.09337
2022-08-04,42.31927
2022-08-05,36.67168
2022-08-06,6.4006
2022-08-07,6.8524
2022-08-08,42.62048
