date,한화솔루션주가
2022-11-23,30.78626
2022-11-24,45.9873
2022-11-25,32.24157
2022-11-26,3.66596
2022-11-27,3.13853
2022-11-28,28.46166
2022-11-29,26.29985
2022-11-30,35.3801
2022-12-01,30.45417
2022-12-02,24.48315
2022-12-03,2.87807
2022-12-04,2.72505
2022-12-05,26.63845
2022-12-06,26.63193
2022-12-07,24.75988
2022-12-08,23.89711
2022-12-09,25.86032
2022-12-10,3.08318
2022-12-11,2.54273
2022-12-12,24.1706
2022-12-13,22.839
2022-12-14,39.61256
2022-12-15,29.35048
2022-12-16,25.31662
2022-12-17,3.88083
2022-12-18,2.38645
2022-12-19,23.44457
2022-12-20,23.14178
2022-12-21,21.05485
2022-12-22,22.699
2022-12-23,22.75761
2022-12-24,2.90086
2022-12-25,2.34413
2022-12-26,22.74133
2022-12-27,25.18964
2022-12-28,21.97623
2022-12-29,21.38043
2022-12-30,7.10727
2022-12-31,1.94693
2023-01-01,2.30831
2023-01-02,22.30831
2023-01-03,23.57805
2023-01-04,23.27852
2023-01-05,34.87872
2023-01-06,27.88539
2023-01-07,3.4055
2023-01-08,2.699
2023-01-09,29.9593
2023-01-10,24.82174
2023-01-11,43.91339
2023-01-12,65.28731
2023-01-13,42.39296
2023-01-14,4.30734
2023-01-15,3.36968
2023-01-16,32.23506
2023-01-17,28.63096
2023-01-18,24.33664
2023-01-19,24.21292
2023-01-20,22.15204
2023-01-21,3.33062
2023-01-22,2.06739
2023-01-23,2.86179
2023-01-24,3.05388
2023-01-25,27.68679
2023-01-26,32.18622
2023-01-27,30.26534
2023-01-28,3.58131
2023-01-29,2.98225
2023-01-30,25.54777
2023-01-31,26.08497
2023-02-01,26.05892
2023-02-02,32.19599
2023-02-03,29.13234
2023-02-04,3.28178
2023-02-05,2.93667
2023-02-06,26.56031
2023-02-07,25.98079
2023-02-08,24.75663
2023-02-09,29.37652
2023-02-10,25.63893
2023-02-11,3.42829
2023-02-12,2.8976
2023-02-13,24.54175
2023-02-14,25.27104
2023-02-15,23.92316
2023-02-16,31.11834
2023-02-17,27.97655
2023-02-18,3.39247
2023-02-19,2.8683
2023-02-20,48.73514
2023-02-21,32.64203
2023-02-22,32.91225
2023-02-23,31.99088
2023-02-24,28.61793
2023-02-25,3.54875
2023-02-26,2.7283
2023-02-27,25.52173
2023-02-28,16.66286
2023-03-01,4.16734
2023-03-02,14.9829
2023-03-03,11.44717
2023-03-04,2.98876
2023-03-05,2.31808
2023-03-06,11.97786
2023-03-07,9.89093
2023-03-08,8.45515
2023-03-09,7.35145
2023-03-10,5.7073
2023-03-11,1.35438
2023-03-12,1.21764
2023-03-13,6.59612
2023-03-14,5.55428
2023-03-15,6.30636
2023-03-16,5.03011
2023-03-17,4.85104
2023-03-18,1.02555
2023-03-19,0.93114
2023-03-20,5.20918
2023-03-21,5.27755
2023-03-22,5.04965
2023-03-23,4.34315
2023-03-24,4.13153
2023-03-25,1.04834
2023-03-26,1.1916
2023-03-27,5.24173
2023-03-28,5.18313
2023-03-29,5.34592
2023-03-30,8.59514
2023-03-31,65.66172
2023-04-01,5.52498
2023-04-02,4.12176
2023-04-03,37.41819
2023-04-04,30.82858
2023-04-05,30.61045
2023-04-06,35.98893
2023-04-07,35.78381
2023-04-08,5.99055
2023-04-09,4.81523
2023-04-10,41.31857
2023-04-11,37.6754
2023-04-12,33.80758
2023-04-13,36.41543
2023-04-14,32.89923
2023-04-15,4.14781
2023-04-16,3.54875
2023-04-17,31.88344
2023-04-18,44.03385
2023-04-19,35.61126
2023-04-20,30.43464
2023-04-21,36.81588
2023-04-22,5.49894
2023-04-23,5.07895
2023-04-24,36.73123
2023-04-25,34.8657
2023-04-26,30.55184
