date,예금금리비교
2023-04-18,17.64808
2023-04-19,15.33784
2023-04-20,17.23119
2023-04-21,14.34775
2023-04-22,8.38978
2023-04-23,8.56348
2023-04-24,17.54385
2023-04-25,19.48931
2023-04-26,17.33541
2023-04-27,16.03265
2023-04-28,14.62567
2023-04-29,8.04238
2023-04-30,8.09449
2023-05-01,10.97793
2023-05-02,18.82925
2023-05-03,16.41479
2023-05-04,14.57356
2023-05-05,8.70244
2023-05-06,6.39221
2023-05-07,7.81657
2023-05-08,16.95327
2023-05-09,15.21625
2023-05-10,15.35521
2023-05-11,14.38249
2023-05-12,12.61073
2023-05-13,6.82647
2023-05-14,7.7992
2023-05-15,16.18898
2023-05-16,15.26836
2023-05-17,15.00781
2023-05-18,15.70262
2023-05-19,12.9755
2023-05-20,7.3302
2023-05-21,7.76446
2023-05-22,17.33541
2023-05-23,16.5885
2023-05-24,14.20878
2023-05-25,17.30067
2023-05-26,13.25343
