date,월배당ETF
2022-02-11,2.33766
2022-02-12,1.42857
2022-02-13,2.07792
2022-02-14,2.72727
2022-02-15,2.85714
2022-02-16,3.8961
2022-02-17,4.28571
2022-02-18,2.5974
2022-02-20,1.55844
2022-02-21,2.07792
2022-02-22,2.20779
2022-02-23,2.85714
2022-02-24,1.2987
2022-02-25,1.42857
2022-02-26,2.07792
2022-02-27,1.81818
2022-02-28,2.98701
2022-03-01,2.72727
2022-03-02,1.81818
2022-03-03,2.33766
2022-03-04,2.85714
2022-03-05,2.72727
2022-03-06,3.50649
2022-03-07,3.50649
2022-03-08,4.93506
2022-03-09,2.07792
2022-03-10,1.42857
2022-03-11,4.02597
2022-03-12,3.8961
2022-03-13,2.72727
2022-03-14,5.58441
2022-03-15,2.5974
2022-03-16,4.67532
2022-03-17,4.54545
2022-03-18,5.45454
2022-03-19,5.71428
2022-03-20,3.37662
2022-03-21,4.41558
2022-03-22,8.57142
2022-03-23,6.23376
2022-03-24,5.06493
2022-03-25,5.84415
2022-03-26,6.75324
2022-03-27,4.54545
2022-03-28,4.80519
2022-03-29,9.22077
2022-03-30,7.14285
2022-03-31,4.54545
2022-04-01,7.66233
2022-04-02,7.14285
2022-04-03,7.27272
2022-04-04,8.70129
2022-04-05,7.66233
2022-04-06,7.66233
2022-04-07,7.40259
2022-04-08,6.10389
2022-04-09,6.75324
2022-04-10,5.58441
2022-04-11,7.14285
2022-04-12,6.88311
2022-04-13,8.70129
2022-04-14,9.48051
2022-04-15,6.75324
2022-04-16,7.01298
2022-04-17,4.93506
2022-04-18,7.01298
2022-04-19,6.62337
2022-04-20,6.4935
2022-04-21,8.05194
2022-04-22,7.27272
2022-04-23,4.15584
2022-04-24,4.15584
2022-04-25,4.41558
2022-04-26,5.1948
2022-04-27,4.28571
2022-04-28,4.54545
2022-04-29,6.4935
2022-04-30,3.76623
2022-05-01,4.02597
2022-05-02,4.80519
2022-05-03,4.67532
2022-05-04,4.67532
2022-05-05,3.76623
2022-05-06,4.41558
2022-05-07,3.24675
2022-05-08,1.94805
2022-05-09,2.5974
2022-05-10,2.98701
2022-05-11,3.37662
2022-05-12,2.5974
2022-05-13,3.37662
2022-05-14,1.03896
2022-05-15,4.15584
2022-05-16,3.11688
2022-05-17,3.11688
2022-05-18,7.14285
2022-05-19,4.28571
2022-05-20,4.67532
2022-05-21,4.54545
2022-05-22,2.20779
2022-05-23,4.67532
2022-05-24,3.24675
2022-05-25,4.93506
2022-05-26,4.93506
2022-05-27,4.15584
2022-05-28,4.67532
2022-05-29,5.45454
2022-05-30,2.46753
2022-05-31,5.1948
2022-06-01,4.28571
2022-06-02,2.07792
2022-06-03,8.96103
2022-06-04,2.33766
2022-06-05,3.50649
2022-06-06,4.15584
2022-06-07,6.23376
2022-06-08,6.62337
2022-06-09,6.75324
2022-06-10,6.10389
2022-06-11,2.98701
2022-06-12,1.94805
2022-06-13,4.41558
2022-06-14,2.33766
2022-06-15,5.32467
2022-06-16,3.11688
2022-06-17,29.0909
2022-06-18,30.51948
2022-06-19,19.74025
2022-06-20,22.5974
2022-06-21,38.96103
2022-06-22,31.03896
2022-06-23,28.18181
2022-06-24,19.0909
2022-06-25,22.46753
2022-06-26,17.92207
2022-06-27,18.31168
2022-06-28,16.88311
2022-06-29,14.15584
2022-06-30,14.41558
2022-07-01,9.61038
2022-07-02,6.62337
2022-07-03,5.71428
2022-07-04,6.4935
2022-07-05,5.84415
2022-07-06,8.70129
2022-07-07,8.70129
2022-07-08,9.0909
2022-07-09,7.53246
2022-07-10,3.8961
2022-07-11,7.66233
2022-07-12,5.97402
2022-07-13,8.44155
2022-07-14,8.44155
2022-07-15,5.97402
2022-07-16,6.23376
2022-07-17,5.71428
2022-07-18,7.01298
2022-07-19,6.23376
2022-07-20,7.40259
2022-07-21,6.4935
2022-07-22,5.45454
2022-07-23,2.85714
2022-07-24,6.23376
2022-07-25,8.44155
2022-07-26,7.92207
2022-07-27,6.10389
2022-07-28,7.01298
2022-07-29,10.51948
2022-07-30,5.84415
2022-07-31,4.93506
2022-08-01,10.90909
2022-08-02,34.80519
2022-08-03,32.85714
2022-08-04,50.12987
2022-08-05,29.61038
2022-08-06,25.84415
2022-08-07,26.36363
2022-08-08,32.46753
2022-08-09,31.03896
2022-08-10,16.62337
2022-08-11,18.57142
2022-08-12,17.66233
2022-08-13,12.07792
2022-08-14,10.51948
2022-08-15,11.68831
2022-08-16,21.81818
2022-08-17,20.25974
2022-08-18,15.06493
2022-08-19,15.58441
2022-08-20,15.32467
2022-08-21,11.03896
2022-08-22,17.14285
2022-08-23,15.06493
2022-08-24,16.36363
2022-08-25,51.55844
2022-08-26,17.40259
2022-08-27,9.87012
2022-08-28,27.01298
2022-08-29,25.32467
2022-08-30,19.22077
2022-08-31,20.25974
2022-09-01,12.46753
2022-09-02,15.1948
2022-09-03,15.45454
2022-09-04,28.96103
2022-09-05,56.23376
2022-09-06,25.97402
2022-09-07,51.42857
2022-09-08,20.90909
2022-09-09,30.0
2022-09-10,17.27272
2022-09-11,11.81818
2022-09-12,13.37662
2022-09-13,18.31168
2022-09-14,15.45454
2022-09-15,14.02597
2022-09-16,10.25974
2022-09-17,8.70129
2022-09-18,8.18181
2022-09-19,14.54545
2022-09-20,11.94805
2022-09-21,17.40259
2022-09-22,15.32467
2022-09-23,17.92207
2022-09-24,11.68831
2022-09-25,9.22077
2022-09-26,13.8961
2022-09-27,32.72727
2022-09-28,32.5974
2022-09-29,24.54545
2022-09-30,17.14285
2022-10-01,14.93506
2022-10-02,12.5974
2022-10-03,14.41558
2022-10-04,15.1948
2022-10-05,72.98701
2022-10-06,31.03896
2022-10-07,26.36363
2022-10-08,8.96103
2022-10-09,11.81818
2022-10-10,10.77922
2022-10-11,15.97402
2022-10-12,11.16883
2022-10-13,12.07792
2022-10-14,15.45454
2022-10-15,8.96103
2022-10-16,8.70129
2022-10-17,11.81818
2022-10-18,11.42857
2022-10-19,14.41558
2022-10-20,10.90909
2022-10-21,7.53246
2022-10-22,6.88311
2022-10-23,6.23376
2022-10-24,12.98701
2022-10-25,12.33766
2022-10-26,11.42857
2022-10-27,11.55844
2022-10-28,12.5974
2022-10-29,10.0
2022-10-30,12.5974
2022-10-31,14.41558
2022-11-01,12.5974
2022-11-02,15.97402
2022-11-03,13.63636
2022-11-04,11.03896
2022-11-05,8.96103
2022-11-06,7.53246
2022-11-07,8.96103
2022-11-08,13.50649
2022-11-09,10.77922
2022-11-10,11.55844
2022-11-11,14.28571
2022-11-12,13.63636
2022-11-13,11.2987
2022-11-14,17.27272
2022-11-15,27.14285
2022-11-16,22.98701
2022-11-17,15.1948
2022-11-18,11.03896
2022-11-19,8.83116
2022-11-20,8.57142
2022-11-21,13.11688
2022-11-22,13.24675
2022-11-23,12.72727
2022-11-24,12.46753
2022-11-25,10.25974
2022-11-26,7.40259
2022-11-27,8.44155
2022-11-28,12.07792
2022-11-29,14.54545
2022-11-30,12.46753
2022-12-01,13.63636
2022-12-02,11.94805
2022-12-03,8.18181
2022-12-04,14.41558
2022-12-05,20.12987
2022-12-06,33.24675
2022-12-07,16.4935
2022-12-08,14.67532
2022-12-09,13.37662
2022-12-10,8.18181
2022-12-11,10.0
2022-12-12,13.63636
2022-12-13,14.54545
2022-12-14,18.83116
2022-12-15,13.24675
2022-12-16,10.90909
2022-12-17,8.44155
2022-12-18,9.87012
2022-12-19,9.61038
2022-12-20,10.64935
2022-12-21,12.5974
2022-12-22,10.77922
2022-12-23,13.37662
2022-12-24,6.4935
2022-12-25,10.25974
2022-12-26,10.12987
2022-12-27,14.28571
2022-12-28,13.8961
