date,대위변제
2022-07-31,2.9339
2022-08-01,9.07967
2022-08-02,10.40765
2022-08-03,11.6121
2022-08-04,10.06794
2022-08-05,8.15318
2022-08-06,3.58245
2022-08-07,3.79864
2022-08-08,11.51945
2022-08-09,9.32674
2022-08-10,11.7974
2022-08-11,15.25633
2022-08-12,11.9827
2022-08-13,4.7869
2022-08-14,3.15009
2022-08-15,3.79864
2022-08-16,10.34589
2022-08-17,13.34156
2022-08-18,12.60037
2022-08-19,11.30327
2022-08-20,4.7869
2022-08-21,4.0457
2022-08-22,9.57381
2022-08-23,9.78999
2022-08-24,10.90179
2022-08-25,12.9092
2022-08-26,10.28412
2022-08-27,2.71772
2022-08-28,3.4898
2022-08-29,10.00617
2022-08-30,10.37677
2022-08-31,9.29586
2022-09-01,8.86349
2022-09-02,7.93699
2022-09-03,2.84126
2022-09-04,2.56331
2022-09-05,9.26497
2022-09-06,8.52378
2022-09-07,11.36504
2022-09-08,7.16491
2022-09-09,2.25447
2022-09-10,1.66769
2022-09-11,1.76034
2022-09-12,3.73687
2022-09-13,11.02532
2022-09-14,10.80914
2022-09-15,13.86658
2022-09-16,9.91352
2022-09-17,3.52069
2022-09-18,3.39715
2022-09-19,10.37677
2022-09-20,9.26497
2022-09-21,12.01358
2022-09-22,10.03705
2022-09-23,7.65904
2022-09-24,3.21185
2022-09-25,3.33539
2022-09-26,11.82828
2022-09-27,11.02532
2022-09-28,12.75478
2022-09-29,11.89005
2022-09-30,10.16059
2022-10-01,3.08832
2022-10-02,2.74861
2022-10-03,3.05744
2022-10-04,10.00617
2022-10-05,10.25324
2022-10-06,9.82087
2022-10-07,9.48116
2022-10-08,3.36627
2022-10-09,2.81037
2022-10-10,3.55157
2022-10-11,10.77825
2022-10-12,11.58122
2022-10-13,11.11797
2022-10-14,10.6856
2022-10-15,3.1192
2022-10-16,3.42804
2022-10-17,10.1297
2022-10-18,12.22977
2022-10-19,12.7239
2022-10-20,12.10623
2022-10-21,10.46942
2022-10-22,5.40457
2022-10-23,3.98394
2022-10-24,12.66213
2022-10-25,12.04447
2022-10-26,12.38418
2022-10-27,10.77825
2022-10-28,9.60469
2022-10-29,3.18097
2022-10-30,2.74861
2022-10-31,9.85176
2022-11-01,10.6856
2022-11-02,9.72822
2022-11-03,11.76652
2022-11-04,8.77084
2022-11-05,2.81037
2022-11-06,2.50154
2022-11-07,10.46942
2022-11-08,9.97529
2022-11-09,11.17974
2022-11-10,8.58554
2022-11-11,6.17665
2022-11-12,2.25447
2022-11-13,2.84126
2022-11-14,9.20321
2022-11-15,9.63557
2022-11-16,8.33848
2022-11-17,7.99876
2022-11-18,6.6399
2022-11-19,2.37801
2022-11-20,2.47066
2022-11-21,8.12229
2022-11-22,8.46201
2022-11-23,8.43113
2022-11-24,7.53551
2022-11-25,6.4546
2022-11-26,2.47066
2022-11-27,2.43977
2022-11-28,8.09141
2022-11-29,8.40024
2022-11-30,8.09141
2022-12-01,7.50463
2022-12-02,5.40457
2022-12-03,2.59419
2022-12-04,3.1192
2022-12-05,7.65904
2022-12-06,8.40024
2022-12-07,8.49289
2022-12-08,7.78258
2022-12-09,6.57813
2022-12-10,2.59419
2022-12-11,2.96479
2022-12-12,16.02841
2022-12-13,12.13712
2022-12-14,9.14144
2022-12-15,8.80172
2022-12-16,7.68993
2022-12-17,1.97652
2022-12-18,2.34712
2022-12-19,7.78258
2022-12-20,7.93699
2022-12-21,7.84434
2022-12-22,9.17232
2022-12-23,9.14144
2022-12-24,2.77949
2022-12-25,2.9339
2022-12-26,8.95614
2022-12-27,12.69302
2022-12-28,9.38851
2022-12-29,8.83261
2022-12-30,6.20753
2022-12-31,2.40889
2023-01-01,2.31624
2023-01-02,6.8252
2023-01-03,9.45027
