date,유류분반환청구소송
2023-01-20,26.28676
2023-01-21,26.65441
2023-01-22,40.625
2023-01-23,43.65808
2023-01-24,41.26838
2023-01-25,57.8125
2023-01-26,45.22058
2023-01-27,41.54411
2023-01-28,29.50367
2023-01-29,26.83823
2023-01-30,34.55882
2023-01-31,36.39705
2023-02-01,32.72058
2023-02-02,68.29044
2023-02-03,36.21323
2023-02-04,26.10294
2023-02-05,27.84926
2023-02-06,38.05147
2023-02-07,53.67647
2023-02-08,43.29044
2023-02-09,34.46691
2023-02-10,42.37132
2023-02-11,30.5147
2023-02-12,27.48161
2023-02-13,38.3272
2023-02-14,36.30514
2023-02-15,35.01838
2023-02-16,31.70955
2023-02-17,29.77941
2023-02-18,22.51838
2023-02-19,23.16176
2023-02-20,34.65073
2023-02-21,31.70955
2023-02-22,34.65073
2023-02-23,31.70955
2023-02-24,30.5147
2023-02-25,24.44852
2023-02-26,22.24264
2023-02-27,31.52573
2023-02-28,26.5625
2023-03-01,23.71323
2023-03-02,35.75367
2023-03-03,34.65073
2023-03-04,20.12867
2023-03-05,22.61029
2023-03-06,31.43382
2023-03-07,31.43382
2023-03-08,35.75367
2023-03-09,29.04411
2023-03-10,29.6875
2023-03-11,32.44485
2023-03-12,28.49264
2023-03-13,35.2022
2023-03-14,29.77941
2023-03-15,37.86764
2023-03-16,35.84558
2023-03-17,30.5147
2023-03-18,24.2647
2023-03-19,23.98897
2023-03-20,33.91544
2023-03-21,33.82352
2023-03-22,35.29411
2023-03-23,33.45588
2023-03-24,28.76838
2023-03-25,21.1397
2023-03-26,23.98897
2023-03-27,35.38602
2023-03-28,37.59191
2023-03-29,32.35294
2023-03-30,30.69852
2023-03-31,29.50367
2023-04-01,21.69117
2023-04-02,21.04779
2023-04-03,36.30514
2023-04-04,34.09926
2023-04-05,36.7647
2023-04-06,31.61764
2023-04-07,31.98529
2023-04-08,24.63235
2023-04-09,22.15073
2023-04-10,35.75367
2023-04-11,31.25
2023-04-12,30.42279
2023-04-13,34.375
2023-04-14,30.88235
2023-04-15,23.52941
2023-04-16,20.3125
2023-04-17,31.80147
2023-04-18,33.45588
2023-04-19,31.06617
2023-04-20,34.46691
2023-04-21,32.72058
2023-04-22,21.96691
2023-04-23,23.34558
2023-04-24,31.52573
2023-04-25,31.43382
2023-04-26,29.41176
2023-04-27,31.43382
2023-04-28,26.74632
2023-04-29,19.48529
2023-04-30,19.85294
2023-05-01,27.84926
2023-05-02,29.13602
2023-05-03,30.97426
2023-05-04,28.58455
2023-05-05,21.50735
2023-05-06,24.17279
