date,양도
2022-08-08,63.35034
2022-08-09,63.69047
2022-08-10,68.45238
2022-08-11,70.66326
2022-08-12,76.70068
2022-08-13,55.18707
2022-08-14,40.90136
2022-08-15,38.5204
2022-08-16,58.41836
2022-08-17,56.97278
2022-08-18,57.22789
2022-08-19,56.88775
2022-08-20,38.69047
2022-08-21,36.22448
2022-08-22,53.14625
2022-08-23,57.48299
2022-08-24,55.18707
2022-08-25,53.82653
2022-08-26,54.08163
2022-08-27,30.35714
2022-08-28,34.43877
2022-08-29,53.99659
2022-08-30,49.74489
2022-08-31,51.78571
2022-09-01,54.67687
2022-09-02,46.42857
2022-09-03,30.69727
2022-09-04,34.5238
2022-09-05,49.14965
2022-09-06,56.03741
2022-09-07,51.87074
2022-09-08,44.38775
2022-09-09,30.017
2022-09-10,30.61224
2022-09-11,30.017
2022-09-12,36.73469
2022-09-13,51.95578
2022-09-14,58.92857
2022-09-15,62.92517
2022-09-16,57.14285
2022-09-17,38.5204
2022-09-18,32.99319
2022-09-19,57.39795
2022-09-20,60.71428
2022-09-21,55.35714
2022-09-22,59.2687
2022-09-23,51.10544
2022-09-24,35.71428
2022-09-25,36.22448
2022-09-26,60.88435
2022-09-27,58.84353
2022-09-28,63.18027
2022-09-29,64.11564
2022-09-30,63.0102
2022-10-01,48.89455
2022-10-02,39.88095
2022-10-03,39.88095
2022-10-04,65.13605
2022-10-05,64.45578
2022-10-06,63.86054
2022-10-07,55.2721
2022-10-08,40.47619
2022-10-09,35.88435
2022-10-10,37.41496
2022-10-11,55.69727
2022-10-12,59.09863
2022-10-13,56.80272
2022-10-14,54.59183
2022-10-15,36.81972
2022-10-16,32.65306
2022-10-17,58.7585
2022-10-18,58.58843
2022-10-19,59.2687
2022-10-20,54.67687
2022-10-21,55.35714
2022-10-22,34.77891
2022-10-23,38.0102
2022-10-24,52.97619
2022-10-25,56.12244
2022-10-26,59.94897
2022-10-27,58.07823
2022-10-28,51.10544
2022-10-29,31.37755
2022-10-30,29.5068
2022-10-31,52.63605
2022-11-01,57.05782
2022-11-02,54.59183
2022-11-03,55.61224
2022-11-04,49.23469
2022-11-05,29.67687
2022-11-06,29.33673
2022-11-07,56.46258
2022-11-08,54.67687
2022-11-09,50.42517
2022-11-10,54.16666
2022-11-11,49.40476
2022-11-12,35.03401
2022-11-13,34.60884
2022-11-14,57.82312
2022-11-15,55.2721
2022-11-16,55.10204
2022-11-17,56.63265
2022-11-18,48.89455
2022-11-19,35.62925
2022-11-20,34.5238
2022-11-21,52.89115
2022-11-22,60.96938
2022-11-23,55.69727
2022-11-24,56.12244
2022-11-25,51.19047
2022-11-26,34.86394
2022-11-27,31.63265
2022-11-28,49.14965
2022-11-29,52.89115
2022-11-30,57.31292
2022-12-01,51.78571
2022-12-02,50.08503
2022-12-03,27.80612
2022-12-04,29.93197
2022-12-05,50.59523
2022-12-06,55.44217
2022-12-07,54.84693
2022-12-08,53.74149
2022-12-09,50.2551
2022-12-10,33.41836
2022-12-11,32.31292
2022-12-12,54.93197
2022-12-13,54.33673
2022-12-14,50.7653
2022-12-15,54.16666
2022-12-16,46.68367
2022-12-17,31.63265
2022-12-18,33.5034
2022-12-19,56.54761
2022-12-20,57.22789
2022-12-21,57.22789
2022-12-22,61.56462
2022-12-23,58.67346
2022-12-24,37.32993
2022-12-25,33.16326
2022-12-26,53.65646
2022-12-27,57.48299
2022-12-28,54.93197
2022-12-29,58.41836
2022-12-30,50.5102
2022-12-31,36.64965
2023-01-01,33.16326
2023-01-02,54.5068
2023-01-03,60.79931
2023-01-04,57.39795
2023-01-05,54.7619
2023-01-06,54.67687
2023-01-07,33.67346
2023-01-08,31.97278
2023-01-09,58.5034
2023-01-10,58.07823
2023-01-11,60.11904
2023-01-12,59.77891
2023-01-13,54.5068
2023-01-14,35.88435
2023-01-15,37.24489
2023-01-16,61.22448
2023-01-17,58.67346
2023-01-18,57.39795
2023-01-19,55.2721
2023-01-20,48.04421
2023-01-21,29.59183
2023-01-22,25.59523
2023-01-23,30.52721
2023-01-24,36.81972
