date,미국주식추천
2021-10-11,8.83295
2021-10-12,16.93363
2021-10-13,15.0572
2021-10-14,15.3318
2021-10-15,16.88787
2021-10-16,9.33638
2021-10-17,9.06178
2021-10-18,13.91304
2021-10-19,19.40503
2021-10-20,16.24713
2021-10-21,17.20823
2021-10-22,17.75743
2021-10-23,11.76201
2021-10-24,9.06178
2021-10-25,19.77116
2021-10-26,34.32494
2021-10-27,27.96338
2021-10-28,25.12585
2021-10-29,27.64302
2021-10-30,19.40503
2021-10-31,13.77574
2021-11-01,25.94965
2021-11-02,32.95194
2021-11-03,29.79405
2021-11-04,34.7826
2021-11-05,39.5881
2021-11-06,26.95652
2021-11-07,17.02517
2021-11-08,29.88558
2021-11-09,38.39816
2021-11-10,30.02288
2021-11-11,29.97711
2021-11-12,26.17848
2021-11-13,21.41876
2021-11-14,15.83524
2021-11-15,27.64302
2021-11-16,44.98855
2021-11-17,42.15102
2021-11-18,40.59496
2021-11-19,34.73684
2021-11-20,24.89702
2021-11-21,17.71167
2021-11-22,28.87871
2021-11-23,33.04347
2021-11-24,23.70709
2021-11-25,24.85125
2021-11-26,15.83524
2021-11-27,10.52631
2021-11-28,9.06178
2021-11-29,19.81693
2021-11-30,27.27688
2021-12-01,21.78489
2021-12-02,16.10983
2021-12-03,17.43707
2021-12-04,11.57894
2021-12-05,8.28375
2021-12-06,12.17391
2021-12-07,19.90846
2021-12-08,22.79176
2021-12-09,19.95423
2021-12-10,15.37757
2021-12-11,11.85354
2021-12-12,10.11441
2021-12-13,15.7437
2021-12-14,14.41647
2021-12-15,14.05034
2021-12-16,15.56064
2021-12-17,12.21967
2021-12-18,8.97025
2021-12-19,7.00228
2021-12-20,10.52631
2021-12-21,11.89931
2021-12-22,12.35697
2021-12-23,13.82151
2021-12-24,12.17391
2021-12-25,6.68192
2021-12-26,9.61098
2021-12-27,12.58581
2021-12-28,20.45766
2021-12-29,19.3135
2021-12-30,15.83524
2021-12-31,15.24027
2022-01-01,9.70251
2022-01-02,8.78718
2022-01-03,13.68421
2022-01-04,22.97482
2022-01-05,19.13043
2022-01-06,15.6064
2022-01-07,13.86727
2022-01-08,9.65675
2022-01-09,8.69565
2022-01-10,10.98398
2022-01-11,14.18764
2022-01-12,17.3913
2022-01-13,15.69794
2022-01-14,13.04347
2022-01-15,9.61098
2022-01-16,9.65675
2022-01-17,11.02974
2022-01-18,12.67734
2022-01-19,13.22654
2022-01-20,13.86727
2022-01-21,14.41647
2022-01-22,8.64988
2022-01-23,6.77345
2022-01-24,9.83981
2022-01-25,15.0572
2022-01-26,12.67734
2022-01-27,13.08924
2022-01-28,15.0572
2022-01-29,11.57894
2022-01-30,6.59038
2022-01-31,9.19908
2022-02-01,21.23569
2022-02-02,19.54233
2022-02-03,20.09153
2022-02-04,16.93363
2022-02-05,13.27231
2022-02-06,8.19221
2022-02-07,12.67734
2022-02-08,15.0572
2022-02-09,15.65217
2022-02-10,16.8421
2022-02-11,14.14187
2022-02-12,7.87185
2022-02-13,6.54462
2022-02-14,8.37528
2022-02-15,12.81464
2022-02-16,13.91304
2022-02-17,12.67734
2022-02-18,12.40274
2022-02-19,6.27002
2022-02-20,5.90389
2022-02-21,7.32265
2022-02-22,8.14645
2022-02-23,9.38215
2022-02-24,12.08237
2022-02-25,12.21967
2022-02-26,8.60411
2022-02-27,5.30892
2022-02-28,8.64988
2022-03-01,12.12814
2022-03-02,9.61098
2022-03-03,10.80091
2022-03-04,10.75514
2022-03-05,8.78718
2022-03-06,5.72082
2022-03-07,7.04805
2022-03-08,8.32951
2022-03-09,7.50572
2022-03-10,8.92448
2022-03-11,9.24485
2022-03-12,8.28375
2022-03-13,4.25629
2022-03-14,6.81922
2022-03-15,10.70938
2022-03-16,12.35697
2022-03-17,16.0183
2022-03-18,15.01144
2022-03-19,11.48741
2022-03-20,7.87185
2022-03-21,11.35011
2022-03-22,14.508
2022-03-23,17.62013
2022-03-24,16.9794
2022-03-25,16.24713
2022-03-26,10.98398
2022-03-27,7.32265
2022-03-28,13.13501
2022-03-29,19.67963
2022-03-30,20.41189
2022-03-31,19.3135
2022-04-01,14.3707
2022-04-02,8.37528
2022-04-03,6.81922
2022-04-04,14.0961
2022-04-05,17.07093
2022-04-06,9.61098
2022-04-07,9.93135
2022-04-08,9.70251
