date,SOXL
2022-12-01,18.82811
2022-12-02,11.14097
2022-12-03,5.79223
2022-12-04,3.83013
2022-12-05,6.42386
2022-12-06,8.43972
2022-12-07,11.03346
2022-12-08,8.84289
2022-12-09,11.47695
2022-12-10,5.68471
2022-12-11,3.66886
2022-12-12,6.69264
2022-12-13,15.91183
2022-12-14,14.44698
2022-12-15,11.38287
2022-12-16,14.4873
2022-12-17,7.82152
2022-12-18,4.95901
2022-12-19,6.46418
2022-12-20,13.08963
2022-12-21,10.4959
2022-12-22,11.31568
2022-12-23,18.88187
2022-12-24,7.82152
2022-12-25,4.98588
2022-12-26,6.7464
2022-12-27,8.30533
2022-12-28,14.32603
2022-12-29,13.58688
2022-12-30,10.79156
2022-12-31,6.82703
2023-01-01,4.63647
2023-01-02,5.20091
2023-01-03,7.55274
2023-01-04,11.88012
2023-01-05,10.93938
2023-01-06,9.24606
2023-01-07,14.24539
2023-01-08,5.83254
2023-01-09,11.65165
2023-01-10,15.79088
2023-01-11,12.55207
2023-01-12,14.94422
2023-01-13,12.44456
2023-01-14,10.91251
2023-01-15,4.73054
2023-01-16,6.34323
2023-01-17,6.94799
2023-01-18,13.41217
2023-01-19,11.88012
2023-01-20,10.34807
2023-01-21,12.78054
2023-01-22,3.857
2023-01-23,6.77328
2023-01-24,23.61241
2023-01-25,14.662
2023-01-26,15.15925
2023-01-27,17.59172
2023-01-28,10.79156
2023-01-29,5.55032
2023-01-30,9.17887
2023-01-31,11.66509
2023-02-01,12.26985
2023-02-02,31.70272
2023-02-03,27.13344
2023-02-04,12.96868
2023-02-05,5.89974
2023-02-06,11.62478
2023-02-07,12.13546
2023-02-08,19.24472
2023-02-09,13.30466
2023-02-10,11.63822
2023-02-11,7.88872
2023-02-12,4.5424
2023-02-13,7.56618
2023-02-14,12.13546
2023-02-15,14.4873
2023-02-16,12.86117
2023-02-17,9.47453
2023-02-18,6.82703
2023-02-19,3.52103
2023-02-20,5.52345
2023-02-21,7.33772
2023-02-22,12.1489
2023-02-23,13.41217
2023-02-24,11.75917
2023-02-25,6.8136
2023-02-26,3.80325
2023-02-27,6.15508
2023-02-28,7.16301
2023-03-01,6.69264
