date,메리츠
2022-06-12,1.26743
2022-06-13,5.62634
2022-06-14,5.40504
2022-06-15,6.18964
2022-06-16,5.00268
2022-06-17,5.17703
2022-06-18,2.30686
2022-06-19,2.14592
2022-06-20,7.75214
2022-06-21,6.2567
2022-06-22,5.80069
2022-06-23,5.88787
2022-06-24,4.98256
2022-06-25,1.63626
2022-06-26,1.49543
2022-06-27,5.96164
2022-06-28,7.18884
2022-06-29,6.65236
2022-06-30,6.9273
2022-07-01,5.10997
2022-07-02,1.63626
2022-07-03,1.5692
2022-07-04,5.54586
2022-07-05,5.42516
2022-07-06,5.29104
2022-07-07,7.34307
2022-07-08,5.30445
2022-07-09,1.59603
2022-07-10,1.38143
2022-07-11,6.01528
2022-07-12,5.17703
2022-07-13,4.98927
2022-07-14,4.78809
2022-07-15,5.86105
2022-07-16,1.79721
2022-07-17,1.48202
2022-07-18,5.8074
2022-07-19,5.40504
2022-07-20,5.76716
2022-07-21,4.85515
2022-07-22,4.70761
2022-07-23,1.72344
2022-07-24,1.58261
2022-07-25,6.53835
2022-07-26,5.98846
2022-07-27,5.6934
2022-07-28,5.73363
2022-07-29,5.21727
2022-07-30,1.71003
2022-07-31,1.6765
2022-08-01,5.48551
2022-08-02,4.98256
2022-08-03,5.00268
2022-08-04,4.74114
2022-08-05,5.32457
2022-08-06,1.73685
2022-08-07,1.57591
2022-08-08,5.82081
2022-08-09,5.42516
2022-08-10,6.69259
2022-08-11,5.89458
2022-08-12,5.63975
2022-08-13,1.54908
2022-08-14,1.44849
2022-08-15,1.54908
2022-08-16,6.34388
2022-08-17,5.75375
2022-08-18,6.06223
2022-08-19,5.88116
2022-08-20,1.73015
2022-08-21,1.66979
2022-08-22,6.6993
2022-08-23,6.21646
2022-08-24,6.29023
2022-08-25,6.28353
2022-08-26,6.1494
2022-08-27,2.11909
2022-08-28,1.71673
2022-08-29,6.44447
2022-08-30,6.00187
2022-08-31,7.41684
2022-09-01,5.91469
2022-09-02,5.64645
2022-09-03,2.07215
2022-09-04,1.5625
2022-09-05,5.6934
2022-09-06,5.04291
2022-09-07,5.59951
2022-09-08,4.6942
2022-09-09,1.39484
2022-09-10,1.26743
2022-09-11,1.39484
2022-09-12,1.55579
2022-09-13,6.51824
2022-09-14,5.53245
2022-09-15,5.67998
2022-09-16,5.37151
2022-09-17,1.79721
2022-09-18,1.30096
2022-09-19,5.78057
2022-09-20,5.46539
2022-09-21,5.89458
2022-09-22,5.39833
2022-09-23,5.43857
2022-09-24,1.80391
2022-09-25,1.54238
2022-09-26,6.88036
2022-09-27,6.44447
2022-09-28,6.29023
2022-09-29,6.25
2022-09-30,6.64565
2022-10-01,1.95144
2022-10-02,1.38143
2022-10-03,1.98497
2022-10-04,6.2567
2022-10-05,6.12258
2022-10-06,5.35139
2022-10-07,5.37151
2022-10-08,1.59603
2022-10-09,1.39484
2022-10-10,1.79721
2022-10-11,6.74624
2022-10-12,6.00187
2022-10-13,5.49222
2022-10-14,4.84844
2022-10-15,1.99839
2022-10-16,1.84415
2022-10-17,6.35059
