date,모의투자
2023-02-06,15.44502
2023-02-07,19.89528
2023-02-08,21.46596
2023-02-09,17.0157
2023-02-10,15.7068
2023-02-11,9.68586
2023-02-12,8.11518
2023-02-13,15.44502
2023-02-14,18.58638
2023-02-15,17.27748
2023-02-16,17.27748
2023-02-17,15.18324
2023-02-18,8.63874
2023-02-19,8.11518
2023-02-20,18.84816
2023-02-21,18.06282
2023-02-22,21.98952
2023-02-23,17.27748
2023-02-24,14.13612
2023-02-25,8.90052
2023-02-26,9.94764
2023-02-27,15.44502
2023-02-28,18.58638
2023-03-01,14.13612
2023-03-02,51.04712
2023-03-03,61.51832
2023-03-04,29.58115
2023-03-05,43.97905
2023-03-06,31.41361
2023-03-07,40.83769
2023-03-08,37.95811
2023-03-09,36.12565
2023-03-10,27.48691
2023-03-11,17.27748
2023-03-12,24.60732
2023-03-13,27.48691
2023-03-14,28.27225
2023-03-15,33.24607
2023-03-16,24.34554
2023-03-17,36.12565
2023-03-18,17.53926
2023-03-19,17.53926
2023-03-20,26.43979
2023-03-21,28.27225
2023-03-22,28.53403
2023-03-23,19.89528
2023-03-24,29.58115
2023-03-25,18.06282
2023-03-26,15.18324
2023-03-27,25.13089
2023-03-28,29.31937
2023-03-29,29.84293
2023-03-30,26.96335
2023-03-31,23.5602
2023-04-01,14.3979
2023-04-02,15.44502
2023-04-03,23.29842
2023-04-04,24.8691
2023-04-05,29.31937
2023-04-06,31.15183
2023-04-07,23.5602
2023-04-08,12.30366
2023-04-09,11.7801
2023-04-10,26.70157
2023-04-11,32.98429
2023-04-12,25.91623
2023-04-13,30.89005
2023-04-14,26.70157
2023-04-15,12.82722
2023-04-16,13.87434
2023-04-17,21.20418
2023-04-18,25.39267
2023-04-19,20.15706
2023-04-20,22.2513
2023-04-21,16.49214
2023-04-22,10.99476
2023-04-23,11.25654
2023-04-24,20.41884
2023-04-25,21.98952
2023-04-26,21.72774
2023-04-27,15.44502
2023-04-28,15.96858
2023-04-29,14.3979
2023-04-30,12.56544
2023-05-01,16.75392
2023-05-02,24.34554
2023-05-03,27.48691
2023-05-04,25.91623
2023-05-05,22.2513
2023-05-06,14.65968
2023-05-07,10.20942
2023-05-08,19.6335
2023-05-09,19.10994
2023-05-10,25.13089
2023-05-11,18.3246
2023-05-12,19.37172
2023-05-13,11.25654
2023-05-14,10.20942
2023-05-15,14.3979
2023-05-16,26.96335
2023-05-17,26.70157
2023-05-18,22.2513
2023-05-19,20.41884
2023-05-20,13.35078
2023-05-21,15.44502
2023-05-22,22.51308
2023-05-23,23.82198
2023-05-24,26.96335
2023-05-25,23.5602
2023-05-26,20.9424
2023-05-27,14.92146
