date,CPM
2022-09-20,74.49768
2022-09-21,71.40649
2022-09-22,67.85162
2022-09-23,55.95054
2022-09-24,30.60278
2022-09-25,27.66615
2022-09-26,62.44204
2022-09-27,69.70633
2022-09-28,62.75115
2022-09-29,66.46058
2022-09-30,55.79598
2022-10-01,29.82998
2022-10-02,32.14837
2022-10-03,30.29366
2022-10-04,72.33384
2022-10-05,67.5425
2022-10-06,68.00618
2022-10-07,50.69551
2022-10-08,24.57496
2022-10-09,20.55641
2022-10-10,34.62132
2022-10-11,70.17001
2022-10-12,62.13292
2022-10-13,73.57032
2022-10-14,62.59659
2022-10-15,33.38485
2022-10-16,36.6306
2022-10-17,90.88098
2022-10-18,72.4884
2022-10-19,81.91653
2022-10-20,75.27047
2022-10-21,59.19629
2022-10-22,29.3663
2022-10-23,35.70324
2022-10-24,73.72488
2022-10-25,71.09737
2022-10-26,80.5255
2022-10-27,62.90571
2022-10-28,57.03245
2022-10-29,32.76661
2022-10-30,35.8578
2022-10-31,67.69706
2022-11-01,73.10664
2022-11-02,72.33384
2022-11-03,67.85162
2022-11-04,62.28748
2022-11-05,27.35703
2022-11-06,27.51159
2022-11-07,68.16074
2022-11-08,68.62442
2022-11-09,75.42503
2022-11-10,91.65378
2022-11-11,65.68778
2022-11-12,30.29366
2022-11-13,32.92117
2022-11-14,78.51622
2022-11-15,86.08964
2022-11-16,79.44358
2022-11-17,71.56105
2022-11-18,61.051
2022-11-19,33.84853
2022-11-20,34.46676
2022-11-21,78.05255
2022-11-22,67.5425
2022-11-23,73.10664
2022-11-24,63.21483
2022-11-25,59.19629
2022-11-26,34.15765
2022-11-27,30.1391
2022-11-28,63.52395
2022-11-29,71.09737
2022-11-30,74.49768
2022-12-01,71.25193
2022-12-02,62.13292
2022-12-03,28.90262
2022-12-04,33.69397
2022-12-05,76.35239
2022-12-06,78.9799
2022-12-07,73.72488
2022-12-08,76.19783
2022-12-09,74.034
2022-12-10,49.30448
2022-12-11,36.78516
2022-12-12,76.66151
2022-12-13,73.2612
2022-12-14,72.17928
2022-12-15,70.17001
2022-12-16,61.97836
2022-12-17,33.07573
2022-12-18,33.23029
2022-12-19,70.32457
2022-12-20,79.7527
2022-12-21,75.88871
2022-12-22,62.90571
2022-12-23,51.00463
2022-12-24,23.18392
2022-12-25,19.78361
2022-12-26,63.98763
2022-12-27,60.89644
2022-12-28,57.18701
2022-12-29,56.1051
2022-12-30,46.98608
2022-12-31,24.11128
2023-01-01,24.11128
2023-01-02,64.76043
2023-01-03,77.43431
2023-01-04,71.40649
2023-01-05,74.034
2023-01-06,72.02472
2023-01-07,27.35703
2023-01-08,24.57496
2023-01-09,71.87017
2023-01-10,78.05255
2023-01-11,74.034
2023-01-12,72.79752
2023-01-13,61.97836
2023-01-14,36.01236
2023-01-15,27.51159
2023-01-16,71.71561
2023-01-17,65.9969
2023-01-18,73.57032
2023-01-19,69.08809
2023-01-20,52.08655
2023-01-21,19.78361
2023-01-22,19.93817
2023-01-23,23.49304
2023-01-24,31.06646
2023-01-25,65.9969
2023-01-26,73.2612
2023-01-27,72.02472
2023-01-28,35.085
2023-01-29,28.90262
2023-01-30,68.62442
2023-01-31,71.71561
2023-02-01,67.5425
2023-02-02,75.57959
2023-02-03,61.97836
2023-02-04,30.29366
2023-02-05,31.68469
2023-02-06,68.77897
2023-02-07,75.11591
2023-02-08,78.82534
2023-02-09,69.08809
2023-02-10,62.90571
2023-02-11,31.06646
2023-02-12,32.61205
2023-02-13,73.41576
2023-02-14,74.65224
2023-02-15,74.96136
2023-02-16,68.16074
2023-02-17,60.58732
2023-02-18,33.84853
2023-02-19,32.76661
2023-02-20,64.29675
2023-02-21,73.57032
2023-02-22,75.73415
2023-02-23,65.53323
2023-02-24,61.66924
2023-02-25,32.14837
2023-02-26,29.82998
2023-02-27,63.67851
2023-02-28,67.69706
2023-03-01,37.24884
2023-03-02,66.15146
2023-03-03,62.44204
2023-03-04,35.085
2023-03-05,33.07573
2023-03-06,68.93353
2023-03-07,79.90726
2023-03-08,78.51622
2023-03-09,78.67078
2023-03-10,75.42503
2023-03-11,38.63987
2023-03-12,30.9119
2023-03-13,81.14374
2023-03-14,78.51622
2023-03-15,78.05255
2023-03-16,73.10664
2023-03-17,73.10664
2023-03-18,31.06646
2023-03-19,29.82998
2023-03-20,81.14374
2023-03-21,87.94435
2023-03-22,75.42503
2023-03-23,70.32457
2023-03-24,68.77897
2023-03-25,35.70324
2023-03-26,31.68469
2023-03-27,74.96136
2023-03-28,76.66151
2023-03-29,73.57032
2023-03-30,76.50695
2023-03-31,56.72333
2023-04-01,27.66615
2023-04-02,32.14837
2023-04-03,72.95208
2023-04-04,76.50695
2023-04-05,81.60741
2023-04-06,73.2612
2023-04-07,61.97836
2023-04-08,30.44822
2023-04-09,25.19319
2023-04-10,68.16074
2023-04-11,79.59814
2023-04-12,73.72488
2023-04-13,76.19783
2023-04-14,58.73261
2023-04-15,35.54868
2023-04-16,33.84853
2023-04-17,68.46986
2023-04-18,79.28902
2023-04-19,73.2612
2023-04-20,77.89799
2023-04-21,59.65996
2023-04-22,31.83925
2023-04-23,34.00309
2023-04-24,78.2071
2023-04-25,71.56105
2023-04-26,66.46058
2023-04-27,59.5054
2023-04-28,57.80525
2023-04-29,26.12055
2023-04-30,23.6476
2023-05-01,41.26738
2023-05-02,72.33384
2023-05-03,70.94281
2023-05-04,62.75115
2023-05-05,28.90262
2023-05-06,32.30293
2023-05-07,28.90262
2023-05-08,70.17001
2023-05-09,70.94281
2023-05-10,70.17001
2023-05-11,70.01545
2023-05-12,56.56877
2023-05-13,38.17619
2023-05-14,31.22102
2023-05-15,70.17001
2023-05-16,74.49768
2023-05-17,70.01545
2023-05-18,68.00618
2023-05-19,56.56877
2023-05-20,33.38485
2023-05-21,27.51159
2023-05-22,72.33384
2023-05-23,68.46986
2023-05-24,69.39721
2023-05-25,69.39721
2023-05-26,52.85935
2023-05-27,23.80216
2023-05-28,31.06646
