date,환급금조회
2022-07-30,3.33541
2022-07-31,3.37711
2022-08-01,4.64873
2022-08-02,4.46112
2022-08-03,5.21159
2022-08-04,4.12757
2022-08-05,4.58619
2022-08-06,2.91849
2022-08-07,2.73087
2022-08-08,4.64873
2022-08-09,6.04544
2022-08-10,5.31582
2022-08-11,5.7119
2022-08-12,5.77444
2022-08-13,3.37711
2022-08-14,3.31457
2022-08-15,4.41942
2022-08-16,6.2956
2022-08-17,5.79528
2022-08-18,5.94121
2022-08-19,7.1086
2022-08-20,3.93996
2022-08-21,3.66895
2022-08-22,4.41942
2022-08-23,5.73274
2022-08-24,8.81801
2022-08-25,6.77506
2022-08-26,10.40233
2022-08-27,6.31644
2022-08-28,5.7119
2022-08-29,9.00562
2022-08-30,8.13008
2022-08-31,8.98478
2022-09-01,6.75422
2022-09-02,6.44152
2022-09-03,3.85657
2022-09-04,4.71127
2022-09-05,5.10735
2022-09-06,5.85782
2022-09-07,5.7119
2022-09-08,5.69105
2022-09-09,3.33541
2022-09-10,2.5641
2022-09-11,2.41817
2022-09-12,2.5641
2022-09-13,4.12757
2022-09-14,4.12757
2022-09-15,4.31519
2022-09-16,3.46049
2022-09-17,2.18886
2022-09-18,2.27225
2022-09-19,3.73149
2022-09-20,5.25328
2022-09-21,3.89826
2022-09-22,4.25265
2022-09-23,4.08588
2022-09-24,1.81363
2022-09-25,1.56347
2022-09-26,4.37773
2022-09-27,4.14842
2022-09-28,7.33791
2022-09-29,8.29685
2022-09-30,6.04544
2022-10-01,3.48134
2022-10-02,3.27287
2022-10-03,3.12695
2022-10-04,4.8572
2022-10-05,4.91974
2022-10-06,3.52303
2022-10-07,3.04356
2022-10-08,1.56347
2022-10-09,1.64686
2022-10-10,1.73024
2022-10-11,3.77319
2022-10-12,4.16927
2022-10-13,3.62726
2022-10-14,3.08526
2022-10-15,1.68855
2022-10-16,1.50093
2022-10-17,2.91849
2022-10-18,3.46049
2022-10-19,3.66895
2022-10-20,4.33604
2022-10-21,3.50218
2022-10-22,1.81363
2022-10-23,1.9804
2022-10-24,4.06504
2022-10-25,4.31519
2022-10-26,4.71127
2022-10-27,5.16989
2022-10-28,4.04419
2022-10-29,1.89701
2022-10-30,2.41817
2022-10-31,4.46112
2022-11-01,4.37773
2022-11-02,4.41942
2022-11-03,4.50281
2022-11-04,3.85657
2022-11-05,2.41817
2022-11-06,2.89764
2022-11-07,4.69043
2022-11-08,4.91974
2022-11-09,4.50281
2022-11-10,5.00312
2022-11-11,4.12757
2022-11-12,2.81425
2022-11-13,2.85595
2022-11-14,4.23181
2022-11-15,4.48196
2022-11-16,5.46174
2022-11-17,5.23243
2022-11-18,5.48259
2022-11-19,2.08463
2022-11-20,3.08526
2022-11-21,5.25328
2022-11-22,6.17052
2022-11-23,5.3992
2022-11-24,5.35751
2022-11-25,4.98228
2022-11-26,2.8351
2022-11-27,3.62726
2022-11-28,4.79466
2022-11-29,4.60704
2022-11-30,5.02397
2022-12-01,5.81613
2022-12-02,4.73212
2022-12-03,2.85595
2022-12-04,3.12695
2022-12-05,5.02397
2022-12-06,4.41942
2022-12-07,5.16989
2022-12-08,4.73212
2022-12-09,8.08838
2022-12-10,3.12695
2022-12-11,3.93996
2022-12-12,6.54575
2022-12-13,7.00437
2022-12-14,6.27475
2022-12-15,5.14905
2022-12-16,4.77381
2022-12-17,3.33541
2022-12-18,2.8351
2022-12-19,5.69105
2022-12-20,5.7119
