date,캐쉬백
2022-05-15,0.71333
2022-05-16,1.51582
2022-05-17,1.18888
2022-05-18,1.32263
2022-05-19,1.79818
2022-05-20,1.94679
2022-05-21,1.45638
2022-05-22,1.67929
2022-05-23,2.31832
2022-05-24,1.29291
2022-05-25,1.42666
2022-05-26,1.18888
2022-05-27,0.93624
2022-05-28,0.80249
2022-05-29,0.66874
2022-05-30,1.2186
2022-05-31,1.1443
2022-06-01,0.83221
2022-06-02,1.27805
2022-06-03,1.17402
2022-06-04,0.80249
2022-06-05,0.98082
2022-06-06,0.99569
2022-06-07,1.39693
2022-06-08,1.04027
2022-06-09,0.89166
2022-06-10,0.93624
2022-06-11,0.96596
2022-06-12,0.89166
2022-06-13,1.06999
2022-06-14,0.99569
2022-06-15,0.92138
2022-06-16,0.96596
2022-06-17,0.89166
2022-06-18,0.74305
2022-06-19,0.83221
2022-06-20,1.1443
2022-06-21,0.81735
2022-06-22,0.98082
2022-06-23,1.2186
2022-06-24,1.27805
2022-06-25,0.96596
2022-06-26,0.92138
2022-06-27,1.36721
2022-06-28,1.39693
2022-06-29,1.12943
2022-06-30,1.41179
2022-07-01,1.05513
2022-07-02,0.66874
2022-07-03,0.78763
2022-07-04,1.4861
2022-07-05,1.59013
2022-07-06,1.05513
2022-07-07,1.26318
2022-07-08,1.05513
2022-07-09,0.69846
2022-07-10,0.8768
2022-07-11,1.17402
2022-07-12,0.96596
2022-07-13,0.81735
2022-07-14,1.05513
2022-07-15,0.90652
2022-07-16,0.6836
2022-07-17,0.54985
2022-07-18,0.96596
2022-07-19,0.9511
2022-07-20,0.90652
2022-07-21,0.99569
2022-07-22,1.01055
2022-07-23,0.84707
2022-07-24,0.77277
2022-07-25,1.08485
2022-07-26,1.01055
2022-07-27,0.93624
2022-07-28,0.98082
2022-07-29,0.84707
2022-07-30,0.65388
2022-07-31,0.6836
2022-08-01,1.08485
2022-08-02,1.27805
2022-08-03,1.15916
2022-08-04,1.05513
2022-08-05,0.93624
2022-08-06,0.6836
2022-08-07,0.65388
2022-08-08,0.9511
2022-08-09,1.02541
2022-08-10,1.20374
2022-08-11,1.26318
2022-08-12,0.77277
2022-08-13,0.62416
2022-08-14,0.65388
2022-08-15,0.83221
2022-08-16,1.1443
2022-08-17,1.08485
2022-08-18,1.17402
2022-08-19,1.06999
2022-08-20,7.90607
2022-08-21,12.70619
2022-08-22,1.69415
2022-08-23,1.63471
2022-08-24,3.2397
2022-08-25,1.26318
2022-08-26,1.17402
2022-08-27,0.74305
2022-08-28,0.63902
2022-08-29,1.29291
2022-08-30,1.33749
2022-08-31,1.33749
2022-09-01,1.05513
2022-09-02,1.2186
2022-09-03,0.83221
2022-09-04,0.99569
2022-09-05,1.70902
2022-09-06,7.59399
2022-09-07,1.17402
2022-09-08,0.72819
2022-09-09,0.69846
2022-09-10,0.66874
2022-09-11,0.6836
2022-09-12,0.89166
2022-09-13,1.39693
2022-09-14,1.24832
2022-09-15,1.20374
2022-09-16,4.71095
2022-09-17,0.92138
2022-09-18,0.74305
2022-09-19,1.27805
2022-09-20,1.12943
2022-09-21,1.15916
2022-09-22,1.11457
2022-09-23,0.92138
2022-09-24,0.53499
2022-09-25,1.01055
2022-09-26,2.98707
2022-09-27,1.17402
2022-09-28,1.4861
2022-09-29,1.05513
2022-09-30,1.20374
2022-10-01,1.90221
2022-10-02,2.0211
2022-10-03,1.64957
2022-10-04,1.41179
2022-10-05,1.69415
2022-10-06,1.33749
2022-10-07,1.36721
2022-10-08,0.83221
2022-10-09,0.77277
2022-10-10,0.9511
2022-10-11,1.50096
2022-10-12,1.39693
2022-10-13,1.09971
2022-10-14,1.23346
2022-10-15,1.15916
2022-10-16,1.02541
2022-10-17,1.51582
2022-10-18,1.51582
2022-10-19,1.02541
2022-10-20,1.26318
2022-10-21,0.98082
2022-10-22,0.90652
2022-10-23,0.8768
2022-10-24,1.17402
2022-10-25,1.18888
2022-10-26,1.35235
2022-10-27,0.9511
2022-10-28,1.12943
2022-10-29,0.84707
2022-10-30,0.65388
2022-10-31,1.35235
2022-11-01,1.35235
2022-11-02,1.04027
2022-11-03,1.29291
2022-11-04,1.11457
2022-11-05,0.86194
2022-11-06,0.71333
2022-11-07,1.35235
2022-11-08,1.39693
2022-11-09,1.38207
2022-11-10,3.86387
2022-11-11,4.08678
2022-11-12,0.62416
2022-11-13,0.66874
2022-11-14,1.42666
2022-11-15,1.59013
2022-11-16,1.47124
2022-11-17,1.1443
2022-11-18,0.99569
2022-11-19,0.77277
2022-11-20,0.8768
2022-11-21,1.39693
2022-11-22,1.27805
2022-11-23,1.42666
2022-11-24,4.14623
2022-11-25,1.2186
2022-11-26,0.71333
2022-11-27,0.71333
2022-11-28,1.54554
2022-11-29,1.87249
2022-11-30,1.8279
2022-12-01,1.38207
2022-12-02,1.05513
2022-12-03,0.80249
2022-12-04,0.86194
2022-12-05,1.44152
2022-12-06,1.33749
2022-12-07,1.24832
2022-12-08,1.12943
2022-12-09,1.1443
2022-12-10,0.84707
2022-12-11,1.01055
2022-12-12,1.29291
2022-12-13,1.35235
2022-12-14,1.36721
2022-12-15,1.51582
2022-12-16,1.27805
2022-12-17,0.9511
2022-12-18,0.75791
2022-12-19,1.2186
2022-12-20,1.41179
2022-12-21,1.33749
2022-12-22,1.32263
2022-12-23,1.56041
2022-12-24,0.96596
2022-12-25,1.08485
2022-12-26,1.2186
2022-12-27,1.50096
2022-12-28,1.45638
2022-12-29,1.39693
2022-12-30,1.41179
2022-12-31,0.8768
2023-01-01,0.77277
2023-01-02,1.35235
2023-01-03,2.0211
2023-01-04,1.7536
2023-01-05,1.57527
2023-01-06,1.66443
2023-01-07,1.42666
2023-01-08,1.18888
2023-01-09,1.44152
2023-01-10,1.57527
2023-01-11,1.63471
2023-01-12,2.06568
2023-01-13,3.00193
2023-01-14,1.23346
2023-01-15,1.2186
2023-01-16,1.64957
2023-01-17,1.50096
2023-01-18,1.44152
2023-01-19,1.41179
2023-01-20,1.2186
2023-01-21,1.44152
2023-01-22,1.87249
2023-01-23,1.41179
2023-01-24,1.59013
2023-01-25,1.87249
2023-01-26,1.79818
2023-01-27,1.54554
2023-01-28,1.57527
2023-01-29,1.53068
2023-01-30,1.90221
2023-01-31,2.60068
2023-02-01,2.15485
2023-02-02,1.57527
2023-02-03,1.88735
2023-02-04,1.26318
2023-02-05,1.39693
2023-02-06,3.87873
2023-02-07,6.73205
2023-02-08,5.55803
2023-02-09,3.1654
2023-02-10,2.66012
2023-02-11,1.36721
2023-02-12,1.35235
2023-02-13,1.90221
2023-02-14,1.50096
2023-02-15,1.69415
2023-02-16,1.81304
2023-02-17,1.70902
2023-02-18,1.23346
2023-02-19,0.96596
2023-02-20,1.54554
2023-02-21,1.87249
2023-02-22,1.69415
2023-02-23,1.33749
2023-02-24,1.35235
2023-02-25,0.90652
2023-02-26,0.93624
2023-02-27,1.54554
2023-02-28,1.70902
2023-03-01,1.15916
2023-03-02,1.32263
2023-03-03,1.23346
2023-03-04,0.9511
2023-03-05,1.08485
2023-03-06,1.50096
2023-03-07,1.20374
2023-03-08,1.53068
2023-03-09,1.38207
2023-03-10,1.17402
2023-03-11,1.05513
2023-03-12,0.75791
2023-03-13,1.24832
2023-03-14,1.4861
2023-03-15,1.51582
2023-03-16,1.27805
2023-03-17,1.11457
2023-03-18,1.01055
2023-03-19,0.72819
2023-03-20,1.15916
2023-03-21,1.20374
2023-03-22,1.51582
2023-03-23,1.53068
2023-03-24,1.30777
2023-03-25,0.90652
2023-03-26,3.03165
2023-03-27,1.27805
2023-03-28,1.1443
2023-03-29,1.36721
2023-03-30,1.30777
2023-03-31,1.08485
2023-04-01,0.96596
2023-04-02,0.86194
2023-04-03,1.63471
2023-04-04,1.20374
2023-04-05,1.17402
2023-04-06,1.35235
2023-04-07,1.09971
2023-04-08,0.96596
2023-04-09,1.02541
2023-04-10,1.56041
2023-04-11,1.11457
2023-04-12,1.17402
2023-04-13,1.17402
2023-04-14,1.27805
2023-04-15,0.86194
2023-04-16,0.89166
2023-04-17,1.42666
2023-04-18,1.05513
2023-04-19,1.06999
2023-04-20,1.30777
2023-04-21,1.26318
2023-04-22,0.72819
2023-04-23,0.96596
2023-04-24,0.98082
2023-04-25,0.96596
2023-04-26,1.44152
2023-04-27,1.09971
2023-04-28,1.38207
2023-04-29,0.65388
2023-04-30,1.05513
2023-05-01,0.93624
2023-05-02,1.26318
2023-05-03,1.32263
2023-05-04,1.20374
2023-05-05,0.71333
2023-05-06,0.54985
2023-05-07,0.90652
2023-05-08,1.33749
2023-05-09,1.26318
2023-05-10,1.11457
2023-05-11,1.15916
2023-05-12,1.01055
2023-05-13,0.54985
2023-05-14,0.77277
2023-05-15,1.27805
2023-05-16,1.15916
2023-05-17,1.12943
2023-05-18,1.67929
2023-05-19,1.12943
2023-05-20,0.83221
2023-05-21,0.93624
2023-05-22,1.33749
2023-05-23,1.2186
2023-05-24,1.18888
2023-05-25,1.33749
2023-05-26,1.05513
