date,삼성주가
2023-03-26,0.04916
2023-03-27,0.26069
2023-03-28,0.25578
2023-03-29,0.24291
2023-03-30,0.27533
2023-03-31,0.27018
2023-04-01,0.06807
2023-04-02,0.05592
2023-04-03,0.28249
2023-04-04,0.27574
2023-04-05,0.28362
2023-04-06,0.28386
2023-04-07,0.43923
2023-04-08,0.08858
2023-04-09,0.06774
2023-04-10,0.39329
2023-04-11,0.37832
2023-04-12,0.34445
2023-04-13,0.34429
2023-04-14,0.32956
2023-04-15,0.0671
2023-04-16,0.04682
2023-04-17,0.30333
2023-04-18,0.29859
2023-04-19,0.30438
2023-04-20,0.27566
2023-04-21,0.28193
2023-04-22,0.06412
2023-04-23,0.04867
2023-04-24,0.25715
2023-04-25,0.2738
2023-04-26,0.27364
2023-04-27,0.27429
2023-04-28,0.24428
2023-04-29,0.06646
2023-04-30,0.04521
2023-05-01,0.11827
2023-05-02,0.24218
2023-05-03,0.22851
2023-05-04,0.22062
2023-05-05,0.06444
2023-05-06,0.04441
2023-05-07,0.04103
2023-05-08,0.21515
2023-05-09,0.20187
2023-05-10,0.20944
2023-05-11,0.20783
2023-05-12,0.19149
2023-05-13,0.04739
2023-05-14,0.04151
2023-05-15,0.19986
2023-05-16,0.22295
2023-05-17,0.20388
2023-05-18,0.21957
2023-05-19,0.32104
2023-05-20,0.07378
2023-05-21,0.05471
2023-05-22,0.31484
2023-05-23,0.28233
2023-05-24,0.26294
2023-05-25,0.287
2023-05-26,0.35837
2023-05-27,0.08166
