date,신세계백화점제휴카드
2022-07-03,48.27586
2022-07-04,26.20689
2022-07-05,29.65517
2022-07-06,24.13793
2022-07-07,28.96551
2022-07-08,21.37931
2022-07-09,41.37931
2022-07-10,28.96551
2022-07-11,32.41379
2022-07-12,43.44827
2022-07-13,33.10344
2022-07-14,31.03448
2022-07-15,22.75862
2022-07-16,37.93103
2022-07-17,31.03448
2022-07-18,35.86206
2022-07-19,35.17241
2022-07-20,37.24137
2022-07-21,22.75862
2022-07-22,34.48275
2022-07-23,27.5862
2022-07-24,40.68965
2022-07-25,33.7931
2022-07-26,22.06896
2022-07-27,20.68965
2022-07-28,22.75862
2022-07-29,18.62068
2022-07-30,22.75862
2022-07-31,30.34482
2022-08-01,48.27586
2022-08-02,31.03448
2022-08-03,31.03448
2022-08-04,33.10344
2022-08-05,37.24137
2022-08-06,37.24137
2022-08-07,39.31034
2022-08-08,31.72413
2022-08-09,33.7931
2022-08-10,25.51724
2022-08-11,40.68965
2022-08-12,35.86206
2022-08-13,33.7931
2022-08-14,44.82758
2022-08-15,38.62068
2022-08-16,32.41379
2022-08-17,27.5862
2022-08-18,30.34482
2022-08-19,40.68965
2022-08-20,41.37931
2022-08-21,45.51724
2022-08-22,32.41379
2022-08-23,31.03448
2022-08-24,30.34482
2022-08-25,33.7931
2022-08-26,25.51724
2022-08-27,28.96551
2022-08-28,24.82758
2022-08-29,37.93103
2022-08-30,26.89655
2022-08-31,39.31034
2022-09-01,44.82758
2022-09-02,31.72413
2022-09-03,53.10344
2022-09-04,48.27586
2022-09-05,33.7931
2022-09-06,38.62068
2022-09-07,36.55172
2022-09-08,31.03448
2022-09-09,11.03448
2022-09-10,14.48275
2022-09-11,33.7931
2022-09-12,51.72413
2022-09-13,45.51724
2022-09-14,38.62068
2022-09-15,44.82758
2022-09-16,41.37931
2022-09-17,28.96551
2022-09-18,49.65517
2022-09-19,42.75862
2022-09-20,24.82758
2022-09-21,48.96551
2022-09-22,24.13793
2022-09-23,32.41379
2022-09-24,24.82758
2022-09-25,32.41379
2022-09-26,37.93103
2022-09-27,35.17241
2022-09-28,14.48275
2022-09-29,34.48275
2022-09-30,35.86206
2022-10-01,44.82758
2022-10-02,37.93103
2022-10-03,31.72413
2022-10-04,32.41379
2022-10-05,37.24137
2022-10-06,15.86206
2022-10-07,39.31034
2022-10-08,44.13793
2022-10-09,63.44827
2022-10-10,55.86206
2022-10-11,40.68965
2022-10-12,39.31034
2022-10-13,37.93103
2022-10-14,65.51724
2022-10-15,25.51724
2022-10-16,48.27586
2022-10-17,38.62068
2022-10-18,30.34482
2022-10-19,35.17241
2022-10-20,38.62068
2022-10-21,35.86206
2022-10-22,27.5862
2022-10-23,31.72413
2022-10-24,35.86206
2022-10-25,33.7931
2022-10-26,35.86206
2022-10-27,41.37931
2022-10-28,38.62068
