date,SQQQ
2022-08-01,23.61009
2022-08-02,38.91746
2022-08-03,36.37031
2022-08-04,49.5224
2022-08-05,42.29733
2022-08-06,22.21405
2022-08-07,7.93534
2022-08-08,32.91697
2022-08-09,46.43644
2022-08-10,44.01175
2022-08-11,45.99559
2022-08-12,34.43546
2022-08-13,22.72838
2022-08-14,8.25373
2022-08-15,20.00979
2022-08-16,37.52143
2022-08-17,37.44795
2022-08-18,37.54592
2022-08-19,36.05192
2022-08-20,24.36933
2022-08-21,11.09478
2022-08-22,41.80749
2022-08-23,54.6167
2022-08-24,23.29169
2022-08-25,16.14009
2022-08-26,17.11976
2022-08-27,30.68821
2022-08-28,13.29904
2022-08-29,26.843
2022-08-30,19.51996
2022-08-31,19.86284
2022-09-01,20.74455
2022-09-02,19.64241
2022-09-03,12.8092
2022-09-04,7.07812
2022-09-05,10.01714
2022-09-06,13.20107
2022-09-07,17.97697
2022-09-08,14.10727
2022-09-09,12.02547
2022-09-10,10.26206
2022-09-11,6.68626
2022-09-12,9.11094
2022-09-13,25.22654
2022-09-14,36.90913
2022-09-15,14.5971
2022-09-16,24.56527
2022-09-17,13.39701
2022-09-18,6.95566
2022-09-19,17.48714
2022-09-20,15.65025
2022-09-21,17.56061
2022-09-22,29.68405
2022-09-23,29.29218
2022-09-24,17.46265
2022-09-25,9.57629
2022-09-26,23.12025
2022-09-27,20.15674
2022-09-28,27.62674
2022-09-29,24.88366
2022-09-30,26.13274
2022-10-01,16.33602
2022-10-02,9.5273
2022-10-03,13.56845
2022-10-04,18.31986
2022-10-05,17.92799
2022-10-06,14.05829
2022-10-07,13.98481
2022-10-08,17.53612
2022-10-09,6.83321
2022-10-10,14.25422
2022-10-11,25.6674
2022-10-12,19.25055
2022-10-13,35.12123
2022-10-14,30.61474
2022-10-15,14.47465
2022-10-16,7.81288
2022-10-17,13.29904
2022-10-18,18.1974
2022-10-19,12.95615
2022-10-20,12.17242
2022-10-21,11.95199
2022-10-22,9.38035
2022-10-23,4.23708
2022-10-24,8.49865
2022-10-25,11.0213
2022-10-26,15.38084
2022-10-27,10.82537
2022-10-28,12.68674
2022-10-29,7.59245
2022-10-30,2.79206
2022-10-31,7.07812
2022-11-01,7.61694
2022-11-02,8.9395
2022-11-03,17.19324
2022-11-04,13.10311
2022-11-05,5.51065
2022-11-06,3.15944
2022-11-07,4.70242
2022-11-08,7.27406
2022-11-09,7.42101
2022-11-10,13.07861
2022-11-11,25.10409
2022-11-12,8.62111
2022-11-13,4.84937
2022-11-14,8.13127
2022-11-15,10.55596
2022-11-16,10.26206
2022-11-17,8.10678
2022-11-18,5.58412
2022-11-19,3.37986
2022-11-20,2.69409
2022-11-21,5.09429
2022-11-22,7.05363
2022-11-23,5.38819
2022-11-24,7.86186
2022-11-25,5.19226
2022-11-26,3.18393
2022-11-27,2.74308
2022-11-28,4.80039
2022-11-29,5.38819
2022-11-30,5.53514
2022-12-01,10.55596
2022-12-02,6.36786
2022-12-03,2.74308
2022-12-04,2.57163
2022-12-05,4.31055
2022-12-06,6.26989
2022-12-07,8.10678
2022-12-08,5.21675
2022-12-09,4.70242
2022-12-10,3.96767
2022-12-11,2.0818
2022-12-12,4.55547
2022-12-13,9.03747
2022-12-14,7.76389
2022-12-15,8.3517
2022-12-16,12.00097
2022-12-17,7.05363
2022-12-18,3.64927
2022-12-19,5.16776
2022-12-20,13.69091
2022-12-21,8.44966
2022-12-22,7.00465
2022-12-23,12.17242
2022-12-24,4.82488
2022-12-25,3.69826
2022-12-26,4.82488
2022-12-27,5.82904
2022-12-28,11.07029
2022-12-29,11.60911
2022-12-30,9.18442
2022-12-31,5.29022
2023-01-01,3.15944
2023-01-02,4.09012
2023-01-03,6.34337
2023-01-04,8.49865
2023-01-05,5.97599
2023-01-06,8.30271
2023-01-07,6.09845
2023-01-08,3.45334
2023-01-09,5.19226
2023-01-10,7.17609
2023-01-11,6.04947
2023-01-12,9.28239
2023-01-13,7.76389
2023-01-14,5.82904
2023-01-15,3.42885
2023-01-16,3.84521
2023-01-17,4.50649
2023-01-18,7.07812
2023-01-19,7.91084
2023-01-20,6.14744
2023-01-21,6.41685
2023-01-22,2.98799
2023-01-23,6.78422
2023-01-24,12.12343
2023-01-25,10.84986
2023-01-26,9.94366
2023-01-27,11.46216
2023-01-28,10.28655
2023-01-29,4.97183
2023-01-30,9.79671
2023-01-31,12.58878
2023-02-01,10.75189
2023-02-02,22.09159
2023-02-03,31.05559
2023-02-04,11.87852
2023-02-05,6.68626
2023-02-06,13.34802
2023-02-07,12.17242
2023-02-08,15.52779
2023-02-09,12.2214
2023-02-10,14.89101
2023-02-11,6.49032
2023-02-12,4.62894
2023-02-13,8.40068
2023-02-14,15.5033
2023-02-15,13.39701
2023-02-16,14.37668
2023-02-17,13.44599
2023-02-18,7.42101
2023-02-19,3.72275
2023-02-20,4.35953
2023-02-21,7.56796
2023-02-22,16.21356
2023-02-23,9.28239
2023-02-24,8.25373
2023-02-25,7.83737
2023-02-26,3.62478
2023-02-27,6.31888
2023-02-28,5.53514
2023-03-01,5.29022
2023-03-02,9.94366
2023-03-03,6.14744
2023-03-04,5.41268
2023-03-05,3.18393
2023-03-06,5.41268
2023-03-07,7.1516
2023-03-08,9.33137
2023-03-09,6.8577
2023-03-10,11.16825
2023-03-11,9.8212
2023-03-12,8.79255
2023-03-13,16.48297
2023-03-14,12.8092
2023-03-15,12.68674
2023-03-16,11.90301
2023-03-17,16.72789
2023-03-18,6.51481
2023-03-19,4.31055
2023-03-20,8.81704
2023-03-21,8.62111
2023-03-22,10.75189
2023-03-23,13.59294
2023-03-24,10.70291
2023-03-25,4.70242
2023-03-26,3.55131
2023-03-27,5.73108
2023-03-28,6.80871
2023-03-29,7.69042
2023-03-30,9.25789
2023-03-31,9.38035
2023-04-01,10.75189
2023-04-02,4.06563
2023-04-03,7.81288
2023-04-04,9.72324
2023-04-05,8.59662
2023-04-06,11.11927
2023-04-07,5.63311
2023-04-08,2.47367
2023-04-09,2.6696
2023-04-10,6.90668
2023-04-11,7.83737
2023-04-12,7.51898
2023-04-13,7.56796
2023-04-14,6.98016
2023-04-15,3.72275
2023-04-16,2.10629
2023-04-17,7.17609
2023-04-18,8.79255
2023-04-19,9.06196
2023-04-20,9.28239
2023-04-21,7.37203
2023-04-22,3.06147
2023-04-23,2.6696
2023-04-24,4.94734
2023-04-25,7.59245
2023-04-26,10.77638
2023-04-27,7.24957
2023-04-28,10.21307
2023-04-29,6.75973
2023-04-30,3.50232
2023-05-01,7.27406
2023-05-02,19.64241
2023-05-03,9.87019
2023-05-04,8.59662
2023-05-05,5.24124
2023-05-06,6.46583
2023-05-07,3.72275
2023-05-08,6.14744
2023-05-09,6.00048
2023-05-10,7.46999
2023-05-11,8.0578
2023-05-12,8.86602
2023-05-13,4.65344
2023-05-14,3.15944
2023-05-15,5.09429
2023-05-16,8.22924
2023-05-17,9.08645
2023-05-18,15.65025
2023-05-19,17.04628
2023-05-20,6.14744
2023-05-21,3.5758
2023-05-22,12.29488
2023-05-23,14.5971
2023-05-24,11.70707
2023-05-25,13.56845
2023-05-26,14.22973
