date,만도주가
2022-09-04,1.5121
2022-09-05,13.1428
2022-09-06,13.38132
2022-09-07,12.75329
2022-09-08,11.38343
2022-09-09,0.99785
2022-09-10,0.65867
2022-09-11,0.78778
2022-09-12,1.00004
2022-09-13,14.8978
2022-09-14,11.73793
2022-09-15,20.18031
2022-09-16,14.12096
2022-09-17,1.232
2022-09-18,0.93439
2022-09-19,12.42286
2022-09-20,12.28718
2022-09-21,10.92607
2022-09-22,11.34841
2022-09-23,10.61753
2022-09-24,1.02411
2022-09-25,0.72213
2022-09-26,11.18429
2022-09-27,11.65477
2022-09-28,11.71604
2022-09-29,14.15379
2022-09-30,13.46886
2022-10-01,1.08319
2022-10-02,0.6718
2022-10-03,1.11602
2022-10-04,13.17125
2022-10-05,12.29813
2022-10-06,11.58256
2022-10-07,10.04201
2022-10-08,0.80747
2022-10-09,0.53612
2022-10-10,0.87093
2022-10-11,10.20832
2022-10-12,10.51468
2022-10-13,9.39428
2022-10-14,10.3418
2022-10-15,0.93658
2022-10-16,0.64335
2022-10-17,9.90634
2022-10-18,13.24127
2022-10-19,13.11654
2022-10-20,9.93697
2022-10-21,9.14263
2022-10-22,0.74182
2022-10-23,0.51643
2022-10-24,11.12521
2022-10-25,11.77294
2022-10-26,11.4994
2022-10-27,12.25655
2022-10-28,16.22609
2022-10-29,1.3239
2022-10-30,0.79653
2022-10-31,12.95023
2022-11-01,13.51481
2022-11-02,14.75119
2022-11-03,12.994
2022-11-04,11.21493
2022-11-05,0.90375
2022-11-06,0.78121
2022-11-07,12.59136
2022-11-08,12.67013
2022-11-09,12.21497
2022-11-10,10.79915
2022-11-11,14.52579
2022-11-12,1.12039
2022-11-13,0.81622
2022-11-14,12.7139
2022-11-15,11.053
2022-11-16,12.09462
2022-11-17,9.60217
2022-11-18,10.13392
2022-11-19,0.80966
2022-11-20,1.08757
2022-11-21,9.49932
2022-11-22,10.19519
2022-11-23,10.72475
2022-11-24,11.15584
2022-11-25,9.36364
2022-11-26,0.87312
2022-11-27,0.60834
2022-11-28,9.63061
2022-11-29,9.81662
2022-11-30,10.25427
2022-12-01,11.33091
2022-12-02,8.75311
2022-12-03,0.63022
2022-12-04,0.95846
2022-12-05,9.93041
2022-12-06,8.29139
2022-12-07,8.69184
2022-12-08,8.59337
2022-12-09,8.89973
2022-12-10,0.76152
2022-12-11,0.65867
2022-12-12,8.46207
2022-12-13,9.147
2022-12-14,9.65687
2022-12-15,9.01352
2022-12-16,10.01137
2022-12-17,0.75933
2022-12-18,0.93439
2022-12-19,10.18862
2022-12-20,8.90629
2022-12-21,8.83189
2022-12-22,9.147
2022-12-23,7.94126
2022-12-24,0.64991
2022-12-25,0.49455
2022-12-26,8.00253
2022-12-27,8.11414
2022-12-28,8.1951
2022-12-29,9.00695
2022-12-30,2.86664
2022-12-31,0.59302
2023-01-01,0.47048
2023-01-02,10.3243
2023-01-03,10.54313
2023-01-04,10.55407
2023-01-05,9.75972
2023-01-06,10.81666
2023-01-07,1.03286
2023-01-08,0.65648
2023-01-09,12.33314
2023-01-10,9.92165
2023-01-11,10.05076
2023-01-12,10.41621
2023-01-13,9.88008
2023-01-14,0.84686
2023-01-15,0.59302
2023-01-16,9.45774
2023-01-17,8.5868
2023-01-18,7.74213
2023-01-19,7.79684
2023-01-20,7.63928
2023-01-21,1.54711
2023-01-22,1.0263
2023-01-23,0.98253
2023-01-24,1.05037
2023-01-25,11.64602
2023-01-26,13.30036
2023-01-27,13.08372
2023-01-28,1.52741
2023-01-29,1.15322
2023-01-30,10.53218
2023-01-31,9.94135
2023-02-01,11.26307
2023-02-02,10.77508
2023-02-03,10.5475
2023-02-04,0.98034
2023-02-05,0.99129
2023-02-06,9.72909
2023-02-07,10.14705
2023-02-08,11.31121
2023-02-09,10.47091
2023-02-10,11.56068
2023-02-11,1.04599
2023-02-12,0.75276
2023-02-13,9.78379
2023-02-14,10.33962
2023-02-15,9.13606
2023-02-16,12.06836
2023-02-17,9.37896
2023-02-18,0.78559
2023-02-19,0.62584
2023-02-20,8.96538
2023-02-21,8.67215
2023-02-22,7.20162
2023-02-23,9.12293
2023-02-24,7.70274
2023-02-25,0.63022
2023-02-26,0.50111
2023-02-27,7.30666
2023-02-28,9.59341
2023-03-01,1.12696
2023-03-02,10.87793
2023-03-03,14.11659
2023-03-04,1.34798
2023-03-05,1.19261
2023-03-06,11.3703
2023-03-07,9.86476
2023-03-08,8.81657
2023-03-09,8.92818
2023-03-10,7.3548
2023-03-11,0.56676
2023-03-12,0.57114
2023-03-13,8.13821
2023-03-14,8.34609
2023-03-15,8.73561
2023-03-16,7.97409
2023-03-17,8.7378
2023-03-18,0.68711
2023-03-19,0.52737
2023-03-20,8.00472
2023-03-21,7.70493
2023-03-22,7.96096
2023-03-23,7.58895
2023-03-24,6.97623
2023-03-25,0.7637
2023-03-26,0.56019
2023-03-27,6.8318
2023-03-28,7.24977
2023-03-29,7.82309
2023-03-30,8.35922
2023-03-31,8.41612
2023-04-01,0.9519
2023-04-02,0.6893
2023-04-03,8.65464
2023-04-04,9.03321
2023-04-05,9.45117
2023-04-06,7.93907
2023-04-07,8.6065
2023-04-08,0.7834
2023-04-09,0.56676
2023-04-10,8.33515
2023-04-11,11.82108
2023-04-12,14.66147
2023-04-13,11.11646
2023-04-14,9.87789
2023-04-15,1.12258
2023-04-16,0.9891
2023-04-17,9.10761
2023-04-18,7.98722
2023-04-19,8.51678
2023-04-20,7.68961
2023-04-21,7.35918
2023-04-22,0.8206
2023-04-23,0.61053
2023-04-24,10.28491
2023-04-25,11.02455
2023-04-26,10.84511
2023-04-27,9.34614
2023-04-28,8.44675
2023-04-29,0.709
2023-04-30,0.50549
2023-05-01,1.76594
2023-05-02,7.99159
2023-05-03,8.32421
2023-05-04,7.67429
2023-05-05,0.79215
2023-05-06,0.54488
2023-05-07,0.42233
2023-05-08,7.98284
2023-05-09,7.60208
2023-05-10,7.90406
2023-05-11,8.23011
2023-05-12,6.8515
2023-05-13,0.63022
2023-05-14,0.49017
2023-05-15,7.11628
2023-05-16,6.81649
2023-05-17,7.34167
2023-05-18,8.57586
2023-05-19,8.1776
2023-05-20,0.73088
2023-05-21,0.4836
2023-05-22,8.14258
2023-05-23,7.64584
2023-05-24,8.03098
2023-05-25,6.95435
2023-05-26,7.19506
2023-05-27,0.57332
2023-05-28,0.47266
