date,카드사
2022-04-12,11.95559
2022-04-13,10.58923
2022-04-14,13.06575
2022-04-15,9.56447
2022-04-16,3.84286
2022-04-17,4.95303
2022-04-18,15.71306
2022-04-19,10.67463
2022-04-20,13.57813
2022-04-21,12.12638
2022-04-22,9.22288
2022-04-23,3.92826
2022-04-24,5.12382
2022-04-25,11.614
2022-04-26,13.66353
2022-04-27,11.614
2022-04-28,11.5286
2022-04-29,10.67463
2022-04-30,3.41588
2022-05-01,5.46541
2022-05-02,15.02988
2022-05-03,14.34671
2022-05-04,12.29718
2022-05-05,4.35525
2022-05-06,10.67463
2022-05-07,3.67207
2022-05-08,4.26985
2022-05-09,15.71306
2022-05-10,14.00512
2022-05-11,13.66353
2022-05-12,12.04099
2022-05-13,13.32194
2022-05-14,100.0
2022-05-15,9.13748
2022-05-16,13.57813
2022-05-17,14.34671
2022-05-18,13.91972
2022-05-19,12.12638
2022-05-20,12.12638
2022-05-21,3.33048
2022-05-22,5.03842
2022-05-23,10.16225
2022-05-24,14.6029
2022-05-25,12.12638
2022-05-26,12.98035
2022-05-27,11.35781
2022-05-28,4.95303
2022-05-29,5.38001
2022-05-30,11.87019
2022-05-31,11.44321
2022-06-01,4.86763
2022-06-02,11.6994
2022-06-03,10.84543
2022-06-04,4.26985
2022-06-05,3.50128
2022-06-06,5.6362
2022-06-07,10.16225
2022-06-08,13.57813
2022-06-09,11.78479
2022-06-10,10.07685
2022-06-11,3.41588
2022-06-12,5.97779
2022-06-13,12.55337
2022-06-14,12.29718
2022-06-15,11.35781
2022-06-16,10.50384
2022-06-17,12.29718
2022-06-18,4.61144
2022-06-19,3.58667
2022-06-20,15.20068
2022-06-21,11.18701
2022-06-22,13.23654
2022-06-23,10.16225
2022-06-24,9.13748
2022-06-25,4.69684
2022-06-26,5.03842
2022-06-27,11.95559
2022-06-28,10.84543
2022-06-29,14.4321
2022-06-30,12.12638
2022-07-01,9.13748
2022-07-02,3.33048
2022-07-03,5.55081
2022-07-04,11.614
2022-07-05,15.88385
2022-07-06,14.17591
2022-07-07,12.80956
2022-07-08,11.10162
2022-07-09,4.61144
2022-07-10,3.75747
2022-07-11,11.95559
2022-07-12,11.78479
2022-07-13,11.01622
2022-07-14,12.55337
2022-07-15,11.95559
2022-07-16,3.67207
2022-07-17,4.26985
2022-07-18,12.89496
2022-07-19,13.15115
2022-07-20,12.72416
2022-07-21,12.46797
2022-07-22,9.13748
2022-07-23,3.58667
2022-07-24,4.44064
2022-07-25,14.6029
2022-07-26,14.94449
2022-07-27,14.94449
2022-07-28,12.46797
2022-07-29,10.58923
2022-07-30,3.92826
2022-07-31,4.44064
2022-08-01,11.95559
2022-08-02,13.49274
2022-08-03,12.12638
2022-08-04,10.67463
2022-08-05,9.64987
2022-08-06,4.35525
2022-08-07,5.20922
2022-08-08,14.17591
2022-08-09,11.27241
2022-08-10,14.09052
2022-08-11,11.95559
2022-08-12,11.6994
2022-08-13,2.98889
2022-08-14,3.50128
2022-08-15,5.29461
2022-08-16,22.28864
2022-08-17,12.38257
2022-08-18,13.83432
2022-08-19,9.56447
2022-08-20,4.09906
2022-08-21,3.75747
2022-08-22,11.01622
2022-08-23,11.10162
2022-08-24,12.21178
2022-08-25,12.38257
2022-08-26,11.44321
2022-08-27,4.35525
2022-08-28,5.7216
2022-08-29,11.18701
2022-08-30,11.5286
2022-08-31,12.98035
2022-09-01,13.06575
2022-09-02,11.35781
2022-09-03,2.9035
2022-09-04,3.75747
2022-09-05,10.58923
2022-09-06,12.98035
2022-09-07,10.76003
2022-09-08,9.99146
2022-09-09,3.75747
2022-09-10,3.50128
2022-09-11,4.44064
2022-09-12,5.7216
2022-09-13,13.15115
2022-09-14,15.28608
2022-09-15,11.10162
2022-09-16,11.6994
2022-09-17,5.20922
2022-09-18,6.06319
2022-09-19,12.21178
2022-09-20,13.83432
2022-09-21,10.84543
2022-09-22,9.99146
2022-09-23,10.07685
2022-09-24,4.52604
2022-09-25,4.18445
2022-09-26,10.50384
2022-09-27,11.27241
2022-09-28,11.614
2022-09-29,10.41844
2022-09-30,8.7105
2022-10-01,3.84286
2022-10-02,4.01366
2022-10-03,5.807
2022-10-04,13.74893
2022-10-05,11.78479
2022-10-06,13.32194
2022-10-07,10.16225
2022-10-08,4.61144
2022-10-09,3.67207
2022-10-10,6.06319
2022-10-11,14.6883
2022-10-12,11.44321
2022-10-13,11.6994
2022-10-14,11.87019
2022-10-15,4.09906
2022-10-16,5.20922
2022-10-17,15.20068
2022-10-18,15.02988
2022-10-19,15.02988
2022-10-20,11.6994
2022-10-21,10.16225
2022-10-22,4.44064
2022-10-23,5.97779
2022-10-24,13.74893
2022-10-25,14.85909
2022-10-26,13.06575
2022-10-27,13.06575
2022-10-28,11.27241
2022-10-29,3.67207
2022-10-30,5.29461
2022-10-31,14.94449
2022-11-01,13.49274
2022-11-02,14.6029
2022-11-03,12.89496
2022-11-04,13.57813
2022-11-05,5.20922
2022-11-06,7.51494
2022-11-07,19.04355
2022-11-08,17.93339
2022-11-09,14.09052
2022-11-10,12.38257
2022-11-11,9.64987
2022-11-12,4.52604
2022-11-13,5.7216
2022-11-14,14.6883
2022-11-15,14.94449
2022-11-16,14.85909
2022-11-17,14.85909
2022-11-18,10.67463
2022-11-19,5.12382
2022-11-20,6.23398
2022-11-21,15.62766
2022-11-22,11.78479
2022-11-23,11.95559
2022-11-24,11.87019
2022-11-25,12.55337
2022-11-26,5.20922
2022-11-27,6.40478
2022-11-28,12.89496
2022-11-29,11.87019
2022-11-30,12.46797
2022-12-01,14.4321
2022-12-02,10.84543
2022-12-03,4.35525
2022-12-04,6.40478
2022-12-05,18.95815
2022-12-06,12.98035
2022-12-07,13.32194
2022-12-08,12.29718
2022-12-09,11.18701
2022-12-10,4.61144
2022-12-11,5.12382
2022-12-12,13.15115
2022-12-13,13.66353
2022-12-14,14.85909
2022-12-15,10.76003
2022-12-16,9.90606
2022-12-17,4.69684
2022-12-18,11.18701
2022-12-19,15.54227
2022-12-20,13.83432
2022-12-21,12.46797
2022-12-22,12.98035
2022-12-23,11.27241
2022-12-24,4.61144
2022-12-25,5.6362
2022-12-26,16.99402
2022-12-27,12.72416
2022-12-28,14.4321
2022-12-29,13.32194
2022-12-30,13.83432
2022-12-31,5.89239
2023-01-01,12.98035
2023-01-02,24.08198
2023-01-03,17.25021
2023-01-04,17.33561
2023-01-05,15.62766
2023-01-06,15.20068
2023-01-07,5.29461
2023-01-08,10.07685
2023-01-09,18.10418
2023-01-10,20.06831
2023-01-11,14.85909
2023-01-12,15.02988
2023-01-13,15.96925
2023-01-14,5.6362
2023-01-15,6.74637
2023-01-16,15.45687
