date,법인
2022-05-07,15.03456
2022-05-08,18.72119
2022-05-09,30.41474
2022-05-10,29.37788
2022-05-11,29.20506
2022-05-12,31.3364
2022-05-13,24.88479
2022-05-14,16.87788
2022-05-15,15.7258
2022-05-16,26.44009
2022-05-17,29.66589
2022-05-18,29.7235
2022-05-19,29.7235
2022-05-20,27.24654
2022-05-21,17.10829
2022-05-22,19.00921
2022-05-23,27.93778
2022-05-24,33.46774
2022-05-25,29.49308
2022-05-26,31.16359
2022-05-27,28.57142
2022-05-28,18.31797
2022-05-29,16.82027
2022-05-30,29.32027
2022-05-31,29.89631
2022-06-01,18.08755
2022-06-02,28.91705
2022-06-03,26.15207
2022-06-04,14.97695
2022-06-05,14.97695
2022-06-06,16.76267
2022-06-07,27.70737
2022-06-08,29.66589
2022-06-09,29.08986
2022-06-10,30.24193
2022-06-11,20.21889
2022-06-12,20.4493
2022-06-13,32.31566
2022-06-14,31.97004
2022-06-15,31.2788
2022-06-16,33.17972
2022-06-17,29.95391
2022-06-18,14.57373
2022-06-19,16.93548
2022-06-20,27.01612
2022-06-21,28.11059
2022-06-22,24.82718
2022-06-23,24.53917
2022-06-24,21.8894
2022-06-25,14.1705
2022-06-26,14.28571
2022-06-27,23.79032
2022-06-28,27.07373
2022-06-29,26.15207
2022-06-30,27.01612
2022-07-01,24.48156
2022-07-02,14.22811
2022-07-03,15.7258
2022-07-04,28.28341
2022-07-05,27.88018
2022-07-06,27.01612
2022-07-07,26.15207
2022-07-08,21.8894
2022-07-09,12.90322
2022-07-10,13.47926
2022-07-11,25.51843
2022-07-12,28.74423
2022-07-13,27.07373
2022-07-14,27.99539
2022-07-15,26.38248
2022-07-16,13.47926
2022-07-17,15.14976
2022-07-18,26.6705
2022-07-19,28.05299
2022-07-20,27.24654
2022-07-21,32.14285
2022-07-22,29.49308
2022-07-23,14.40092
2022-07-24,14.45852
2022-07-25,25.92165
2022-07-26,27.82258
2022-07-27,27.41935
2022-07-28,26.20967
2022-07-29,25.34562
2022-07-30,13.36405
2022-07-31,14.51612
2022-08-01,24.94239
2022-08-02,25.46082
2022-08-03,24.42396
2022-08-04,25.86405
2022-08-05,25.34562
2022-08-06,13.82488
2022-08-07,14.05529
2022-08-08,23.96313
2022-08-09,25.34562
2022-08-10,28.91705
2022-08-11,25.0
2022-08-12,22.63824
2022-08-13,13.47926
2022-08-14,12.6152
2022-08-15,15.32258
2022-08-16,24.59677
2022-08-17,24.76958
