date,코덱스200
2022-11-06,2.75669
2022-11-07,13.47098
2022-11-08,17.14285
2022-11-09,17.23214
2022-11-10,15.25669
2022-11-11,19.89955
2022-11-12,2.73437
2022-11-13,2.70089
2022-11-14,15.33482
2022-11-15,15.06696
2022-11-16,13.64955
2022-11-17,13.01339
2022-11-18,11.72991
2022-11-19,1.75223
2022-11-20,1.22767
2022-11-21,10.34598
2022-11-22,10.32366
2022-11-23,10.15625
2022-11-24,11.16071
2022-11-25,8.11383
2022-11-26,1.52901
2022-11-27,1.46205
2022-11-28,9.31919
2022-11-29,9.26339
2022-11-30,9.67633
2022-12-01,10.97098
2022-12-02,9.62053
2022-12-03,1.40625
2022-12-04,1.25
2022-12-05,9.47544
2022-12-06,9.34151
2022-12-07,9.12946
2022-12-08,9.19642
2022-12-09,8.67187
2022-12-10,1.3058
2022-12-11,1.41741
2022-12-12,7.84598
2022-12-13,8.64955
2022-12-14,8.85044
2022-12-15,7.67857
2022-12-16,8.93973
2022-12-17,1.37276
2022-12-18,1.35044
2022-12-19,7.35491
2022-12-20,7.96875
2022-12-21,7.74553
2022-12-22,7.58928
2022-12-23,7.96875
2022-12-24,1.31696
2022-12-25,1.07142
2022-12-26,7.83482
2022-12-27,7.60044
2022-12-28,10.0
2022-12-29,10.79241
2022-12-30,3.59375
2022-12-31,1.71875
2023-01-01,1.28348
2023-01-02,9.24107
2023-01-03,11.60714
2023-01-04,11.20535
2023-01-05,9.58705
2023-01-06,9.19642
2023-01-07,1.6183
2023-01-08,1.29464
2023-01-09,11.65178
2023-01-10,10.53571
2023-01-11,9.77678
2023-01-12,9.44196
2023-01-13,9.25223
2023-01-14,1.81919
2023-01-15,1.42857
2023-01-16,9.81026
2023-01-17,8.40401
2023-01-18,7.43303
2023-01-19,8.19196
2023-01-20,6.99776
2023-01-21,1.38392
2023-01-22,1.22767
2023-01-23,1.17187
2023-01-24,1.55133
2023-01-25,10.88169
2023-01-26,11.875
2023-01-27,11.19419
2023-01-28,1.99776
2023-01-29,1.50669
2023-01-30,9.95535
2023-01-31,9.45312
2023-02-01,9.39732
2023-02-02,9.92187
2023-02-03,10.25669
2023-02-04,1.45089
2023-02-05,1.11607
2023-02-06,9.60937
2023-02-07,9.1741
2023-02-08,10.3125
2023-02-09,9.19642
2023-02-10,8.24776
2023-02-11,1.20535
2023-02-12,0.82589
2023-02-13,8.27008
2023-02-14,9.07366
2023-02-15,9.01785
2023-02-16,10.20089
2023-02-17,7.45535
2023-02-18,1.09375
2023-02-19,1.0491
2023-02-20,8.8058
2023-02-21,7.95758
2023-02-22,8.97321
2023-02-23,9.33035
2023-02-24,8.95089
2023-02-25,2.42187
2023-02-26,1.70758
2023-02-27,10.3683
2023-02-28,8.56026
2023-03-01,2.25446
2023-03-02,8.32589
2023-03-03,7.12053
2023-03-04,1.50669
2023-03-05,1.71875
2023-03-06,10.60267
2023-03-07,9.07366
2023-03-08,9.62053
2023-03-09,7.60044
2023-03-10,7.80133
2023-03-11,1.23883
2023-03-12,1.00446
2023-03-13,8.62723
2023-03-14,9.45312
2023-03-15,8.57142
2023-03-16,7.99107
2023-03-17,8.03571
2023-03-18,1.02678
2023-03-19,1.17187
2023-03-20,7.37723
2023-03-21,7.13169
2023-03-22,7.71205
2023-03-23,8.47098
2023-03-24,7.16517
2023-03-25,1.06026
2023-03-26,1.18303
2023-03-27,7.58928
2023-03-28,8.125
2023-03-29,8.06919
2023-03-30,8.67187
2023-03-31,8.52678
2023-04-01,1.17187
2023-04-02,0.95982
2023-04-03,8.35937
2023-04-04,8.31473
2023-04-05,8.58258
2023-04-06,8.72767
2023-04-07,9.63169
2023-04-08,1.02678
2023-04-09,1.02678
2023-04-10,10.80357
2023-04-11,11.94196
2023-04-12,11.14955
2023-04-13,8.98437
2023-04-14,10.08928
2023-04-15,1.23883
2023-04-16,0.92633
2023-04-17,8.42633
2023-04-18,7.8683
2023-04-19,8.63839
2023-04-20,7.51116
2023-04-21,6.72991
2023-04-22,0.89285
2023-04-23,0.89285
2023-04-24,6.85267
2023-04-25,7.8683
2023-04-26,7.71205
2023-04-27,8.41517
2023-04-28,6.79687
2023-04-29,1.03794
2023-04-30,0.94866
2023-05-01,2.12053
2023-05-02,6.97544
2023-05-03,6.70758
2023-05-04,6.13839
2023-05-05,1.07142
2023-05-06,1.03794
2023-05-07,0.98214
2023-05-08,7.19866
2023-05-09,7.13169
2023-05-10,5.81473
2023-05-11,6.78571
2023-05-12,6.21651
2023-05-13,0.88169
2023-05-14,0.70312
2023-05-15,5.89285
2023-05-16,6.46205
2023-05-17,6.43973
2023-05-18,6.47321
2023-05-19,7.5
2023-05-20,1.16071
2023-05-21,0.92633
2023-05-22,9.27455
2023-05-23,8.76116
2023-05-24,6.69642
2023-05-25,6.88616
2023-05-26,7.79017
2023-05-27,1.07142
2023-05-28,1.01562
