date,예금특판
2022-08-10,31.93804
2022-08-11,32.08455
2022-08-12,30.36835
2022-08-13,16.45039
2022-08-14,15.00627
2022-08-15,20.36416
2022-08-16,36.73084
2022-08-17,33.80075
2022-08-18,33.75889
2022-08-19,30.2637
2022-08-20,16.13645
2022-08-21,16.17831
2022-08-22,32.56592
2022-08-23,27.77312
2022-08-24,26.49644
2022-08-25,39.72373
2022-08-26,35.2658
2022-08-27,16.88991
2022-08-28,18.89912
2022-08-29,39.15864
2022-08-30,45.89786
2022-08-31,36.81456
2022-09-01,36.982
2022-09-02,33.25659
2022-09-03,18.12473
2022-09-04,18.92005
2022-09-05,31.54039
2022-09-06,32.98451
2022-09-07,31.56132
2022-09-08,26.28714
2022-09-09,13.01799
2022-09-10,12.64127
2022-09-11,13.22729
2022-09-12,18.37588
2022-09-13,47.73964
2022-09-14,43.40728
2022-09-15,42.7794
2022-09-16,37.02385
2022-09-17,19.6735
2022-09-18,21.45249
2022-09-19,40.7074
2022-09-20,36.04018
2022-09-21,32.23105
2022-09-22,44.83047
2022-09-23,45.43742
2022-09-24,22.7501
2022-09-25,24.21515
2022-09-26,45.26998
2022-09-27,46.3583
2022-09-28,49.24654
2022-09-29,47.50941
2022-09-30,46.08622
2022-10-01,25.84763
2022-10-02,23.08497
2022-10-03,26.91502
2022-10-04,47.928
2022-10-05,62.62034
2022-10-06,58.3717
2022-10-07,52.40686
2022-10-08,27.06153
2022-10-09,25.53369
2022-10-10,29.02888
2022-10-11,52.80452
2022-10-12,78.33821
2022-10-13,90.89577
2022-10-14,80.78694
2022-10-15,41.20971
2022-10-16,40.97948
2022-10-17,87.42151
2022-10-18,99.10004
2022-10-19,92.59104
2022-10-20,83.86354
2022-10-21,72.60359
2022-10-22,40.51904
2022-10-23,38.30054
2022-10-24,83.29845
2022-10-25,91.04227
2022-10-26,93.86772
2022-10-27,90.39347
2022-10-28,81.85433
2022-10-29,43.2817
2022-10-30,40.0586
2022-10-31,91.94223
2022-11-01,91.43993
2022-11-02,90.47718
2022-11-03,91.20971
2022-11-04,82.79614
2022-11-05,38.53076
2022-11-06,38.61448
2022-11-07,83.61239
2022-11-08,81.41481
2022-11-09,80.43114
2022-11-10,78.401
2022-11-11,71.97572
2022-11-12,39.89116
2022-11-13,41.64922
2022-11-14,91.29342
2022-11-15,88.25868
2022-11-16,77.73126
2022-11-17,67.9573
2022-11-18,65.19464
2022-11-19,35.89367
2022-11-20,35.95646
2022-11-21,78.63122
2022-11-22,88.21682
2022-11-23,79.69861
2022-11-24,95.01883
2022-11-25,90.53997
2022-11-26,47.11176
2022-11-27,47.13269
2022-11-28,100.0
2022-11-29,99.47676
2022-11-30,86.58434
2022-12-01,82.85893
2022-12-02,75.19882
2022-12-03,30.59857
2022-12-04,34.76349
2022-12-05,70.6781
2022-12-06,65.08999
2022-12-07,67.14106
2022-12-08,65.48765
2022-12-09,55.71368
2022-12-10,29.88698
2022-12-11,31.87526
2022-12-12,61.88781
2022-12-13,55.83926
2022-12-14,52.59522
2022-12-15,54.56257
2022-12-16,45.75136
2022-12-17,23.29426
2022-12-18,28.25449
2022-12-19,49.33026
2022-12-20,51.92549
2022-12-21,49.85349
2022-12-22,48.26287
2022-12-23,41.39807
2022-12-24,24.13143
2022-12-25,25.57555
2022-12-26,46.5676
2022-12-27,48.95353
2022-12-28,46.25366
2022-12-29,45.33277
2022-12-30,43.95144
2022-12-31,24.80117
2023-01-01,30.80786
2023-01-02,57.38802
2023-01-03,50.75345
2023-01-04,49.18375
2023-01-05,48.70238
2023-01-06,42.86312
2023-01-07,24.21515
2023-01-08,24.78024
2023-01-09,47.44663
2023-01-10,50.23022
2023-01-11,46.73503
2023-01-12,42.10966
2023-01-13,50.06278
2023-01-14,25.38719
2023-01-15,24.13143
2023-01-16,49.6442
2023-01-17,46.27459
2023-01-18,42.50732
2023-01-19,41.60736
2023-01-20,39.51444
2023-01-21,19.71536
2023-01-22,18.71075
2023-01-23,18.8154
2023-01-24,26.16157
2023-01-25,54.64629
2023-01-26,43.65843
2023-01-27,42.61197
2023-01-28,23.67099
2023-01-29,21.47341
2023-01-30,40.7074
2023-01-31,41.23064
2023-02-01,38.23775
2023-02-02,35.39137
2023-02-03,33.48681
2023-02-04,17.62243
2023-02-05,17.66429
2023-02-06,33.5496
2023-02-07,30.05441
2023-02-08,28.52658
2023-02-09,27.62662
2023-02-10,27.98241
2023-02-11,16.15738
2023-02-12,15.08999
2023-02-13,31.01716
2023-02-14,25.36626
2023-02-15,26.37086
2023-02-16,25.61741
2023-02-17,24.44537
2023-02-18,15.96902
2023-02-19,14.08539
2023-02-20,27.31268
2023-02-21,26.78945
2023-02-22,25.6802
2023-02-23,27.41732
2023-02-24,26.70573
2023-02-25,15.19464
2023-02-26,15.2365
2023-02-27,28.65215
2023-02-28,27.75219
2023-03-01,19.27584
2023-03-02,24.86395
2023-03-03,21.80828
2023-03-04,14.48304
2023-03-05,14.58769
2023-03-06,25.24068
2023-03-07,24.80117
2023-03-08,23.58727
2023-03-09,20.42695
2023-03-10,19.44328
2023-03-11,10.35998
2023-03-12,9.92046
2023-03-13,21.61992
2023-03-14,19.92465
2023-03-15,20.23859
2023-03-16,18.89912
2023-03-17,18.92005
2023-03-18,10.40184
2023-03-19,9.64838
2023-03-20,24.42444
2023-03-21,23.7547
2023-03-22,19.94558
2023-03-23,21.55713
2023-03-24,21.20133
2023-03-25,12.18082
2023-03-26,12.91335
2023-03-27,24.63373
2023-03-28,25.07325
2023-03-29,20.38509
2023-03-30,20.59439
2023-03-31,20.48974
2023-04-01,10.90414
2023-04-02,11.23901
2023-04-03,20.59439
2023-04-04,18.56425
2023-04-05,18.54332
2023-04-06,19.27584
2023-04-07,15.383
2023-04-08,8.85307
2023-04-09,9.39723
2023-04-10,18.16659
2023-04-11,17.51778
2023-04-12,18.06195
2023-04-13,16.80619
2023-04-14,14.33654
2023-04-15,8.39263
2023-04-16,8.66471
2023-04-17,16.55504
2023-04-18,16.99455
2023-04-19,14.33654
2023-04-20,15.13185
2023-04-21,13.45751
2023-04-22,6.94851
2023-04-23,8.43449
2023-04-24,17.30849
2023-04-25,19.63164
2023-04-26,16.32482
2023-04-27,16.5969
2023-04-28,17.68522
2023-04-29,9.56467
2023-04-30,9.3763
2023-05-01,13.45751
2023-05-02,17.70615
2023-05-03,17.26663
2023-05-04,17.12013
2023-05-05,9.54374
2023-05-06,7.28338
2023-05-07,8.97865
2023-05-08,17.28756
2023-05-09,16.0946
2023-05-10,15.42486
2023-05-11,14.75512
2023-05-12,12.03432
2023-05-13,6.802
2023-05-14,7.24152
2023-05-15,17.14106
2023-05-16,14.85977
2023-05-17,15.78066
2023-05-18,14.67141
2023-05-19,12.64127
2023-05-20,6.71829
2023-05-21,7.24152
2023-05-22,14.96442
2023-05-23,14.96442
2023-05-24,13.49937
2023-05-25,15.96902
2023-05-26,12.91335
2023-05-27,5.75554
