date,공매도
2022-07-30,0.78057
2022-07-31,0.71231
2022-08-01,1.16895
2022-08-02,1.17276
2022-08-03,0.80707
2022-08-04,0.74707
2022-08-05,0.61288
2022-08-06,0.30951
2022-08-07,0.28916
2022-08-08,1.0568
2022-08-09,0.7988
2022-08-10,0.74665
2022-08-11,0.54271
2022-08-12,0.46618
2022-08-13,0.30718
2022-08-14,0.23574
2022-08-15,0.23955
2022-08-16,0.56624
2022-08-17,0.75789
2022-08-18,0.65888
2022-08-19,0.60461
2022-08-20,0.2404
2022-08-21,0.1963
2022-08-22,0.67478
2022-08-23,0.75343
2022-08-24,0.5584
2022-08-25,0.62263
2022-08-26,0.42675
2022-08-27,0.2599
2022-08-28,0.297
2022-08-29,0.92918
2022-08-30,0.7193
2022-08-31,0.55458
2022-09-01,0.78545
2022-09-02,0.54207
2022-09-03,0.19418
2022-09-04,0.18146
2022-09-05,0.55861
2022-09-06,0.46406
2022-09-07,0.79117
2022-09-08,0.39622
2022-09-09,0.17532
2022-09-10,0.27156
2022-09-11,0.17977
2022-09-12,0.25566
2022-09-13,0.49352
2022-09-14,0.45261
2022-09-15,0.52978
2022-09-16,0.53317
2022-09-17,0.20987
2022-09-18,0.198
2022-09-19,0.6097
2022-09-20,0.44477
2022-09-21,0.44498
2022-09-22,0.61224
2022-09-23,0.84035
2022-09-24,0.2669
2022-09-25,0.26563
2022-09-26,2.0057
2022-09-27,1.26583
2022-09-28,3.72924
2022-09-29,3.15452
2022-09-30,3.08795
2022-10-01,0.91943
2022-10-02,0.60164
2022-10-03,0.94211
2022-10-04,1.63916
2022-10-05,2.51619
2022-10-06,1.86366
2022-10-07,1.90034
2022-10-08,0.83929
2022-10-09,0.63408
2022-10-10,0.89208
2022-10-11,4.24291
2022-10-12,2.87595
2022-10-13,5.29972
2022-10-14,2.23636
2022-10-15,1.17213
2022-10-16,1.02945
2022-10-17,2.07375
2022-10-18,1.85116
2022-10-19,2.18569
2022-10-20,2.19565
2022-10-21,1.81724
2022-10-22,0.57493
2022-10-23,0.86749
2022-10-24,1.22704
2022-10-25,1.06168
2022-10-26,1.16407
2022-10-27,0.91392
2022-10-28,0.8465
2022-10-29,0.45897
2022-10-30,0.38498
2022-10-31,0.68305
2022-11-01,0.63811
2022-11-02,0.74644
2022-11-03,0.67945
2022-11-04,0.569
2022-11-05,0.32181
2022-11-06,0.258
2022-11-07,0.45727
2022-11-08,0.43925
2022-11-09,0.41784
2022-11-10,0.44074
2022-11-11,0.57218
2022-11-12,0.30018
2022-11-13,0.20182
2022-11-14,0.40618
2022-11-15,0.38689
2022-11-16,0.3871
2022-11-17,0.41615
2022-11-18,0.40767
2022-11-19,0.21496
2022-11-20,0.18189
2022-11-21,0.44922
2022-11-22,0.62178
2022-11-23,0.39855
2022-11-24,0.304
2022-11-25,0.26012
2022-11-26,0.16641
2022-11-27,0.14458
2022-11-28,0.33219
2022-11-29,0.25206
2022-11-30,0.26923
2022-12-01,0.30803
2022-12-02,0.30315
2022-12-03,0.09221
2022-12-04,0.10515
2022-12-05,0.22111
2022-12-06,0.2845
2022-12-07,0.28704
2022-12-08,0.31036
2022-12-09,0.41254
2022-12-10,0.16917
2022-12-11,0.15836
2022-12-12,0.25058
2022-12-13,0.29976
2022-12-14,0.2228
2022-12-15,0.251
2022-12-16,0.2228
2022-12-17,0.09942
2022-12-18,0.10281
2022-12-19,0.19948
2022-12-20,0.25609
2022-12-21,0.21772
2022-12-22,0.32393
2022-12-23,0.41
2022-12-24,0.12868
2022-12-25,0.12465
2022-12-26,0.21411
2022-12-27,0.20372
2022-12-28,0.3941
2022-12-29,0.57599
2022-12-30,0.23404
2022-12-31,0.13377
2023-01-01,0.12083
2023-01-02,0.44243
2023-01-03,0.59422
2023-01-04,0.28619
2023-01-05,0.29488
2023-01-06,0.24591
2023-01-07,0.25164
2023-01-08,0.33241
2023-01-09,0.28556
2023-01-10,0.26139
2023-01-11,0.22259
2023-01-12,0.27517
2023-01-13,0.40618
2023-01-14,0.42272
2023-01-15,0.41593
2023-01-16,0.3023
2023-01-17,0.2951
2023-01-18,0.24358
2023-01-19,0.23298
2023-01-20,0.19567
2023-01-21,0.15412
2023-01-22,0.11193
2023-01-23,0.11278
2023-01-24,0.13822
2023-01-25,0.23022
2023-01-26,0.31354
2023-01-27,0.2722
2023-01-28,0.25015
2023-01-29,0.22747
2023-01-30,0.35318
2023-01-31,0.35573
2023-02-01,0.27305
2023-02-02,0.25884
2023-02-03,0.36336
2023-02-04,0.31057
2023-02-05,0.23022
2023-02-06,0.31227
2023-02-07,0.2845
2023-02-08,0.24146
2023-02-09,0.30548
2023-02-10,0.3659
2023-02-11,0.17065
2023-02-12,0.14776
2023-02-13,0.25884
2023-02-14,0.2881
2023-02-15,0.39346
2023-02-16,0.37523
2023-02-17,0.36442
2023-02-18,0.17786
2023-02-19,0.1503
2023-02-20,0.29213
2023-02-21,0.30718
2023-02-22,0.32562
2023-02-23,0.28492
2023-02-24,0.28683
2023-02-25,0.11893
2023-02-26,0.14839
2023-02-27,0.31566
2023-02-28,0.26457
2023-03-01,0.2175
2023-03-02,0.28937
2023-03-03,0.28004
2023-03-04,0.15878
2023-03-05,0.18274
2023-03-06,0.55712
2023-03-07,0.46915
2023-03-08,0.48865
2023-03-09,0.49056
2023-03-10,0.42293
2023-03-11,0.16684
2023-03-12,0.16917
2023-03-13,0.30548
2023-03-14,0.5266
2023-03-15,0.45155
2023-03-16,0.39537
2023-03-17,0.32477
2023-03-18,0.17426
2023-03-19,0.23446
2023-03-20,0.37014
2023-03-21,0.3553
2023-03-22,0.35933
2023-03-23,0.59952
2023-03-24,0.35276
2023-03-25,0.17786
2023-03-26,0.16874
2023-03-27,0.32668
2023-03-28,0.30485
2023-03-29,0.77463
2023-03-30,0.75322
2023-03-31,0.54674
2023-04-01,0.20118
2023-04-02,0.19567
2023-04-03,0.5849
2023-04-04,0.55967
2023-04-05,0.95716
2023-04-06,0.71485
2023-04-07,0.42017
2023-04-08,0.16408
2023-04-09,0.1662
2023-04-10,0.5938
2023-04-11,0.64065
2023-04-12,0.75025
2023-04-13,0.76976
2023-04-14,0.64722
2023-04-15,0.29128
2023-04-16,0.34513
2023-04-17,0.58914
2023-04-18,0.56709
2023-04-19,0.48292
2023-04-20,0.43289
2023-04-21,0.34301
2023-04-22,0.16175
2023-04-23,0.16917
2023-04-24,0.43268
2023-04-25,0.54101
2023-04-26,0.50349
2023-04-27,0.43798
2023-04-28,0.45939
2023-04-29,0.24061
2023-04-30,0.22408
2023-05-01,0.4524
2023-05-02,0.55967
2023-05-03,0.41975
2023-05-04,0.3129
2023-05-05,0.2103
2023-05-06,0.22196
2023-05-07,0.19673
2023-05-08,0.48208
2023-05-09,0.47551
2023-05-10,0.31714
2023-05-11,0.39495
2023-05-12,0.30972
2023-05-13,0.1573
2023-05-14,0.13716
2023-05-15,0.31545
2023-05-16,0.31545
2023-05-17,0.2898
2023-05-18,0.30739
2023-05-19,0.35191
2023-05-20,0.20987
2023-05-21,0.15666
2023-05-22,0.25566
2023-05-23,0.25121
2023-05-24,0.25672
2023-05-25,0.26118
2023-05-26,0.28132
2023-05-27,0.12762
2023-05-28,0.11532
