date,금값
2022-08-04,3.76947
2022-08-05,3.88632
2022-08-06,2.60212
2022-08-07,2.14999
2022-08-08,3.71178
2022-08-09,3.61997
2022-08-10,3.78653
2022-08-11,3.60546
2022-08-12,3.45087
2022-08-13,2.28969
2022-08-14,2.04585
2022-08-15,2.2857
2022-08-16,3.52381
2022-08-17,3.36596
2022-08-18,3.33004
2022-08-19,3.42656
2022-08-20,2.29768
2022-08-21,1.99759
2022-08-22,4.20709
2022-08-23,4.11383
2022-08-24,3.6998
2022-08-25,3.66206
2022-08-26,3.34492
2022-08-27,2.33034
2022-08-28,1.94316
2022-08-29,4.0467
2022-08-30,3.41023
2022-08-31,3.36451
2022-09-01,3.55647
2022-09-02,3.48027
2022-09-03,2.16632
2022-09-04,1.9232
2022-09-05,3.79923
2022-09-06,3.40189
2022-09-07,4.16536
2022-09-08,3.52018
2022-09-09,2.26284
2022-09-10,2.23345
2022-09-11,2.30167
2022-09-12,2.42468
2022-09-13,3.93059
2022-09-14,4.87441
2022-09-15,4.37365
2022-09-16,4.27531
2022-09-17,2.57128
2022-09-18,2.18083
2022-09-19,4.11674
2022-09-20,4.71184
2022-09-21,7.40396
2022-09-22,6.30774
2022-09-23,5.107
2022-09-24,3.608
2022-09-25,2.63442
2022-09-26,6.23988
2022-09-27,5.60014
2022-09-28,5.81895
2022-09-29,4.93247
2022-09-30,4.93464
2022-10-01,2.92
2022-10-02,2.97116
2022-10-03,3.16203
2022-10-04,5.94051
2022-10-05,5.63534
2022-10-06,4.86606
2022-10-07,4.28692
2022-10-08,2.65329
2022-10-09,2.36009
2022-10-10,2.83363
2022-10-11,11.24783
2022-10-12,10.42774
2022-10-13,6.21593
2022-10-14,5.08668
2022-10-15,3.35217
2022-10-16,2.75344
2022-10-17,4.56415
2022-10-18,4.37873
2022-10-19,4.3624
2022-10-20,4.09025
2022-10-21,3.9734
2022-10-22,2.53826
2022-10-23,2.3434
2022-10-24,4.20782
2022-10-25,4.07319
2022-10-26,3.9959
2022-10-27,3.88378
2022-10-28,3.50168
2022-10-29,2.30348
2022-10-30,1.86768
2022-10-31,3.49659
2022-11-01,4.26987
2022-11-02,4.21653
2022-11-03,4.6741
2022-11-04,4.01985
2022-11-05,2.71098
2022-11-06,2.2095
2022-11-07,3.862
2022-11-08,4.13125
2022-11-09,4.43606
2022-11-10,4.11093
2022-11-11,4.51045
2022-11-12,2.59196
2022-11-13,2.28679
2022-11-14,4.08517
2022-11-15,3.78072
2022-11-16,3.65118
2022-11-17,3.60255
2022-11-18,3.31698
2022-11-19,2.06435
2022-11-20,2.00666
2022-11-21,3.52345
2022-11-22,3.48789
2022-11-23,3.43019
2022-11-24,3.31262
2022-11-25,3.13627
2022-11-26,2.11116
2022-11-27,1.90433
2022-11-28,3.17654
2022-11-29,3.05934
2022-11-30,3.133
2022-12-01,3.72048
2022-12-02,3.52454
2022-12-03,1.96783
2022-12-04,1.91413
2022-12-05,3.52091
2022-12-06,3.5884
2022-12-07,3.29593
2022-12-08,3.20412
2022-12-09,3.16384
2022-12-10,2.10753
2022-12-11,1.94062
2022-12-12,3.19687
2022-12-13,3.27525
2022-12-14,3.21864
2022-12-15,3.24186
2022-12-16,3.12175
2022-12-17,2.03242
2022-12-18,1.94424
2022-12-19,3.15114
2022-12-20,3.24077
2022-12-21,3.21428
2022-12-22,3.7252
2022-12-23,4.44658
2022-12-24,2.4421
2022-12-25,2.17394
2022-12-26,3.90518
2022-12-27,4.05287
2022-12-28,4.08553
2022-12-29,3.64102
2022-12-30,3.31988
2022-12-31,2.78574
2023-01-01,2.49472
2023-01-02,4.28692
2023-01-03,4.25172
2023-01-04,9.26657
2023-01-05,6.79797
2023-01-06,4.81199
2023-01-07,4.67519
2023-01-08,3.26799
2023-01-09,5.24489
2023-01-10,9.53908
2023-01-11,7.48198
2023-01-12,5.46516
2023-01-13,4.83703
2023-01-14,3.19215
2023-01-15,2.7959
2023-01-16,4.91577
2023-01-17,4.53766
2023-01-18,4.68608
2023-01-19,4.46872
2023-01-20,4.57214
2023-01-21,2.8525
2023-01-22,2.74981
2023-01-23,2.73675
2023-01-24,3.04664
2023-01-25,4.84937
2023-01-26,4.89836
2023-01-27,8.2411
2023-01-28,3.87942
2023-01-29,3.00382
2023-01-30,4.75756
2023-01-31,4.34788
2023-02-01,4.78187
2023-02-02,4.86679
2023-02-03,4.41574
2023-02-04,3.15078
2023-02-05,2.56874
2023-02-06,4.32539
2023-02-07,4.70096
2023-02-08,4.22306
2023-02-09,3.86636
2023-02-10,3.98828
2023-02-11,2.42287
2023-02-12,2.20043
2023-02-13,3.89212
2023-02-14,3.62178
2023-02-15,3.61852
2023-02-16,3.63485
2023-02-17,3.78036
2023-02-18,2.46423
2023-02-19,2.11298
2023-02-20,3.79342
2023-02-21,3.67694
2023-02-22,3.88196
2023-02-23,3.80975
2023-02-24,3.58949
2023-02-25,2.30058
2023-02-26,2.02153
2023-02-27,3.67404
2023-02-28,3.7223
2023-03-01,2.71679
2023-03-02,3.85402
2023-03-03,3.43019
2023-03-04,2.19825
2023-03-05,1.99142
2023-03-06,3.46938
2023-03-07,3.28831
2023-03-08,3.58586
2023-03-09,3.32169
2023-03-10,3.57389
2023-03-11,2.47947
2023-03-12,2.1616
2023-03-13,5.4256
2023-03-14,7.68518
2023-03-15,5.88499
2023-03-16,7.06795
2023-03-17,5.90278
2023-03-18,4.52242
2023-03-19,3.40225
2023-03-20,10.4731
2023-03-21,10.88351
2023-03-22,8.59381
2023-03-23,9.53908
2023-03-24,8.59199
2023-03-25,5.10446
2023-03-26,4.09206
2023-03-27,7.35643
2023-03-28,10.29747
2023-03-29,8.33653
2023-03-30,7.97076
2023-03-31,7.32703
2023-04-01,4.50501
2023-04-02,4.61822
2023-04-03,8.5949
2023-04-04,8.16091
2023-04-05,13.07414
2023-04-06,15.08734
2023-04-07,11.84366
2023-04-08,5.81206
2023-04-09,10.11459
2023-04-10,12.30015
2023-04-11,9.42514
2023-04-12,9.80034
