date,메지온주가
2022-07-20,11.60425
2022-07-21,11.47754
2022-07-22,8.64423
2022-07-23,1.32338
2022-07-24,1.00661
2022-07-25,8.25707
2022-07-26,7.02168
2022-07-27,6.82106
2022-07-28,6.92665
2022-07-29,5.67013
2022-07-30,0.78839
2022-07-31,0.73208
2022-08-01,5.63142
2022-08-02,4.97325
2022-08-03,5.45896
2022-08-04,5.72293
2022-08-05,7.74672
2022-08-06,1.37617
2022-08-07,0.87287
2022-08-08,6.09249
2022-08-09,5.6631
2022-08-10,5.35337
2022-08-11,5.94115
2022-08-12,6.54652
2022-08-13,1.38321
2022-08-14,1.02069
2022-08-15,1.06293
2022-08-16,7.95438
2022-08-17,6.13825
2022-08-18,5.45896
2022-08-19,5.00844
2022-08-20,0.74968
2022-08-21,0.63705
2022-08-22,5.16331
2022-08-23,4.52273
2022-08-24,5.00492
2022-08-25,5.42376
2022-08-26,5.03308
2022-08-27,0.61945
2022-08-28,0.45403
2022-08-29,4.77263
2022-08-30,5.01196
2022-08-31,5.2337
2022-09-01,4.29747
2022-09-02,4.55089
2022-09-03,0.47163
2022-09-04,0.35196
2022-09-05,3.81176
2022-09-06,3.6921
2022-09-07,4.04758
2022-09-08,4.50513
2022-09-09,0.5561
2022-09-10,0.43291
2022-09-11,0.40827
2022-09-12,0.5209
2022-09-13,5.25834
2022-09-14,4.16373
2022-09-15,3.72729
2022-09-16,3.23806
2022-09-17,0.61945
2022-09-18,0.41179
2022-09-19,3.59355
2022-09-20,3.52667
2022-09-21,3.34717
2022-09-22,3.15359
2022-09-23,3.26622
2022-09-24,0.45403
2022-09-25,0.28509
2022-09-26,3.48796
2022-09-27,3.2451
2022-09-28,3.39997
2022-09-29,3.50556
2022-09-30,3.15359
2022-10-01,0.36604
2022-10-02,0.33788
2022-10-03,0.33436
2022-10-04,3.46684
2022-10-05,3.0656
2022-10-06,3.23454
2022-10-07,3.13951
2022-10-08,0.38012
2022-10-09,0.26045
2022-10-10,0.41179
2022-10-11,2.54821
2022-10-12,2.73827
2022-10-13,2.52006
2022-10-14,2.79107
2022-10-15,0.46811
2022-10-16,0.37308
2022-10-17,2.80515
2022-10-18,2.75235
2022-10-19,2.61509
2022-10-20,2.22793
2022-10-21,2.28776
2022-10-22,0.42235
2022-10-23,0.32028
2022-10-24,2.58341
2022-10-25,2.43911
2022-10-26,2.73124
2022-10-27,2.65028
2022-10-28,2.17513
2022-10-29,0.34492
2022-10-30,0.20765
2022-10-31,2.51302
2022-11-01,2.72772
2022-11-02,2.80867
2022-11-03,2.29832
2022-11-04,2.18921
2022-11-05,0.31676
2022-11-06,0.27453
2022-11-07,2.54117
2022-11-08,4.89933
2022-11-09,3.39997
2022-11-10,3.2627
2022-11-11,3.6569
2022-11-12,0.47515
2022-11-13,0.40827
2022-11-14,3.53019
2022-11-15,3.72377
2022-11-16,3.05152
2022-11-17,2.52006
2022-11-18,2.38983
2022-11-19,0.27453
2022-11-20,0.28861
2022-11-21,2.23497
2022-11-22,2.32648
2022-11-23,2.66788
2022-11-24,3.10784
2022-11-25,2.17513
2022-11-26,0.34492
2022-11-27,0.26397
2022-11-28,2.63972
2022-11-29,2.47078
2022-11-30,2.50246
