date,근저당설정비용
2022-09-22,66.91729
2022-09-23,55.63909
2022-09-24,28.57142
2022-09-25,23.30827
2022-09-26,59.39849
2022-09-27,57.51879
2022-09-28,65.78947
2022-09-29,69.54887
2022-09-30,49.62406
2022-10-01,23.68421
2022-10-02,21.80451
2022-10-03,25.93984
2022-10-04,60.90225
2022-10-05,53.38345
2022-10-06,50.0
2022-10-07,48.87218
2022-10-08,25.93984
2022-10-09,14.66165
2022-10-10,29.3233
2022-10-11,54.13533
2022-10-12,56.76691
2022-10-13,60.15037
2022-10-14,52.63157
2022-10-15,23.68421
2022-10-16,27.06766
2022-10-17,59.02255
2022-10-18,55.26315
2022-10-19,50.75187
2022-10-20,52.25563
2022-10-21,46.99248
2022-10-22,33.0827
2022-10-23,21.80451
2022-10-24,60.15037
2022-10-25,56.76691
2022-10-26,69.54887
2022-10-27,52.63157
2022-10-28,51.50375
2022-10-29,25.93984
2022-10-30,18.04511
2022-10-31,48.49624
2022-11-01,63.90977
2022-11-02,57.89473
2022-11-03,49.62406
2022-11-04,45.86466
2022-11-05,19.92481
2022-11-06,22.55639
2022-11-07,46.99248
2022-11-08,53.00751
2022-11-09,58.27067
2022-11-10,51.50375
2022-11-11,42.85714
2022-11-12,21.42857
2022-11-13,26.69172
2022-11-14,58.64661
2022-11-15,62.78195
2022-11-16,54.51127
2022-11-17,59.02255
2022-11-18,50.75187
2022-11-19,19.54887
2022-11-20,22.93233
2022-11-21,56.39097
2022-11-22,53.38345
2022-11-23,63.90977
2022-11-24,62.40601
2022-11-25,48.1203
2022-11-26,20.30075
2022-11-27,22.18045
2022-11-28,58.27067
2022-11-29,60.90225
2022-11-30,54.88721
2022-12-01,47.36842
2022-12-02,42.4812
2022-12-03,12.78195
2022-12-04,19.17293
2022-12-05,46.61654
2022-12-06,60.90225
2022-12-07,52.25563
2022-12-08,50.37593
2022-12-09,46.99248
2022-12-10,22.93233
2022-12-11,26.69172
2022-12-12,51.12781
2022-12-13,50.37593
2022-12-14,50.0
2022-12-15,45.86466
2022-12-16,57.14285
2022-12-17,22.93233
2022-12-18,22.93233
2022-12-19,50.0
2022-12-20,63.53383
2022-12-21,43.60902
2022-12-22,57.14285
2022-12-23,43.98496
2022-12-24,21.80451
2022-12-25,18.42105
2022-12-26,55.63909
2022-12-27,47.74436
2022-12-28,59.39849
2022-12-29,57.51879
2022-12-30,38.7218
2022-12-31,21.42857
2023-01-01,21.05263
2023-01-02,47.36842
2023-01-03,59.02255
2023-01-04,47.36842
2023-01-05,56.76691
2023-01-06,48.1203
2023-01-07,25.18796
2023-01-08,25.18796
2023-01-09,54.13533
2023-01-10,56.01503
2023-01-11,57.89473
2023-01-12,65.41353
2023-01-13,44.73684
2023-01-14,31.57894
2023-01-15,20.30075
2023-01-16,57.14285
2023-01-17,68.42105
2023-01-18,50.75187
2023-01-19,50.37593
2023-01-20,42.4812
2023-01-21,17.66917
2023-01-22,12.78195
2023-01-23,19.17293
2023-01-24,20.67669
2023-01-25,50.0
2023-01-26,54.13533
2023-01-27,52.25563
2023-01-28,24.43609
2023-01-29,26.69172
2023-01-30,67.66917
2023-01-31,62.78195
2023-02-01,52.63157
2023-02-02,61.65413
2023-02-03,53.00751
2023-02-04,30.45112
2023-02-05,26.31578
2023-02-06,57.14285
2023-02-07,65.03759
2023-02-08,63.53383
2023-02-09,58.64661
2023-02-10,62.03007
2023-02-11,33.0827
2023-02-12,28.19548
2023-02-13,79.3233
2023-02-14,55.63909
2023-02-15,70.30075
2023-02-16,69.92481
2023-02-17,59.39849
2023-02-18,34.58646
2023-02-19,28.19548
2023-02-20,56.76691
2023-02-21,60.15037
2023-02-22,65.41353
2023-02-23,59.02255
2023-02-24,50.0
2023-02-25,27.06766
2023-02-26,32.33082
2023-02-27,63.15789
2023-02-28,71.80451
2023-03-01,31.57894
2023-03-02,63.15789
2023-03-03,55.63909
2023-03-04,27.81954
2023-03-05,18.04511
2023-03-06,51.87969
2023-03-07,53.00751
2023-03-08,57.89473
2023-03-09,53.38345
2023-03-10,48.49624
2023-03-11,25.5639
2023-03-12,23.30827
2023-03-13,69.17293
2023-03-14,50.0
2023-03-15,54.88721
2023-03-16,64.28571
2023-03-17,51.87969
2023-03-18,23.30827
