date,현대미포조선주가
2022-12-10,1.6289
2022-12-11,1.13865
2022-12-12,14.23714
2022-12-13,21.49606
2022-12-14,17.77962
2022-12-15,15.26113
2022-12-16,16.01628
2022-12-17,1.90961
2022-12-18,1.4589
2022-12-19,14.21341
2022-12-20,13.37919
2022-12-21,14.5811
2022-12-22,16.96516
2022-12-23,15.87791
2022-12-24,1.59332
2022-12-25,1.36006
2022-12-26,15.07531
2022-12-27,14.52971
2022-12-28,16.88609
2022-12-29,14.40319
2022-12-30,5.66559
2022-12-31,1.04376
2023-01-01,0.90143
2023-01-02,15.75534
2023-01-03,16.39979
2023-01-04,20.64998
2023-01-05,21.77282
2023-01-06,20.86348
2023-01-07,2.44731
2023-01-08,1.80682
2023-01-09,20.0846
2023-01-10,17.9259
2023-01-11,17.15494
2023-01-12,20.00948
2023-01-13,19.83157
2023-01-14,2.62918
2023-01-15,1.76333
2023-01-16,16.85051
2023-01-17,15.24927
2023-01-18,13.88921
2023-01-19,13.47013
2023-01-20,13.42663
2023-01-21,1.48657
2023-01-22,1.09911
2023-01-23,1.10702
2023-01-24,1.59727
2023-01-25,15.85814
2023-01-26,16.32862
2023-01-27,21.14814
2023-01-28,2.19823
2023-01-29,1.70402
2023-01-30,16.6291
2023-01-31,20.30996
2023-02-01,19.36108
2023-02-02,18.01288
2023-02-03,18.81548
2023-02-04,2.05985
2023-02-05,1.62495
2023-02-06,17.40797
2023-02-07,21.82422
2023-02-08,26.93235
2023-02-09,22.37773
2023-02-10,21.05325
2023-02-11,2.49871
2023-02-12,1.82659
2023-02-13,21.8598
2023-02-14,19.61807
2023-02-15,18.76408
2023-02-16,18.96572
2023-02-17,17.78753
2023-02-18,1.87403
2023-02-19,1.4589
2023-02-20,16.96516
2023-02-21,21.57118
2023-02-22,19.08433
2023-02-23,18.515
2023-02-24,15.2216
2023-02-25,1.38378
2023-02-26,1.20982
2023-02-27,17.03238
2023-02-28,19.66947
2023-03-01,2.81896
2023-03-02,18.37662
2023-03-03,17.87846
2023-03-04,2.04404
2023-03-05,1.48657
2023-03-06,18.64152
2023-03-07,18.54267
2023-03-08,18.61779
2023-03-09,19.45597
2023-03-10,17.3803
2023-03-11,2.56988
2023-03-12,1.98473
2023-03-13,19.79599
2023-03-14,18.44383
2023-03-15,19.68133
2023-03-16,19.36899
2023-03-17,18.60989
2023-03-18,1.98473
2023-03-19,1.94124
2023-03-20,22.33028
2023-03-21,23.378
2023-03-22,21.48815
2023-03-23,19.14759
2023-03-24,16.72004
2023-03-25,1.55378
2023-03-26,2.4908
2023-03-27,18.0801
2023-03-28,27.79425
2023-03-29,22.87589
2023-03-30,21.59095
2023-03-31,21.96655
2023-04-01,2.52639
2023-04-02,1.94124
2023-04-03,20.78045
2023-04-04,22.781
2023-04-05,21.1086
2023-04-06,18.76013
2023-04-07,17.57007
2023-04-08,1.90566
2023-04-09,1.93334
2023-04-10,18.68501
2023-04-11,19.39667
2023-04-12,21.39327
2023-04-13,19.6497
2023-04-14,23.99478
2023-04-15,2.56592
2023-04-16,2.19032
2023-04-17,24.14502
2023-04-18,20.47997
2023-04-19,24.44549
2023-04-20,25.16901
2023-04-21,19.38481
2023-04-22,2.05985
2023-04-23,2.79919
2023-04-24,23.208
2023-04-25,21.79259
2023-04-26,18.83525
2023-04-27,18.27383
2023-04-28,22.63867
2023-04-29,2.4315
2023-04-30,2.22195
2023-05-01,5.10022
2023-05-02,19.1634
2023-05-03,17.04424
2023-05-04,16.22187
2023-05-05,2.43545
2023-05-06,1.52216
2023-05-07,1.43517
2023-05-08,17.58984
2023-05-09,19.98972
2023-05-10,17.42774
2023-05-11,18.27383
2023-05-12,15.90954
2023-05-13,1.88589
2023-05-14,1.66844
2023-05-15,16.43142
2023-05-16,16.26141
2023-05-17,16.19025
2023-05-18,17.07191
2023-05-19,17.97335
2023-05-20,2.11125
