date,상속인
2022-11-10,66.31578
2022-11-11,56.31578
2022-11-12,27.36842
2022-11-13,27.89473
2022-11-14,74.21052
2022-11-15,62.10526
2022-11-16,64.73684
2022-11-17,50.52631
2022-11-18,57.89473
2022-11-19,27.89473
2022-11-20,31.57894
2022-11-21,43.15789
2022-11-22,62.10526
2022-11-23,59.47368
2022-11-24,42.63157
2022-11-25,54.73684
2022-11-26,29.47368
2022-11-27,36.31578
2022-11-28,47.36842
2022-11-29,62.10526
2022-11-30,50.0
2022-12-01,52.63157
2022-12-02,44.73684
2022-12-03,37.89473
2022-12-04,32.10526
2022-12-05,52.63157
2022-12-06,55.78947
2022-12-07,58.42105
2022-12-08,53.68421
2022-12-09,52.10526
2022-12-10,32.10526
2022-12-11,28.94736
2022-12-12,66.8421
2022-12-13,71.57894
2022-12-14,58.42105
2022-12-15,53.15789
2022-12-16,51.05263
2022-12-17,30.52631
2022-12-18,30.52631
2022-12-19,54.73684
2022-12-20,51.57894
2022-12-21,43.68421
2022-12-22,53.15789
2022-12-23,44.73684
2022-12-24,22.10526
2022-12-25,28.42105
2022-12-26,51.57894
2022-12-27,60.0
2022-12-28,57.36842
2022-12-29,55.78947
2022-12-30,47.89473
2022-12-31,24.21052
2023-01-01,31.05263
2023-01-02,49.47368
2023-01-03,60.52631
2023-01-04,62.10526
2023-01-05,51.05263
2023-01-06,57.89473
2023-01-07,36.8421
2023-01-08,31.05263
2023-01-09,64.21052
2023-01-10,63.68421
2023-01-11,54.73684
2023-01-12,56.8421
2023-01-13,47.36842
2023-01-14,39.47368
2023-01-15,38.94736
2023-01-16,76.8421
2023-01-17,62.63157
2023-01-18,44.73684
2023-01-19,44.73684
2023-01-20,37.89473
2023-01-21,23.15789
2023-01-22,21.05263
2023-01-23,18.42105
2023-01-24,26.31578
2023-01-25,62.10526
2023-01-26,42.10526
2023-01-27,45.78947
2023-01-28,33.15789
2023-01-29,28.42105
2023-01-30,58.42105
2023-01-31,50.52631
2023-02-01,61.57894
2023-02-02,55.78947
2023-02-03,47.36842
2023-02-04,37.89473
2023-02-05,22.63157
2023-02-06,56.31578
2023-02-07,62.63157
2023-02-08,62.10526
2023-02-09,54.21052
2023-02-10,51.05263
2023-02-11,30.0
2023-02-12,38.42105
2023-02-13,67.89473
2023-02-14,63.15789
2023-02-15,69.47368
2023-02-16,63.15789
2023-02-17,50.0
2023-02-18,30.0
2023-02-19,28.42105
2023-02-20,49.47368
2023-02-21,65.26315
2023-02-22,59.47368
2023-02-23,52.10526
2023-02-24,40.0
2023-02-25,28.94736
2023-02-26,16.8421
2023-02-27,64.73684
2023-02-28,49.47368
2023-03-01,30.52631
2023-03-02,52.63157
2023-03-03,43.68421
2023-03-04,35.78947
2023-03-05,31.57894
2023-03-06,54.73684
2023-03-07,62.10526
2023-03-08,56.31578
2023-03-09,46.31578
2023-03-10,42.10526
2023-03-11,22.10526
2023-03-12,30.0
2023-03-13,54.21052
2023-03-14,61.05263
2023-03-15,45.78947
2023-03-16,53.15789
2023-03-17,45.78947
2023-03-18,24.21052
2023-03-19,23.15789
2023-03-20,56.8421
2023-03-21,54.21052
2023-03-22,63.68421
2023-03-23,56.31578
2023-03-24,55.78947
2023-03-25,29.47368
2023-03-26,30.0
2023-03-27,59.47368
2023-03-28,54.73684
2023-03-29,43.68421
2023-03-30,52.63157
2023-03-31,50.0
2023-04-01,27.36842
2023-04-02,32.63157
2023-04-03,53.68421
2023-04-04,55.26315
2023-04-05,51.57894
2023-04-06,67.89473
2023-04-07,60.52631
2023-04-08,26.8421
2023-04-09,30.52631
2023-04-10,61.05263
2023-04-11,61.57894
2023-04-12,55.26315
2023-04-13,62.63157
2023-04-14,51.57894
2023-04-15,34.21052
2023-04-16,29.47368
2023-04-17,50.52631
2023-04-18,62.63157
2023-04-19,50.52631
2023-04-20,56.31578
2023-04-21,46.31578
2023-04-22,20.52631
2023-04-23,33.68421
2023-04-24,56.31578
2023-04-25,63.68421
2023-04-26,53.15789
2023-04-27,43.68421
2023-04-28,42.10526
2023-04-29,22.10526
2023-04-30,23.68421
2023-05-01,36.8421
2023-05-02,44.21052
2023-05-03,52.10526
2023-05-04,50.0
2023-05-05,28.94736
2023-05-06,27.89473
2023-05-07,24.73684
2023-05-08,57.36842
2023-05-09,55.78947
2023-05-10,48.94736
2023-05-11,58.42105
2023-05-12,52.10526
2023-05-13,23.15789
2023-05-14,21.57894
2023-05-15,64.73684
2023-05-16,50.0
2023-05-17,57.36842
2023-05-18,58.94736
2023-05-19,56.31578
2023-05-20,27.89473
2023-05-21,28.94736
2023-05-22,51.57894
2023-05-23,52.63157
2023-05-24,47.89473
2023-05-25,52.10526
2023-05-26,45.26315
2023-05-27,23.15789
2023-05-28,25.26315
2023-05-29,28.94736
2023-05-30,55.26315
2023-05-31,57.36842
