date,퇴직금세금
2022-04-06,40.45112
2022-04-07,39.47368
2022-04-08,37.4812
2022-04-09,19.9624
2022-04-10,19.81203
2022-04-11,45.30075
2022-04-12,41.16541
2022-04-13,42.03007
2022-04-14,39.66165
2022-04-15,43.98496
2022-04-16,20.6015
2022-04-17,19.28571
2022-04-18,38.68421
2022-04-19,39.84962
2022-04-20,42.33082
2022-04-21,38.0827
2022-04-22,32.96992
2022-04-23,16.80451
2022-04-24,15.86466
2022-04-25,39.77443
2022-04-26,39.69924
2022-04-27,37.06766
2022-04-28,38.42105
2022-04-29,39.73684
2022-04-30,21.80451
2022-05-01,18.1203
2022-05-02,40.11278
2022-05-03,37.70676
2022-05-04,35.15037
2022-05-05,18.0827
2022-05-06,28.45864
2022-05-07,17.18045
2022-05-08,14.58646
2022-05-09,42.89473
2022-05-10,53.19548
2022-05-11,45.26315
2022-05-12,39.47368
2022-05-13,39.81203
2022-05-14,18.27067
2022-05-15,16.91729
2022-05-16,44.92481
2022-05-17,40.07518
2022-05-18,36.57894
2022-05-19,37.21804
2022-05-20,35.22556
2022-05-21,16.8421
2022-05-22,17.89473
2022-05-23,34.24812
2022-05-24,39.69924
2022-05-25,39.73684
2022-05-26,35.71428
2022-05-27,35.75187
2022-05-28,19.58646
2022-05-29,74.21052
2022-05-30,100.0
2022-05-31,55.90225
2022-06-01,30.37593
2022-06-02,43.00751
2022-06-03,37.85714
2022-06-04,19.62406
2022-06-05,16.69172
2022-06-06,20.30075
2022-06-07,44.28571
2022-06-08,43.34586
2022-06-09,46.69172
2022-06-10,49.73684
2022-06-11,21.91729
2022-06-12,20.18796
2022-06-13,41.27819
2022-06-14,45.33834
2022-06-15,49.21052
2022-06-16,53.94736
2022-06-17,51.65413
2022-06-18,19.77443
2022-06-19,18.87218
2022-06-20,39.92481
2022-06-21,37.40601
2022-06-22,37.40601
2022-06-23,37.59398
2022-06-24,38.0827
2022-06-25,19.47368
2022-06-26,16.35338
2022-06-27,37.70676
2022-06-28,37.66917
2022-06-29,37.33082
2022-06-30,43.42105
2022-07-01,35.52631
2022-07-02,19.43609
2022-07-03,17.36842
2022-07-04,36.46616
2022-07-05,41.16541
2022-07-06,37.06766
2022-07-07,37.78195
2022-07-08,39.28571
2022-07-09,19.24812
2022-07-10,19.69924
2022-07-11,43.42105
2022-07-12,42.63157
2022-07-13,41.54135
2022-07-14,43.0827
2022-07-15,46.99248
2022-07-16,21.42857
2022-07-17,17.74436
2022-07-18,41.72932
2022-07-19,37.89473
2022-07-20,37.74436
2022-07-21,45.78947
2022-07-22,40.45112
2022-07-23,16.87969
2022-07-24,15.90225
2022-07-25,41.95488
2022-07-26,37.59398
2022-07-27,36.16541
2022-07-28,34.88721
2022-07-29,37.66917
2022-07-30,16.61654
2022-07-31,18.87218
2022-08-01,35.41353
2022-08-02,34.81203
2022-08-03,33.42105
2022-08-04,34.88721
2022-08-05,35.11278
2022-08-06,15.6015
2022-08-07,14.39849
2022-08-08,35.90225
2022-08-09,34.28571
2022-08-10,45.37593
2022-08-11,38.23308
2022-08-12,41.05263
2022-08-13,19.51127
2022-08-14,17.85714
2022-08-15,24.62406
2022-08-16,45.11278
2022-08-17,46.57894
2022-08-18,35.90225
2022-08-19,37.51879
2022-08-20,19.47368
2022-08-21,17.40601
2022-08-22,40.15037
2022-08-23,39.39849
2022-08-24,38.60902
2022-08-25,46.05263
2022-08-26,36.09022
2022-08-27,17.4436
2022-08-28,20.93984
2022-08-29,40.71428
2022-08-30,38.83458
2022-08-31,43.87218
2022-09-01,42.55639
2022-09-02,32.55639
2022-09-03,18.45864
2022-09-04,16.50375
2022-09-05,35.93984
2022-09-06,35.07518
2022-09-07,38.04511
2022-09-08,38.79699
2022-09-09,16.76691
2022-09-10,13.30827
2022-09-11,13.0827
2022-09-12,16.12781
2022-09-13,45.18796
2022-09-14,47.78195
2022-09-15,47.93233
2022-09-16,39.92481
2022-09-17,17.74436
2022-09-18,16.05263
2022-09-19,38.57142
2022-09-20,41.35338
2022-09-21,38.45864
2022-09-22,37.96992
2022-09-23,36.95488
2022-09-24,18.0827
2022-09-25,17.40601
2022-09-26,36.09022
2022-09-27,40.22556
2022-09-28,38.19548
2022-09-29,38.0827
2022-09-30,42.89473
2022-10-01,20.75187
2022-10-02,16.69172
2022-10-03,22.25563
2022-10-04,45.71428
2022-10-05,41.50375
2022-10-06,38.30827
2022-10-07,39.66165
2022-10-08,18.87218
2022-10-09,14.39849
2022-10-10,20.45112
2022-10-11,45.03759
2022-10-12,44.77443
2022-10-13,43.49624
2022-10-14,43.45864
2022-10-15,23.00751
2022-10-16,18.19548
2022-10-17,42.18045
2022-10-18,41.8421
2022-10-19,41.57894
2022-10-20,39.47368
2022-10-21,34.24812
2022-10-22,16.99248
2022-10-23,16.35338
2022-10-24,38.0827
2022-10-25,42.33082
2022-10-26,40.97744
2022-10-27,38.87218
2022-10-28,32.74436
2022-10-29,19.54887
2022-10-30,14.09774
2022-10-31,46.16541
2022-11-01,38.7218
2022-11-02,42.51879
2022-11-03,39.9624
2022-11-04,35.37593
2022-11-05,20.18796
2022-11-06,17.33082
2022-11-07,38.98496
2022-11-08,38.0827
2022-11-09,40.82706
2022-11-10,50.52631
2022-11-11,38.30827
2022-11-12,17.21804
2022-11-13,17.33082
2022-11-14,43.23308
2022-11-15,43.94736
2022-11-16,40.45112
2022-11-17,40.67669
2022-11-18,37.63157
2022-11-19,17.4436
2022-11-20,17.93233
2022-11-21,36.57894
2022-11-22,37.06766
2022-11-23,39.81203
2022-11-24,35.71428
2022-11-25,37.78195
2022-11-26,19.54887
2022-11-27,16.69172
2022-11-28,36.57894
2022-11-29,41.01503
2022-11-30,45.45112
2022-12-01,39.69924
2022-12-02,37.36842
2022-12-03,15.6015
2022-12-04,18.87218
2022-12-05,38.7218
2022-12-06,39.43609
2022-12-07,42.96992
2022-12-08,43.75939
2022-12-09,46.95488
2022-12-10,22.51879
2022-12-11,20.03759
2022-12-12,46.2406
2022-12-13,42.59398
2022-12-14,45.26315
2022-12-15,49.17293
2022-12-16,44.3609
2022-12-17,21.99248
2022-12-18,20.82706
2022-12-19,44.43609
2022-12-20,47.85714
2022-12-21,48.19548
2022-12-22,42.4812
2022-12-23,43.34586
2022-12-24,21.91729
2022-12-25,18.75939
2022-12-26,44.02255
2022-12-27,49.3233
2022-12-28,52.25563
2022-12-29,55.41353
2022-12-30,53.83458
2022-12-31,28.64661
2023-01-01,29.51127
2023-01-02,63.79699
2023-01-03,65.07518
2023-01-04,62.85714
2023-01-05,63.7218
2023-01-06,54.81203
2023-01-07,30.78947
2023-01-08,25.71428
2023-01-09,63.00751
2023-01-10,78.00751
2023-01-11,69.66165
2023-01-12,58.38345
2023-01-13,64.39849
2023-01-14,31.61654
2023-01-15,27.63157
2023-01-16,62.40601
2023-01-17,60.48872
2023-01-18,53.00751
2023-01-19,52.51879
2023-01-20,47.59398
2023-01-21,18.19548
2023-01-22,17.81954
2023-01-23,16.05263
2023-01-24,22.10526
2023-01-25,53.7218
2023-01-26,59.47368
2023-01-27,49.02255
2023-01-28,27.66917
2023-01-29,22.93233
2023-01-30,55.22556
2023-01-31,68.49624
2023-02-01,56.16541
2023-02-02,53.1203
2023-02-03,47.36842
2023-02-04,25.75187
2023-02-05,23.27067
2023-02-06,50.67669
2023-02-07,51.50375
2023-02-08,56.09022
2023-02-09,63.23308
2023-02-10,68.15789
2023-02-11,31.2406
2023-02-12,44.58646
2023-02-13,66.46616
2023-02-14,69.92481
2023-02-15,61.203
2023-02-16,57.06766
2023-02-17,51.65413
2023-02-18,25.0
2023-02-19,25.18796
2023-02-20,49.3609
2023-02-21,54.06015
2023-02-22,49.39849
2023-02-23,46.54135
2023-02-24,50.63909
2023-02-25,27.25563
2023-02-26,24.66165
2023-02-27,53.7218
2023-02-28,55.78947
2023-03-01,33.34586
2023-03-02,49.39849
2023-03-03,47.96992
2023-03-04,25.45112
2023-03-05,22.85714
2023-03-06,52.81954
2023-03-07,53.68421
2023-03-08,50.48872
2023-03-09,50.37593
2023-03-10,61.72932
2023-03-11,26.203
