date,부동산등기
2022-05-20,56.5625
2022-05-21,24.0625
2022-05-22,25.9375
2022-05-23,68.75
2022-05-24,69.375
2022-05-25,65.0
2022-05-26,64.375
2022-05-27,59.6875
2022-05-28,25.9375
2022-05-29,25.0
2022-05-30,69.6875
2022-05-31,71.25
2022-06-01,30.9375
2022-06-02,51.875
2022-06-03,62.1875
2022-06-04,24.375
2022-06-05,22.8125
2022-06-06,37.1875
2022-06-07,59.6875
2022-06-08,69.0625
2022-06-09,64.6875
2022-06-10,62.8125
2022-06-11,25.3125
2022-06-12,30.9375
2022-06-13,75.3125
2022-06-14,64.0625
2022-06-15,60.625
2022-06-16,57.1875
2022-06-17,58.125
2022-06-18,24.6875
2022-06-19,26.25
2022-06-20,73.75
2022-06-21,69.0625
2022-06-22,67.8125
2022-06-23,66.5625
2022-06-24,61.875
2022-06-25,23.4375
2022-06-26,26.875
2022-06-27,63.75
2022-06-28,62.1875
2022-06-29,60.0
2022-06-30,60.0
2022-07-01,51.875
2022-07-02,23.125
2022-07-03,19.6875
2022-07-04,66.25
2022-07-05,64.375
2022-07-06,56.875
2022-07-07,52.1875
2022-07-08,46.25
2022-07-09,20.9375
2022-07-10,21.875
2022-07-11,58.75
2022-07-12,64.6875
2022-07-13,55.9375
2022-07-14,60.625
2022-07-15,54.0625
2022-07-16,23.125
2022-07-17,25.3125
2022-07-18,67.5
2022-07-19,60.0
2022-07-20,62.5
2022-07-21,65.3125
2022-07-22,52.1875
2022-07-23,26.25
2022-07-24,25.0
2022-07-25,56.5625
2022-07-26,74.6875
2022-07-27,60.3125
2022-07-28,65.3125
2022-07-29,48.125
2022-07-30,28.75
2022-07-31,21.25
2022-08-01,65.3125
2022-08-02,67.8125
2022-08-03,57.1875
2022-08-04,57.1875
2022-08-05,55.0
2022-08-06,21.875
2022-08-07,28.75
2022-08-08,63.125
2022-08-09,56.875
2022-08-10,60.3125
2022-08-11,49.0625
2022-08-12,51.875
2022-08-13,23.4375
2022-08-14,15.625
2022-08-15,27.1875
2022-08-16,74.0625
2022-08-17,57.8125
2022-08-18,62.8125
2022-08-19,60.3125
2022-08-20,27.8125
2022-08-21,22.8125
2022-08-22,69.375
2022-08-23,66.25
2022-08-24,57.8125
2022-08-25,56.25
2022-08-26,52.8125
2022-08-27,26.25
2022-08-28,25.3125
2022-08-29,67.8125
2022-08-30,72.1875
2022-08-31,52.5
2022-09-01,55.625
2022-09-02,59.375
2022-09-03,29.6875
2022-09-04,27.1875
2022-09-05,64.0625
2022-09-06,48.4375
2022-09-07,53.75
2022-09-08,38.4375
2022-09-09,22.1875
2022-09-10,12.1875
2022-09-11,20.3125
2022-09-12,26.25
2022-09-13,75.3125
2022-09-14,62.5
2022-09-15,65.0
2022-09-16,57.5
2022-09-17,20.0
2022-09-18,21.25
2022-09-19,73.75
2022-09-20,64.6875
2022-09-21,68.125
2022-09-22,54.6875
2022-09-23,52.5
2022-09-24,21.875
2022-09-25,20.3125
2022-09-26,77.5
2022-09-27,60.0
2022-09-28,63.4375
2022-09-29,63.4375
2022-09-30,50.0
2022-10-01,17.1875
2022-10-02,18.125
2022-10-03,26.25
2022-10-04,72.5
2022-10-05,56.875
2022-10-06,46.5625
2022-10-07,45.3125
2022-10-08,16.875
2022-10-09,20.0
2022-10-10,29.6875
2022-10-11,63.4375
2022-10-12,64.375
2022-10-13,55.9375
2022-10-14,52.1875
2022-10-15,25.625
2022-10-16,22.5
2022-10-17,52.8125
2022-10-18,64.375
2022-10-19,54.375
2022-10-20,54.0625
2022-10-21,57.1875
2022-10-22,20.0
2022-10-23,25.9375
2022-10-24,78.75
2022-10-25,62.8125
2022-10-26,56.25
2022-10-27,56.875
2022-10-28,47.1875
2022-10-29,21.875
2022-10-30,15.9375
2022-10-31,63.125
2022-11-01,51.875
2022-11-02,58.75
2022-11-03,48.125
2022-11-04,42.8125
2022-11-05,18.4375
2022-11-06,20.3125
2022-11-07,69.0625
2022-11-08,63.4375
2022-11-09,62.8125
2022-11-10,61.5625
2022-11-11,50.0
2022-11-12,23.75
2022-11-13,24.0625
2022-11-14,58.125
2022-11-15,63.125
2022-11-16,57.8125
2022-11-17,53.4375
2022-11-18,54.0625
2022-11-19,29.375
2022-11-20,24.0625
2022-11-21,57.1875
2022-11-22,55.0
2022-11-23,50.625
2022-11-24,50.3125
2022-11-25,62.5
2022-11-26,23.125
2022-11-27,23.4375
2022-11-28,64.6875
2022-11-29,53.75
2022-11-30,54.375
2022-12-01,47.8125
2022-12-02,45.625
2022-12-03,21.5625
2022-12-04,22.5
2022-12-05,68.125
2022-12-06,61.25
2022-12-07,60.3125
2022-12-08,54.375
2022-12-09,62.5
2022-12-10,26.5625
2022-12-11,24.375
2022-12-12,72.1875
2022-12-13,64.0625
2022-12-14,61.5625
2022-12-15,64.375
2022-12-16,59.375
2022-12-17,28.75
2022-12-18,20.625
2022-12-19,57.8125
2022-12-20,67.8125
2022-12-21,61.875
