date,솔라나시세
2023-06-11,4.68978
2023-06-12,4.76306
2023-06-13,3.71275
2023-06-14,4.4211
2023-06-15,3.34636
2023-06-16,2.78456
2023-06-17,1.53883
2023-06-18,1.29457
2023-06-19,2.10063
2023-06-20,2.41817
2023-06-21,3.1998
2023-06-22,3.02882
2023-06-23,3.15095
2023-06-24,3.49291
2023-06-25,2.24719
2023-06-26,2.88226
2023-06-27,3.02882
2023-06-28,2.44259
2023-06-29,2.32046
2023-06-30,4.17684
2023-07-01,3.81045
2023-07-02,3.2975
2023-07-03,3.07767
2023-07-04,2.5403
2023-07-05,2.49145
2023-07-06,2.14948
2023-07-07,2.76013
2023-07-08,3.8593
2023-07-09,2.73571
2023-07-10,2.58915
2023-07-11,2.56472
2023-07-12,3.66389
2023-07-13,3.27308
2023-07-14,9.74596
2023-07-15,6.03321
2023-07-16,5.30043
2023-07-17,4.76306
2023-07-18,4.27454
2023-07-19,4.37225
2023-07-20,3.12652
2023-07-21,3.12652
2023-07-22,2.44259
2023-07-23,2.22276
2023-07-24,2.29604
2023-07-25,2.29604
2023-07-26,3.00439
2023-07-27,3.32193
2023-07-28,3.66389
2023-07-29,2.0762
2023-07-30,1.75867
2023-07-31,1.80752
2023-08-01,2.39374
2023-08-02,2.51587
2023-08-03,1.66096
2023-08-04,1.66096
2023-08-05,1.61211
2023-08-06,1.83194
2023-08-07,2.27161
2023-08-08,1.73424
2023-08-09,5.56912
2023-08-10,2.27161
2023-08-11,2.39374
2023-08-12,1.05031
2023-08-13,1.8808
2023-08-14,2.10063
2023-08-15,2.32046
2023-08-16,1.95407
2023-08-17,2.17391
2023-08-18,4.15241
2023-08-19,2.14948
2023-08-20,2.39374
2023-08-21,2.78456
2023-08-22,2.17391
2023-08-23,2.22276
2023-08-24,2.14948
2023-08-25,2.61358
2023-08-26,1.95407
2023-08-27,2.02735
2023-08-28,2.34489
2023-08-29,2.88226
2023-08-30,2.88226
2023-08-31,2.22276
2023-09-01,2.19833
2023-09-02,1.78309
2023-09-03,1.63654
2023-09-04,1.85637
2023-09-05,1.78309
2023-09-06,2.85784
2023-09-07,2.71128
2023-09-08,2.12506
2023-09-09,1.44113
2023-09-10,2.80898
2023-09-11,3.32193
2023-09-12,3.41963
2023-09-13,2.29604
2023-09-14,2.10063
2023-09-15,2.80898
2023-09-16,1.70981
2023-09-17,2.10063
2023-09-18,2.24719
2023-09-19,1.75867
2023-09-20,1.53883
2023-09-21,1.39228
2023-09-22,1.17244
2023-09-23,1.22129
2023-09-24,1.07474
2023-09-25,1.36785
2023-09-26,1.19687
2023-09-27,0.95261
2023-09-28,1.02589
2023-09-29,1.4167
2023-09-30,1.61211
2023-10-01,2.39374
2023-10-02,4.34782
2023-10-03,3.37078
2023-10-04,2.88226
2023-10-05,2.34489
2023-10-06,2.41817
2023-10-07,1.92965
2023-10-08,1.44113
2023-10-09,1.80752
2023-10-10,1.63654
2023-10-11,1.83194
2023-10-12,2.10063
2023-10-13,2.0762
2023-10-14,2.10063
2023-10-15,1.80752
2023-10-16,3.02882
2023-10-17,2.73571
2023-10-18,2.34489
2023-10-19,2.34489
2023-10-20,4.95847
2023-10-21,5.98436
2023-10-22,5.49584
2023-10-23,10.0635
2023-10-24,13.80068
2023-10-25,10.01465
2023-10-26,11.8466
2023-10-27,8.67122
2023-10-28,6.25305
2023-10-29,5.56912
2023-10-30,9.23302
2023-10-31,12.16414
2023-11-01,16.41426
2023-11-02,23.88861
2023-11-03,17.26917
2023-11-04,13.67855
2023-11-05,12.01758
2023-11-06,12.43282
2023-11-07,11.48021
2023-11-08,13.60527
2023-11-09,17.02491
2023-11-10,21.34831
2023-11-11,29.72642
2023-11-12,31.65608
2023-11-13,26.72203
2023-11-14,23.00928
2023-11-15,21.95896
2023-11-16,35.97948
2023-11-17,25.4763
2023-11-18,17.56228
2023-11-19,16.38983
2023-11-20,19.54079
2023-11-21,18.51489
2023-11-22,18.6126
2023-11-23,18.53932
2023-11-24,14.24035
2023-11-25,11.8466
2023-11-26,10.11235
2023-11-27,10.91841
2023-11-28,10.11235
2023-11-29,13.11675
2023-11-30,13.45872
2023-12-01,12.99462
2023-12-02,11.7489
2023-12-03,17.22032
2023-12-04,28.70053
2023-12-05,14.36248
2023-12-06,24.08402
2023-12-07,19.2721
2023-12-08,30.21494
2023-12-09,32.19345
2023-12-10,21.25061
2023-12-11,23.61993
2023-12-12,20.37127
2023-12-13,17.09819
2023-12-14,19.10112
2023-12-15,24.1573
2023-12-16,17.78212
2023-12-17,15.48607
2023-12-18,18.24621
2023-12-19,20.17586
2023-12-20,19.00341
2023-12-21,31.24084
2023-12-22,37.39618
2023-12-23,28.33414
2023-12-24,47.36199
2023-12-25,38.64191
2023-12-26,45.872
2023-12-27,41.59745
2023-12-28,36.83439
2023-12-29,32.21787
2023-12-30,21.7147
2023-12-31,20.07816
2024-01-01,23.5955
2024-01-02,33.3659
2024-01-03,33.43917
2024-01-04,27.89447
2024-01-05,22.42305
2024-01-06,18.85686
2024-01-07,18.51489
2024-01-08,23.25354
2024-01-09,29.0425
2024-01-10,24.89008
2024-01-11,45.82315
2024-01-12,27.96775
2024-01-13,19.78505
2024-01-14,17.68441
2024-01-15,20.5911
2024-01-16,17.75769
