date,20대실비보험
2023-03-11,5.4054
2023-03-12,11.71171
2023-03-13,16.66666
2023-03-14,11.71171
2023-03-15,13.96396
2023-03-16,15.76576
2023-03-17,11.71171
2023-03-18,5.4054
2023-03-19,9.45945
2023-03-20,23.42342
2023-03-21,10.36036
2023-03-22,19.81981
2023-03-23,19.81981
2023-03-24,12.16216
2023-03-25,12.16216
2023-03-26,9.009
2023-03-27,11.71171
2023-03-28,12.61261
2023-03-29,12.16216
2023-03-30,15.76576
2023-03-31,15.31531
2023-04-01,4.95495
2023-04-02,7.2072
2023-04-03,7.2072
2023-04-04,15.31531
2023-04-05,15.76576
2023-04-06,11.26126
2023-04-07,12.16216
2023-04-08,2.7027
2023-04-09,5.85585
2023-04-10,16.66666
2023-04-11,16.66666
2023-04-12,7.2072
2023-04-13,15.76576
2023-04-14,9.45945
2023-04-15,5.85585
2023-04-16,6.75675
2023-04-17,15.31531
2023-04-18,9.9099
2023-04-19,11.71171
2023-04-20,16.66666
2023-04-21,12.61261
2023-04-22,6.3063
2023-04-23,10.81081
2023-04-24,18.01801
2023-04-25,11.26126
2023-04-26,9.45945
2023-04-27,13.51351
2023-04-28,11.71171
2023-04-29,6.3063
2023-04-30,7.2072
2023-05-01,14.86486
2023-05-02,11.26126
2023-05-03,12.16216
2023-05-04,7.65765
2023-05-05,7.65765
2023-05-06,7.2072
2023-05-07,6.75675
2023-05-08,14.86486
2023-05-09,12.61261
2023-05-10,7.65765
2023-05-11,14.86486
2023-05-12,10.36036
2023-05-13,4.5045
2023-05-14,7.65765
2023-05-15,13.51351
2023-05-16,9.009
2023-05-17,8.1081
2023-05-18,9.009
2023-05-19,9.45945
2023-05-20,9.45945
2023-05-21,5.85585
2023-05-22,12.61261
2023-05-23,15.31531
2023-05-24,12.16216
2023-05-25,11.26126
2023-05-26,8.55855
2023-05-27,5.85585
2023-05-28,8.1081
2023-05-29,5.85585
2023-05-30,12.16216
