date,가자고
2022-10-21,3.11475
2022-10-22,6.88524
2022-10-23,21.14754
2022-10-24,21.63934
2022-10-25,15.57377
2022-10-26,14.59016
2022-10-27,9.83606
2022-10-28,9.50819
2022-10-29,15.90163
2022-10-30,15.7377
2022-10-31,8.68852
2022-11-01,9.83606
2022-11-02,7.54098
2022-11-03,5.90163
2022-11-04,6.55737
2022-11-05,5.57377
2022-11-06,6.39344
2022-11-07,5.90163
2022-11-08,3.27868
2022-11-09,5.7377
2022-11-10,4.91803
2022-11-11,5.57377
2022-11-12,7.70491
2022-11-13,7.86885
2022-11-14,5.90163
2022-11-15,6.39344
2022-11-16,6.39344
2022-11-17,4.75409
2022-11-18,6.55737
2022-11-19,3.93442
2022-11-20,2.95081
2022-11-21,3.27868
2022-11-22,5.90163
2022-11-23,3.60655
2022-11-24,4.59016
2022-11-25,3.44262
2022-11-26,2.62295
2022-11-27,2.45901
2022-11-28,2.13114
2022-11-29,2.13114
2022-11-30,4.09836
2022-12-01,3.44262
2022-12-02,2.78688
2022-12-03,2.29508
2022-12-04,2.13114
2022-12-05,2.62295
2022-12-06,5.08196
2022-12-07,3.60655
2022-12-08,3.27868
2022-12-09,3.27868
2022-12-10,3.27868
2022-12-11,2.29508
2022-12-12,4.26229
2022-12-13,3.27868
2022-12-14,3.44262
2022-12-15,2.62295
2022-12-16,2.78688
2022-12-17,2.13114
2022-12-18,2.95081
2022-12-19,2.29508
2022-12-20,3.93442
2022-12-21,3.60655
2022-12-22,1.31147
2022-12-23,3.93442
2022-12-24,1.80327
2022-12-25,1.63934
2022-12-26,2.78688
2022-12-27,1.31147
2022-12-28,1.4754
2022-12-29,2.62295
2022-12-30,3.93442
2022-12-31,3.60655
2023-01-01,2.62295
2023-01-02,2.13114
2023-01-03,1.80327
2023-01-04,1.31147
2023-01-05,2.13114
2023-01-06,2.78688
2023-01-07,2.13114
2023-01-08,1.31147
2023-01-09,2.29508
2023-01-10,3.11475
2023-01-11,3.60655
2023-01-12,1.96721
2023-01-13,4.09836
2023-01-14,1.63934
2023-01-15,0.9836
2023-01-16,1.63934
2023-01-17,1.80327
2023-01-18,3.60655
2023-01-19,3.27868
2023-01-20,2.95081
2023-01-21,1.80327
2023-01-22,1.4754
2023-01-23,0.9836
2023-01-25,2.78688
2023-01-26,2.29508
2023-01-27,4.26229
2023-01-28,3.93442
2023-01-29,2.62295
2023-01-30,4.91803
2023-01-31,3.60655
2023-02-01,2.78688
2023-02-02,3.77049
2023-02-03,2.45901
2023-02-05,1.80327
2023-02-06,2.62295
2023-02-07,0.9836
2023-02-08,1.80327
2023-02-10,2.95081
2023-02-11,4.26229
2023-02-12,2.13114
2023-02-13,3.27868
2023-02-14,3.93442
2023-02-15,3.27868
2023-02-16,2.62295
2023-02-17,4.26229
2023-02-18,1.4754
2023-02-19,1.31147
2023-02-20,3.11475
2023-02-21,15.08196
2023-02-22,6.2295
2023-02-23,5.08196
2023-02-24,5.57377
2023-02-25,2.78688
2023-02-26,2.95081
2023-02-27,14.75409
2023-02-28,5.40983
2023-03-01,4.75409
2023-03-02,11.80327
2023-03-03,4.75409
2023-03-04,5.08196
2023-03-05,2.45901
2023-03-06,4.26229
2023-03-07,4.09836
2023-03-08,11.96721
2023-03-09,3.77049
2023-03-10,2.78688
2023-03-11,3.11475
2023-03-12,3.44262
2023-03-13,38.68852
2023-03-14,11.14754
2023-03-15,4.91803
2023-03-16,10.65573
2023-03-17,4.26229
2023-03-18,4.09836
2023-03-19,5.08196
2023-03-20,6.55737
2023-03-21,15.40983
2023-03-22,13.93442
2023-03-23,6.2295
2023-03-24,6.2295
2023-03-25,6.06557
2023-03-26,5.2459
2023-03-27,5.57377
2023-03-28,5.40983
2023-03-29,3.60655
2023-03-30,5.2459
2023-03-31,4.59016
2023-04-01,2.62295
2023-04-02,3.93442
2023-04-03,4.91803
2023-04-04,2.62295
2023-04-05,3.77049
2023-04-06,3.44262
2023-04-07,5.08196
2023-04-08,3.60655
2023-04-09,1.96721
2023-04-10,4.09836
2023-04-11,8.36065
2023-04-12,8.19672
2023-04-13,22.62295
2023-04-14,3.60655
2023-04-15,6.39344
2023-04-16,3.77049
2023-04-17,5.7377
2023-04-18,3.44262
2023-04-19,3.93442
2023-04-20,3.93442
2023-04-21,2.13114
2023-04-22,3.77049
2023-04-23,3.11475
2023-04-24,4.91803
2023-04-25,2.13114
2023-04-26,2.62295
2023-04-27,4.42622
2023-04-28,4.26229
2023-04-29,3.77049
2023-04-30,2.95081
2023-05-01,2.29508
2023-05-02,5.08196
2023-05-03,2.62295
2023-05-04,3.60655
2023-05-05,2.29508
2023-05-06,1.4754
2023-05-07,1.63934
2023-05-08,3.11475
2023-05-09,4.42622
2023-05-10,3.60655
2023-05-11,3.60655
2023-05-12,1.63934
2023-05-13,2.29508
2023-05-14,3.27868
2023-05-15,3.44262
2023-05-16,4.75409
2023-05-17,2.29508
2023-05-18,2.45901
2023-05-19,2.78688
2023-05-20,1.31147
2023-05-21,1.14754
2023-05-22,3.44262
2023-05-23,2.45901
2023-05-24,5.2459
2023-05-25,2.45901
2023-05-26,2.62295
