date,엑시인피니티
2023-11-13,1.32753
2023-11-14,1.27366
2023-11-15,0.96583
2023-11-16,1.56995
2023-11-17,1.53917
2023-11-18,0.99276
2023-11-19,0.57334
2023-11-20,1.13513
2023-11-21,1.03894
2023-11-22,0.94659
2023-11-23,0.88117
2023-11-24,0.75034
2023-11-25,0.88117
2023-11-26,2.90903
2023-11-27,7.87286
2023-11-28,2.91673
2023-11-29,1.90857
2023-11-30,1.37755
2023-12-01,1.0197
2023-12-02,0.9235
2023-12-03,0.90811
2023-12-04,3.53624
2023-12-05,2.06249
2023-12-06,3.47083
2023-12-07,2.32414
2023-12-08,2.07788
2023-12-09,2.51654
2023-12-10,2.37802
2023-12-11,1.97783
2023-12-12,1.88548
2023-12-13,1.41219
2023-12-14,1.68924
2023-12-15,1.14283
2023-12-16,0.6503
2023-12-17,0.71186
2023-12-18,0.71956
2023-12-19,0.76958
2023-12-20,0.93889
2023-12-21,1.0043
2023-12-22,0.95813
2023-12-23,0.76189
2023-12-24,1.51223
2023-12-25,10.88194
2023-12-26,5.27551
2023-12-27,2.62044
2023-12-28,2.20871
2023-12-29,1.89702
2023-12-30,1.22364
2023-12-31,0.93119
2024-01-01,2.0394
2024-01-02,1.77389
2024-01-03,1.74311
2024-01-04,1.83931
2024-01-05,1.35831
2024-01-06,1.16592
2024-01-07,1.03894
2024-01-08,1.32368
2024-01-09,1.34292
2024-01-10,1.15053
2024-01-11,2.92057
2024-01-12,2.16253
2024-01-13,1.25057
2024-01-14,0.93504
2024-01-15,1.2044
2024-01-16,0.98507
2024-01-17,1.23903
2024-01-18,0.71571
2024-01-19,0.84269
2024-01-20,0.76189
2024-01-21,0.83115
2024-01-22,0.78497
2024-01-23,0.8273
2024-01-24,1.03894
2024-01-25,0.62336
2024-01-26,0.62336
2024-01-27,0.59258
2024-01-28,0.61951
2024-01-29,0.79652
2024-01-30,0.75419
2024-01-31,0.67338
2024-02-01,0.65799
2024-02-02,0.46559
2024-02-03,0.59258
2024-02-04,0.41557
2024-02-05,0.65799
2024-02-06,0.6503
2024-02-07,0.49638
2024-02-08,0.49253
2024-02-09,0.62336
2024-02-10,0.63106
2024-02-11,0.70417
2024-02-12,0.80421
2024-02-13,1.29675
2024-02-14,1.01585
2024-02-15,1.26981
2024-02-16,1.17361
2024-02-17,0.66184
2024-02-18,0.68493
2024-02-19,1.15822
2024-02-20,1.15053
2024-02-21,1.05048
2024-02-22,0.85424
2024-02-23,0.87348
2024-02-24,0.56179
2024-02-25,0.63106
2024-02-26,0.99276
2024-02-27,1.82776
2024-02-28,1.95859
2024-02-29,2.8744
2024-03-01,2.02401
2024-03-02,2.58196
2024-03-03,3.59396
2024-03-04,3.37078
2024-03-05,4.02108
2024-03-06,2.89749
2024-03-07,3.32076
2024-03-08,2.75126
