date,자동차보험비교
2022-06-22,19.35096
2022-06-23,16.89903
2022-06-24,15.98557
2022-06-25,9.47115
2022-06-26,11.32211
2022-06-27,21.25
2022-06-28,20.43269
2022-06-29,19.61538
2022-06-30,18.82211
2022-07-01,17.16346
2022-07-02,10.26442
2022-07-03,11.29807
2022-07-04,21.17788
2022-07-05,21.58653
2022-07-06,18.19711
2022-07-07,16.68269
2022-07-08,16.68269
2022-07-09,9.27884
2022-07-10,10.43269
2022-07-11,19.47115
2022-07-12,20.88942
2022-07-13,18.02884
2022-07-14,19.42307
2022-07-15,17.45192
2022-07-16,8.79807
2022-07-17,12.23557
2022-07-18,22.90865
2022-07-19,19.20673
2022-07-20,19.35096
2022-07-21,18.125
2022-07-22,16.53846
2022-07-23,9.92788
2022-07-24,12.11538
2022-07-25,21.22596
2022-07-26,20.45673
2022-07-27,19.90384
2022-07-28,17.33173
2022-07-29,16.5625
2022-07-30,9.0625
2022-07-31,9.8798
2022-08-01,22.11538
2022-08-02,19.03846
2022-08-03,19.27884
2022-08-04,18.29326
2022-08-05,16.875
2022-08-06,9.44711
2022-08-07,10.72115
2022-08-08,19.73557
2022-08-09,19.78365
2022-08-10,22.16346
2022-08-11,20.09615
2022-08-12,18.91826
2022-08-13,10.5048
2022-08-14,10.04807
2022-08-15,12.16346
2022-08-16,21.15384
2022-08-17,22.11538
2022-08-18,20.14423
2022-08-19,17.30769
2022-08-20,11.85096
2022-08-21,11.08173
2022-08-22,23.77403
2022-08-23,22.90865
2022-08-24,17.71634
2022-08-25,19.35096
2022-08-26,17.35576
2022-08-27,9.78365
2022-08-28,10.45673
2022-08-29,20.625
2022-08-30,19.61538
2022-08-31,19.20673
2022-09-01,19.01442
2022-09-02,15.69711
2022-09-03,10.16826
2022-09-04,10.96153
2022-09-05,20.8173
2022-09-06,19.71153
2022-09-07,18.22115
2022-09-08,17.11538
2022-09-09,10.33653
2022-09-10,7.90865
2022-09-11,9.2548
2022-09-12,11.70673
2022-09-13,25.72115
2022-09-14,22.5
2022-09-15,20.38461
2022-09-16,18.96634
2022-09-17,11.20192
2022-09-18,11.7548
2022-09-19,21.80288
2022-09-20,20.33653
2022-09-21,19.92788
2022-09-22,18.9423
2022-09-23,15.21634
2022-09-24,9.51923
2022-09-25,11.10576
2022-09-26,20.84134
2022-09-27,21.34615
2022-09-28,22.09134
2022-09-29,18.96634
2022-09-30,19.39903
2022-10-01,10.79326
2022-10-02,11.77884
2022-10-03,15.69711
2022-10-04,26.85096
2022-10-05,23.22115
2022-10-06,23.26923
2022-10-07,20.28846
2022-10-08,10.1923
2022-10-09,11.20192
2022-10-10,14.2548
2022-10-11,28.125
2022-10-12,25.38461
2022-10-13,21.1298
2022-10-14,21.70673
2022-10-15,11.80288
2022-10-16,13.34134
2022-10-17,27.57211
2022-10-18,26.51442
2022-10-19,23.91826
2022-10-20,22.98076
2022-10-21,20.3125
2022-10-22,11.00961
2022-10-23,13.89423
2022-10-24,25.28846
2022-10-25,24.42307
2022-10-26,24.23076
2022-10-27,21.58653
2022-10-28,19.83173
2022-10-29,12.74038
2022-10-30,11.82692
2022-10-31,25.36057
2022-11-01,28.36538
2022-11-02,23.87019
2022-11-03,21.92307
2022-11-04,21.53846
2022-11-05,13.0048
2022-11-06,12.76442
2022-11-07,25.1923
2022-11-08,24.375
2022-11-09,22.8125
2022-11-10,22.5
2022-11-11,19.71153
2022-11-12,10.45673
