date,상가임대
2023-01-25,79.1776
2023-01-26,74.10323
2023-01-27,69.64129
2023-01-28,65.09186
2023-01-29,64.39195
2023-01-30,89.50131
2023-01-31,87.75153
2023-02-01,85.5643
2023-02-02,87.31408
2023-02-03,80.92738
2023-02-04,75.67804
2023-02-05,60.80489
2023-02-06,92.12598
2023-02-07,87.9265
2023-02-08,79.52755
2023-02-09,80.05249
2023-02-10,80.13998
2023-02-11,54.41819
2023-02-12,73.75328
2023-02-13,88.88888
2023-02-14,84.86439
2023-02-15,81.36482
2023-02-16,80.7524
2023-02-17,70.69116
2023-02-18,60.54243
2023-02-19,66.40419
2023-02-20,85.91426
2023-02-21,84.25196
2023-02-22,77.51531
2023-02-23,76.29046
2023-02-24,69.64129
2023-02-25,57.21784
2023-02-26,57.13035
2023-02-27,84.33945
2023-02-28,71.65354
2023-03-01,69.99125
2023-03-02,86.61417
2023-03-03,72.87839
2023-03-04,63.69203
2023-03-05,67.10411
2023-03-06,87.1391
2023-03-07,78.04024
2023-03-08,81.01487
2023-03-09,78.30271
2023-03-10,73.84076
2023-03-11,58.96762
2023-03-12,52.66841
2023-03-13,78.91513
2023-03-14,77.07786
2023-03-15,81.36482
2023-03-16,79.00262
2023-03-17,68.50393
2023-03-18,56.34295
2023-03-19,53.45581
2023-03-20,86.00174
2023-03-21,77.25284
2023-03-22,80.48993
2023-03-23,84.16447
2023-03-24,81.97725
2023-03-25,55.29308
2023-03-26,54.85564
2023-03-27,85.82677
2023-03-28,78.56517
2023-03-29,83.28958
2023-03-30,85.47681
2023-03-31,74.54068
2023-04-01,58.09273
2023-04-02,59.40507
2023-04-03,81.71478
2023-04-04,84.60192
2023-04-05,84.95188
2023-04-06,88.71391
2023-04-07,73.49081
2023-04-08,60.80489
2023-04-09,62.3797
2023-04-10,89.5888
2023-04-11,83.20209
2023-04-12,77.51531
2023-04-13,73.40332
2023-04-14,71.21609
2023-04-15,61.41732
2023-04-16,64.39195
2023-04-17,88.36395
2023-04-18,85.65179
2023-04-19,82.41469
2023-04-20,79.52755
2023-04-21,71.65354
2023-04-22,65.00437
2023-04-23,63.60454
2023-04-24,89.41382
2023-04-25,81.97725
2023-04-26,71.1286
2023-04-27,76.46544
2023-04-28,69.72878
2023-04-29,60.89238
2023-04-30,51.88101
2023-05-01,67.10411
2023-05-02,73.14085
2023-05-03,80.22747
2023-05-04,70.86614
2023-05-05,51.1811
2023-05-06,48.03149
2023-05-07,53.10586
2023-05-08,75.67804
2023-05-09,84.07699
2023-05-10,83.37707
2023-05-11,82.67716
2023-05-12,71.21609
2023-05-13,55.29308
2023-05-14,62.81714
2023-05-15,87.05161
2023-05-16,79.70253
2023-05-17,74.97812
2023-05-18,81.5398
2023-05-19,68.50393
2023-05-20,55.90551
2023-05-21,56.86789
2023-05-22,86.3517
2023-05-23,83.55205
2023-05-24,81.5398
2023-05-25,75.85301
2023-05-26,69.5538
2023-05-27,55.90551
