date,간병인보험
2022-12-28,3.62591
2022-12-29,3.44007
2022-12-30,2.80478
2022-12-31,1.97502
2023-01-01,1.94476
2023-01-02,3.50058
2023-01-03,3.24992
2023-01-04,3.57405
2023-01-05,3.2456
2023-01-06,3.2456
2023-01-07,3.01655
2023-01-08,2.54116
2023-01-09,3.81606
2023-01-10,3.466
2023-01-11,7.7056
2023-01-12,5.61822
2023-01-13,4.54211
2023-01-14,4.39517
2023-01-15,3.69073
2023-01-16,4.13155
2023-01-17,4.4211
2023-01-18,4.26984
2023-01-19,4.0019
2023-01-20,3.72963
2023-01-21,3.12891
2023-01-22,3.43575
2023-01-23,3.69073
2023-01-24,3.46168
2023-01-25,4.76252
2023-01-26,4.70201
2023-01-27,4.63287
2023-01-28,3.73827
2023-01-29,3.20238
2023-01-30,4.79277
2023-01-31,9.85781
2023-02-01,6.6511
2023-02-02,4.69769
2023-02-03,4.53779
2023-02-04,3.73827
2023-02-05,4.15748
2023-02-06,4.81006
2023-02-07,4.94835
2023-02-08,4.41246
2023-02-09,4.36924
2023-02-10,4.04079
2023-02-11,2.848
2023-02-12,2.72699
2023-02-13,4.87488
2023-02-14,4.41246
2023-02-15,4.28713
2023-02-16,4.49025
2023-02-17,4.38221
2023-02-18,3.77285
2023-02-19,3.33203
2023-02-20,4.30874
2023-02-21,4.52914
2023-02-22,3.98893
2023-02-23,4.51618
2023-02-24,4.43839
2023-02-25,3.36661
2023-02-26,3.21102
2023-02-27,4.08401
2023-02-28,3.75556
2023-03-01,3.16781
2023-03-02,3.98893
2023-03-03,3.79878
2023-03-04,3.5438
2023-03-05,3.37525
2023-03-06,4.17909
2023-03-07,4.07104
2023-03-08,4.10562
2023-03-09,3.89818
2023-03-10,3.63023
2023-03-11,2.41151
2023-03-12,3.09866
2023-03-13,4.05808
2023-03-14,4.41246
2023-03-15,5.05207
2023-03-16,4.33899
2023-03-17,3.88953
2023-03-18,3.06409
2023-03-19,3.52219
2023-03-20,4.36492
2023-03-21,4.62422
2023-03-22,4.44271
2023-03-23,4.57668
2023-03-24,3.69506
2023-03-25,3.01655
2023-03-26,2.83504
2023-03-27,4.71066
2023-03-28,4.29145
2023-03-29,4.24391
2023-03-30,3.84632
2023-03-31,4.25688
2023-04-01,2.73564
2023-04-02,2.86097
2023-04-03,3.74259
2023-04-04,3.88521
2023-04-05,4.53347
2023-04-06,4.17909
2023-04-07,4.03647
2023-04-08,3.07705
2023-04-09,2.73131
2023-04-10,4.5205
2023-04-11,4.38221
2023-04-12,3.92843
2023-04-13,4.53779
2023-04-14,4.43407
2023-04-15,3.32339
2023-04-16,3.06409
2023-04-17,4.25688
2023-04-18,4.94403
2023-04-19,4.41246
2023-04-20,4.17909
2023-04-21,4.15316
2023-04-22,3.20238
2023-04-23,2.99062
2023-04-24,4.21798
2023-04-25,4.63287
2023-04-26,4.26984
2023-04-27,4.3217
2023-04-28,3.68641
2023-04-29,3.19374
2023-04-30,2.90418
2023-05-01,5.44967
2023-05-02,6.96227
2023-05-03,10.58386
2023-05-04,5.66143
2023-05-05,4.78845
2023-05-06,4.66744
2023-05-07,5.4151
2023-05-08,5.95963
2023-05-09,6.00285
2023-05-10,5.31137
2023-05-11,5.19037
2023-05-12,4.68473
2023-05-13,3.50922
2023-05-14,3.53947
2023-05-15,5.22494
2023-05-16,5.08665
2023-05-17,4.99157
2023-05-18,5.03046
2023-05-19,4.48593
2023-05-20,2.95604
2023-05-21,3.13755
2023-05-22,5.01318
2023-05-23,5.89913
2023-05-24,5.38484
