date,오늘미국증시
2021-11-07,3.02256
2021-11-08,36.35589
2021-11-09,22.34993
2021-11-10,20.05108
2021-11-11,20.43422
2021-11-12,16.47509
2021-11-13,6.42826
2021-11-14,3.44827
2021-11-15,9.87654
2021-11-16,14.43167
2021-11-17,13.28224
2021-11-18,13.15453
2021-11-19,13.15453
2021-11-20,6.93912
2021-11-21,3.19284
2021-11-22,7.7054
2021-11-23,14.04853
2021-11-24,14.30395
2021-11-25,91.99659
2021-11-26,54.57641
2021-11-27,16.09195
2021-11-28,4.76798
2021-11-29,13.32481
2021-11-30,18.22051
2021-12-01,18.3908
2021-12-02,17.70966
2021-12-03,16.38995
2021-12-04,13.83567
2021-12-05,3.83141
2021-12-06,10.34482
2021-12-07,15.70881
2021-12-08,16.04938
2021-12-09,14.77224
2021-12-10,15.96424
2021-12-11,9.32311
2021-12-12,2.46913
2021-12-13,6.21541
2021-12-14,13.92081
2021-12-15,16.00681
2021-12-16,14.85738
2021-12-17,17.7948
2021-12-18,9.40825
2021-12-19,2.93742
2021-12-20,9.11025
2021-12-21,15.70881
2021-12-22,12.21796
2021-12-23,13.1971
2021-12-24,48.99957
2021-12-25,13.75053
2021-12-26,2.89484
2021-12-27,8.5994
2021-12-28,10.89825
2021-12-29,11.53682
2021-12-30,11.62196
2021-12-31,12.98424
2022-01-01,2.89484
2022-01-02,2.00085
2022-01-03,7.57769
2022-01-04,9.15283
2022-01-05,11.57939
2022-01-06,15.66624
2022-01-07,14.9851
2022-01-08,8.72711
2022-01-09,2.42656
2022-01-10,8.04597
2022-01-11,14.47424
2022-01-12,13.02681
2022-01-13,13.83567
2022-01-14,14.34653
2022-01-15,8.25883
2022-01-16,2.17113
2022-01-17,32.82247
2022-01-18,24.7765
2022-01-19,15.87909
2022-01-20,14.47424
2022-01-21,16.34738
2022-01-22,11.83482
2022-01-23,3.36313
2022-01-24,9.91911
2022-01-25,20.22137
2022-01-26,22.17965
2022-01-27,23.11621
2022-01-28,18.56108
2022-01-29,10.98339
2022-01-30,4.55512
2022-01-31,7.49255
2022-02-01,11.57939
2022-02-02,14.77224
2022-02-03,15.41081
2022-02-04,15.75138
2022-02-05,10.72796
2022-02-06,5.02341
2022-02-07,9.23797
2022-02-08,15.07024
2022-02-09,14.13367
2022-02-10,15.41081
2022-02-11,14.43167
2022-02-12,10.47254
2022-02-13,3.32056
2022-02-14,9.91911
2022-02-15,15.83652
2022-02-16,15.24052
2022-02-17,18.05023
2022-02-18,18.64623
2022-02-19,10.21711
2022-02-20,3.66113
2022-02-21,43.33759
2022-02-22,35.63218
2022-02-23,16.04938
2022-02-24,19.24223
2022-02-25,21.11536
2022-02-26,14.55938
2022-02-27,3.87398
2022-02-28,9.11025
2022-03-01,13.62281
2022-03-02,14.94252
2022-03-03,15.87909
2022-03-04,16.38995
2022-03-05,8.68454
2022-03-06,2.93742
2022-03-07,8.51426
2022-03-08,14.77224
2022-03-09,12.6011
2022-03-10,16.34738
2022-03-11,14.47424
2022-03-12,9.1954
2022-03-13,3.49084
2022-03-14,8.64197
2022-03-15,16.81566
2022-03-16,18.00766
2022-03-17,21.62622
2022-03-18,18.30566
2022-03-19,10.64282
2022-03-20,3.83141
2022-03-21,8.42911
2022-03-22,16.73052
2022-03-23,16.64538
2022-03-24,18.43337
2022-03-25,18.43337
2022-03-26,9.7914
2022-03-27,2.97999
2022-03-28,8.47169
2022-03-29,14.72967
2022-03-30,16.17709
2022-03-31,17.53937
2022-04-01,15.11281
2022-04-02,8.81226
2022-04-03,2.59684
2022-04-04,7.91826
2022-04-05,14.60195
2022-04-06,16.98595
2022-04-07,17.7948
2022-04-08,16.9008
2022-04-09,10.04682
2022-04-10,2.59684
2022-04-11,9.15283
2022-04-12,15.92166
2022-04-13,19.02937
2022-04-14,17.53937
2022-04-15,73.60578
2022-04-16,19.19965
2022-04-17,2.63942
2022-04-18,11.19625
2022-04-19,16.47509
2022-04-20,15.19795
2022-04-21,14.13367
2022-04-22,14.3891
2022-04-23,9.4934
2022-04-24,2.5117
2022-04-25,9.74882
2022-04-26,18.9868
2022-04-27,19.41251
2022-04-28,19.2848
2022-04-29,16.30481
2022-04-30,12.38825
2022-05-01,3.53341
2022-05-02,10.64282
2022-05-03,16.21966
2022-05-04,13.92081
2022-05-05,16.85823
2022-05-06,19.92337
2022-05-07,10.21711
2022-05-08,3.06513
2022-05-09,13.06939
2022-05-10,20.00851
2022-05-11,23.24393
2022-05-12,23.54193
2022-05-13,21.20051
2022-05-14,10.34482
2022-05-15,4.12941
2022-05-16,11.87739
2022-05-17,18.13537
2022-05-18,19.71051
2022-05-19,21.62622
2022-05-20,20.68965
2022-05-21,10.08939
2022-05-22,3.66113
2022-05-23,10.55768
2022-05-24,19.36994
2022-05-25,17.1988
2022-05-26,15.62366
2022-05-27,14.85738
2022-05-28,9.11025
2022-05-29,2.34142
2022-05-30,97.27543
2022-05-31,32.86504
2022-06-01,14.89995
2022-06-02,16.04938
2022-06-03,15.11281
2022-06-04,8.21626
2022-06-05,2.89484
2022-06-06,9.06768
2022-06-07,15.66624
2022-06-08,16.56023
2022-06-09,18.6888
2022-06-10,16.13452
2022-06-11,10.60025
2022-06-12,2.42656
2022-06-13,13.1971
2022-06-14,22.05193
2022-06-15,21.32822
2022-06-16,21.49851
2022-06-17,18.85908
2022-06-18,10.21711
2022-06-19,3.23541
2022-06-20,46.36015
2022-06-21,25.96849
2022-06-22,17.87994
2022-06-23,17.66709
2022-06-24,15.49595
2022-06-25,10.00425
2022-06-26,3.66113
2022-06-27,12.09025
2022-06-28,19.49765
2022-06-29,20.56194
2022-06-30,20.68965
2022-07-01,17.96509
2022-07-02,10.60025
2022-07-03,3.53341
2022-07-04,39.50617
2022-07-05,20.39165
2022-07-06,17.96509
2022-07-07,17.28395
2022-07-08,16.04938
2022-07-09,9.66368
2022-07-10,3.15027
2022-07-11,9.62111
2022-07-12,15.75138
2022-07-13,19.32737
2022-07-14,16.47509
2022-07-15,15.19795
2022-07-16,9.83397
2022-07-17,2.68199
2022-07-18,11.57939
2022-07-19,17.15623
2022-07-20,17.92252
2022-07-21,21.07279
2022-07-22,17.32652
2022-07-23,9.70625
2022-07-24,3.19284
2022-07-25,8.81226
2022-07-26,16.43252
2022-07-27,16.47509
2022-07-28,17.32652
2022-07-29,16.09195
2022-07-30,9.4934
2022-07-31,2.68199
2022-08-01,7.19455
2022-08-02,16.73052
2022-08-03,18.00766
