date,저작권료
2022-04-19,11.14413
2022-04-20,12.33283
2022-04-21,10.69836
2022-04-22,10.40118
2022-04-23,8.46953
2022-04-24,7.87518
2022-04-25,11.58989
2022-04-26,9.80683
2022-04-27,8.76671
2022-04-28,9.06389
2022-04-29,9.06389
2022-04-30,14.26448
2022-05-01,9.36106
2022-05-02,10.54977
2022-05-03,7.42942
2022-05-04,13.22436
2022-05-05,14.11589
2022-05-06,11.4413
2022-05-07,18.12778
2022-05-08,22.43684
2022-05-09,14.41307
2022-05-10,15.00742
2022-05-11,13.37295
2022-05-12,16.19613
2022-05-13,17.53343
2022-05-14,14.71025
2022-05-15,13.37295
2022-05-16,12.48142
2022-05-17,11.14413
2022-05-18,19.31649
2022-05-19,21.6939
2022-05-20,15.75037
2022-05-21,18.12778
2022-05-22,15.45319
2022-05-23,14.71025
2022-05-24,16.04754
2022-05-25,15.75037
2022-05-26,12.92719
2022-05-27,12.33283
2022-05-28,10.99554
2022-05-29,11.58989
2022-05-30,10.99554
2022-05-31,11.4413
2022-06-01,8.61812
2022-06-02,10.99554
2022-06-03,8.17236
2022-06-04,10.10401
2022-06-05,11.4413
2022-06-06,8.76671
2022-06-07,9.36106
2022-06-08,9.80683
2022-06-09,11.4413
2022-06-10,12.03566
2022-06-11,32.39227
2022-06-12,29.56909
2022-06-13,20.35661
2022-06-14,16.79049
2022-06-15,15.00742
2022-06-16,17.08766
2022-06-17,12.18424
2022-06-18,15.75037
2022-06-19,13.81872
2022-06-20,11.58989
2022-06-21,15.60178
2022-06-22,11.4413
2022-06-23,13.07578
2022-06-24,12.63001
2022-06-25,16.19613
2022-06-26,16.6419
2022-06-27,16.79049
2022-06-28,11.58989
2022-06-29,13.07578
2022-06-30,10.40118
2022-07-01,9.80683
2022-07-02,10.99554
2022-07-03,9.50965
2022-07-04,10.84695
2022-07-05,9.65824
2022-07-06,20.65378
2022-07-07,12.33283
2022-07-08,10.99554
2022-07-09,11.58989
2022-07-10,10.10401
2022-07-11,11.14413
2022-07-12,11.88707
2022-07-13,31.9465
2022-07-14,49.62852
2022-07-15,37.44427
2022-07-16,43.09063
2022-07-17,45.17087
2022-07-18,31.35215
2022-07-19,26.74591
2022-07-20,17.38484
2022-07-21,18.27637
2022-07-22,13.96731
2022-07-23,14.41307
2022-07-24,13.96731
2022-07-25,14.56166
2022-07-26,13.52154
2022-07-27,14.26448
2022-07-28,11.14413
2022-07-29,11.29271
2022-07-30,13.52154
2022-07-31,13.96731
2022-08-01,16.19613
2022-08-02,13.37295
2022-08-03,12.03566
2022-08-04,11.4413
2022-08-05,12.7786
2022-08-06,11.4413
2022-08-07,13.67013
2022-08-08,11.73848
2022-08-09,15.00742
2022-08-10,14.26448
2022-08-11,12.7786
2022-08-12,12.48142
2022-08-13,12.48142
2022-08-14,12.63001
2022-08-15,11.58989
2022-08-16,10.2526
2022-08-17,13.81872
2022-08-18,9.36106
2022-08-19,11.4413
2022-08-20,15.3046
2022-08-21,12.92719
2022-08-22,12.18424
2022-08-23,13.81872
2022-08-24,15.3046
2022-08-25,13.96731
2022-08-26,13.96731
2022-08-27,11.14413
2022-08-28,11.4413
2022-08-29,13.22436
2022-08-30,12.03566
2022-08-31,9.80683
2022-09-01,11.73848
2022-09-02,11.73848
2022-09-03,15.3046
2022-09-04,10.84695
2022-09-05,11.14413
2022-09-06,13.37295
2022-09-07,16.93907
2022-09-08,12.63001
2022-09-09,11.29271
2022-09-10,15.75037
2022-09-11,10.10401
2022-09-12,13.96731
2022-09-13,12.7786
2022-09-14,14.56166
2022-09-15,13.07578
2022-09-16,10.40118
2022-09-17,11.58989
2022-09-18,11.4413
2022-09-19,16.34472
2022-09-20,11.58989
2022-09-21,11.88707
2022-09-22,12.33283
2022-09-23,13.07578
2022-09-24,10.54977
2022-09-25,10.69836
2022-09-26,13.22436
2022-09-27,12.18424
2022-09-28,14.26448
2022-09-29,13.37295
2022-09-30,14.71025
2022-10-01,10.99554
2022-10-02,12.03566
2022-10-03,16.79049
2022-10-04,14.85884
2022-10-05,10.69836
2022-10-06,10.69836
2022-10-07,9.06389
2022-10-08,12.7786
2022-10-09,13.52154
2022-10-10,11.29271
2022-10-11,10.69836
2022-10-12,13.07578
2022-10-13,11.58989
2022-10-14,17.23625
2022-10-15,13.96731
2022-10-16,12.18424
2022-10-17,14.11589
2022-10-18,10.2526
2022-10-19,13.52154
2022-10-20,17.08766
2022-10-21,15.00742
2022-10-22,11.88707
2022-10-23,9.36106
2022-10-24,12.7786
2022-10-25,17.38484
2022-10-26,15.00742
2022-10-27,13.67013
2022-10-28,16.19613
2022-10-29,19.01931
2022-10-30,14.56166
2022-10-31,16.34472
2022-11-01,17.53343
2022-11-02,16.79049
2022-11-03,14.71025
2022-11-04,15.00742
2022-11-05,16.19613
2022-11-06,13.52154
2022-11-07,9.36106
2022-11-08,11.58989
2022-11-09,10.69836
2022-11-10,10.69836
2022-11-11,13.52154
2022-11-12,12.7786
