date,떼인돈받아드립니다
2022-09-06,44.54828
2022-09-07,44.23676
2022-09-08,32.71028
2022-09-09,24.29906
2022-09-10,15.26479
2022-09-11,23.98753
2022-09-12,28.66043
2022-09-13,43.6137
2022-09-14,48.59813
2022-09-15,49.53271
2022-09-16,38.9408
2022-09-17,29.28348
2022-09-18,28.3489
2022-09-19,48.90965
2022-09-20,43.30218
2022-09-21,43.92523
2022-09-22,52.33644
2022-09-23,36.44859
2022-09-24,25.85669
2022-09-25,23.36448
2022-09-26,40.80996
2022-09-27,45.79439
2022-09-28,38.31775
2022-09-29,52.33644
2022-09-30,45.79439
2022-10-01,24.61059
2022-10-02,17.757
2022-10-03,23.05295
2022-10-04,32.39875
2022-10-05,38.9408
2022-10-06,41.12149
2022-10-07,29.28348
2022-10-08,18.69158
2022-10-09,19.00311
2022-10-10,19.93769
2022-10-11,23.67601
2022-10-12,34.89096
2022-10-13,38.62928
2022-10-14,35.51401
2022-10-15,15.88785
2022-10-16,11.52647
2022-10-17,29.28348
2022-10-18,24.92211
2022-10-19,35.82554
2022-10-20,35.20249
2022-10-21,34.57943
2022-10-22,21.1838
2022-10-23,17.13395
2022-10-24,36.44859
2022-10-25,40.80996
2022-10-26,35.51401
2022-10-27,32.71028
2022-10-28,14.01869
2022-10-29,5.919
2022-10-30,11.52647
2022-10-31,17.757
2022-11-01,33.64485
2022-11-02,31.46417
2022-11-03,36.44859
2022-11-04,28.03738
2022-11-05,11.838
2022-11-06,12.14953
2022-11-07,28.66043
2022-11-08,29.59501
2022-11-09,33.95638
2022-11-10,33.0218
2022-11-11,24.92211
2022-11-12,15.57632
2022-11-13,13.70716
2022-11-14,25.54517
2022-11-15,26.47975
2022-11-16,23.05295
2022-11-17,22.74143
2022-11-18,21.1838
2022-11-19,16.82242
2022-11-20,12.77258
2022-11-21,35.82554
2022-11-22,33.33333
2022-11-23,32.39875
2022-11-24,28.97196
2022-11-25,34.57943
2022-11-26,19.62616
2022-11-27,19.93769
2022-11-28,28.97196
2022-11-29,32.08722
2022-11-30,29.90654
2022-12-01,38.62928
2022-12-02,28.66043
2022-12-03,13.39563
2022-12-04,13.08411
2022-12-05,19.00311
2022-12-06,32.08722
2022-12-07,19.00311
2022-12-08,24.61059
2022-12-09,27.1028
2022-12-10,14.01869
2022-12-11,18.69158
2022-12-12,23.36448
2022-12-13,33.33333
2022-12-14,30.21806
2022-12-15,25.54517
2022-12-16,23.67601
2022-12-17,16.19937
2022-12-18,10.5919
2022-12-19,30.52959
2022-12-20,23.05295
2022-12-21,24.29906
2022-12-22,20.56074
2022-12-23,20.87227
2022-12-24,12.46105
2022-12-25,11.21495
2022-12-26,25.23364
2022-12-27,33.33333
2022-12-28,22.4299
2022-12-29,23.67601
2022-12-30,20.24922
2022-12-31,12.46105
2023-01-01,10.90342
2023-01-02,30.84112
2023-01-03,28.97196
2023-01-04,23.98753
2023-01-05,21.49532
2023-01-06,27.41433
2023-01-07,12.77258
2023-01-08,14.01869
2023-01-09,25.85669
2023-01-10,30.52959
2023-01-11,25.23364
2023-01-12,28.3489
