date,퇴직연금IRP
2023-01-30,76.69491
2023-01-31,78.64406
2023-02-01,75.0
2023-02-02,62.37288
2023-02-03,61.10169
2023-02-04,25.25423
2023-02-05,23.98305
2023-02-06,56.27118
2023-02-07,55.9322
2023-02-08,57.45762
2023-02-09,55.76271
2023-02-10,57.79661
2023-02-11,26.27118
2023-02-12,25.84745
2023-02-13,65.33898
2023-02-14,63.05084
2023-02-15,58.98305
2023-02-16,61.01694
2023-02-17,56.61016
2023-02-18,29.49152
2023-02-19,26.44067
2023-02-20,67.88135
2023-02-21,61.8644
2023-02-22,61.94915
2023-02-23,58.64406
2023-02-24,55.67796
2023-02-25,24.49152
2023-02-26,22.79661
2023-02-27,65.25423
2023-02-28,62.37288
2023-03-01,32.79661
2023-03-02,64.40677
2023-03-03,58.8983
2023-03-04,25.59322
2023-03-05,21.61016
2023-03-06,51.94915
2023-03-07,50.25423
2023-03-08,52.9661
2023-03-09,45.25423
2023-03-10,50.16949
2023-03-11,21.77966
2023-03-12,17.9661
2023-03-13,51.27118
2023-03-14,57.37288
2023-03-15,52.20338
2023-03-16,47.9661
2023-03-17,41.52542
2023-03-18,15.59322
2023-03-19,18.13559
2023-03-20,41.94915
2023-03-21,43.30508
2023-03-22,44.15254
2023-03-23,40.42372
2023-03-24,43.05084
2023-03-25,16.94915
2023-03-26,13.8983
2023-03-27,37.37288
2023-03-28,41.35593
2023-03-29,36.18644
2023-03-30,33.8983
2023-03-31,34.8305
2023-04-01,15.33898
2023-04-02,18.05084
2023-04-03,39.66101
2023-04-04,41.18644
2023-04-05,43.05084
2023-04-06,34.91525
2023-04-07,33.38983
2023-04-08,12.54237
2023-04-09,12.88135
2023-04-10,35.84745
2023-04-11,36.52542
2023-04-12,36.8644
2023-04-13,33.64406
2023-04-14,32.62711
2023-04-15,13.30508
2023-04-16,11.10169
2023-04-17,32.45762
2023-04-18,33.55932
2023-04-19,32.79661
2023-04-20,30.33898
2023-04-21,28.47457
2023-04-22,12.28813
2023-04-23,10.76271
2023-04-24,30.76271
2023-04-25,33.8983
2023-04-26,32.03389
2023-04-27,29.15254
2023-04-28,27.11864
2023-04-29,13.13559
2023-04-30,12.62711
2023-05-01,15.59322
2023-05-02,36.10169
2023-05-03,34.06779
2023-05-04,29.57627
2023-05-05,15.33898
2023-05-06,14.66101
2023-05-07,12.28813
2023-05-08,32.20338
2023-05-09,34.06779
2023-05-10,38.13559
2023-05-11,34.8305
2023-05-12,33.47457
2023-05-13,15.0
2023-05-14,14.06779
2023-05-15,33.22033
2023-05-16,37.03389
2023-05-17,32.20338
2023-05-18,34.23728
2023-05-19,30.42372
2023-05-20,13.98305
2023-05-21,12.28813
2023-05-22,31.69491
2023-05-23,38.47457
2023-05-24,35.16949
2023-05-25,35.0
2023-05-26,31.61016
