date,미국국채ETF
2022-08-28,4.22993
2022-08-29,6.29067
2022-08-30,5.85683
2022-08-31,2.92841
2022-09-01,4.33839
2022-09-02,4.22993
2022-09-03,2.16919
2022-09-04,2.49457
2022-09-05,3.47071
2022-09-06,3.68763
2022-09-07,5.85683
2022-09-08,4.44685
2022-09-09,5.09761
2022-09-10,3.57917
2022-09-11,6.29067
2022-09-12,4.88069
2022-09-13,4.98915
2022-09-14,10.5206
2022-09-15,12.6898
2022-09-16,9.9783
2022-09-17,9.00216
2022-09-18,4.98915
2022-09-19,9.54446
2022-09-20,14.20824
2022-09-21,15.72668
2022-09-22,23.86117
2022-09-23,16.91973
2022-09-24,13.66594
2022-09-25,17.67895
2022-09-26,18.43817
2022-09-27,17.24511
2022-09-28,47.50542
2022-09-29,12.6898
2022-09-30,15.18438
2022-10-01,6.18221
2022-10-02,13.7744
2022-10-03,15.07592
2022-10-04,15.07592
2022-10-05,13.44902
2022-10-06,13.55748
2022-10-07,10.73752
2022-10-08,18.22125
2022-10-09,14.75054
2022-10-10,12.03904
2022-10-11,20.28199
2022-10-12,16.05206
2022-10-13,14.75054
2022-10-14,11.17136
2022-10-15,9.00216
2022-10-16,9.32754
2022-10-17,14.3167
2022-10-18,10.84598
2022-10-19,14.42516
2022-10-20,13.2321
2022-10-21,17.57049
2022-10-22,7.48373
2022-10-23,8.02603
2022-10-24,9.32754
2022-10-25,8.78524
2022-10-26,7.15835
2022-10-27,11.93058
2022-10-28,8.8937
2022-10-29,12.36442
2022-10-30,6.50759
2022-10-31,11.6052
2022-11-01,9.86984
2022-11-02,13.7744
2022-11-03,15.83514
2022-11-04,10.95444
2022-11-05,9.54446
2022-11-06,13.2321
2022-11-07,11.49674
2022-11-08,12.79826
2022-11-09,11.27982
2022-11-10,8.67678
2022-11-11,9.32754
2022-11-12,7.70065
2022-11-13,7.04989
2022-11-14,8.3514
2022-11-15,10.08676
2022-11-16,21.36659
2022-11-17,14.3167
2022-11-18,10.08676
2022-11-19,5.96529
2022-11-20,6.83297
2022-11-21,8.13449
2022-11-22,8.78524
2022-11-23,5.96529
2022-11-24,7.70065
2022-11-25,6.07375
2022-11-26,5.20607
2022-11-27,4.33839
2022-11-28,11.71366
2022-11-29,7.15835
2022-11-30,5.20607
2022-12-01,6.72451
2022-12-02,6.50759
2022-12-03,3.47071
2022-12-04,3.79609
2022-12-05,5.42299
2022-12-06,4.98915
2022-12-07,9.65292
2022-12-08,8.13449
2022-12-09,5.74837
2022-12-10,2.27765
2022-12-11,3.79609
2022-12-12,6.94143
2022-12-13,7.04989
2022-12-14,7.80911
2022-12-15,8.3514
2022-12-16,7.04989
2022-12-17,3.79609
2022-12-18,4.77223
2022-12-19,4.22993
2022-12-20,7.59219
2022-12-21,5.53145
2022-12-22,6.50759
2022-12-23,7.59219
2022-12-24,3.90455
2022-12-25,4.44685
2022-12-26,6.18221
2022-12-27,5.74837
2022-12-28,6.39913
2022-12-29,5.63991
2022-12-30,4.66377
2022-12-31,3.68763
2023-01-01,4.33839
2023-01-02,7.70065
2023-01-03,8.78524
2023-01-04,6.61605
2023-01-05,3.25379
2023-01-06,5.63991
2023-01-07,12.03904
2023-01-08,13.7744
2023-01-09,12.36442
2023-01-10,8.13449
2023-01-11,13.7744
2023-01-12,16.59436
2023-01-13,14.20824
2023-01-14,11.27982
2023-01-15,9.9783
2023-01-16,11.27982
2023-01-17,7.37527
2023-01-18,6.94143
2023-01-19,8.56832
2023-01-20,7.70065
2023-01-21,5.09761
2023-01-22,4.66377
2023-01-23,6.72451
2023-01-24,13.44902
2023-01-25,14.20824
2023-01-26,7.26681
2023-01-27,8.24295
2023-01-28,6.61605
2023-01-29,7.48373
2023-01-30,10.30368
2023-01-31,8.02603
2023-02-01,7.70065
2023-02-02,10.62906
2023-02-03,14.20824
2023-02-04,12.79826
2023-02-05,7.91757
2023-02-06,13.01518
2023-02-07,14.42516
2023-02-08,14.53362
2023-02-09,9.00216
2023-02-10,8.45986
2023-02-11,8.8937
2023-02-12,5.85683
2023-02-13,10.08676
2023-02-14,8.8937
2023-02-15,14.64208
2023-02-16,17.89587
2023-02-17,17.46203
2023-02-18,8.8937
2023-02-19,10.62906
2023-02-20,8.45986
2023-02-21,14.42516
2023-02-22,24.83731
2023-02-23,16.37744
2023-02-24,11.49674
2023-02-25,11.27982
2023-02-26,9.76138
2023-02-27,11.0629
2023-02-28,21.14967
2023-03-01,14.53362
2023-03-02,33.40563
2023-03-03,22.01735
2023-03-04,10.5206
2023-03-05,9.436
2023-03-06,9.32754
2023-03-07,15.72668
2023-03-08,19.95661
2023-03-09,14.859
2023-03-10,10.73752
2023-03-11,9.11062
