date,조각투자
2023-07-11,2.48007
2023-07-12,5.58015
2023-07-13,5.84588
2023-07-14,4.69441
2023-07-15,0.88573
2023-07-16,1.72719
2023-07-17,4.03011
2023-07-18,4.65013
2023-07-19,5.04871
2023-07-20,4.03011
2023-07-21,4.34012
2023-07-22,1.77147
2023-07-23,1.99291
2023-07-24,10.49601
2023-07-25,8.23737
2023-07-26,4.60584
2023-07-27,3.7201
2023-07-28,4.91585
2023-07-29,1.6829
2023-07-30,1.15146
2023-07-31,6.99734
2023-08-01,9.8317
2023-08-02,5.62444
2023-08-03,5.40301
2023-08-04,3.85296
2023-08-05,1.37289
2023-08-06,2.3472
2023-08-07,5.22586
2023-08-08,4.29583
2023-08-09,3.63153
2023-08-10,5.89016
2023-08-11,8.01594
2023-08-12,2.79007
2023-08-13,2.3472
2023-08-14,4.03011
2023-08-15,2.39149
2023-08-16,3.85296
2023-08-17,4.47298
2023-08-18,3.89725
2023-08-19,2.08148
2023-08-20,3.10008
2023-08-21,4.69441
2023-08-22,5.80159
2023-08-23,4.34012
2023-08-24,4.03011
2023-08-25,2.96722
2023-08-26,1.24003
2023-08-27,2.83436
2023-08-28,11.07174
2023-08-29,5.18157
2023-08-30,4.42869
2023-08-31,4.29583
2023-09-01,3.67581
2023-09-02,1.19574
2023-09-03,1.77147
2023-09-04,4.56155
2023-09-05,4.60584
2023-09-06,5.04871
2023-09-07,4.29583
2023-09-08,2.96722
2023-09-09,1.81576
2023-09-10,1.6829
2023-09-11,3.10008
2023-09-12,3.49867
2023-09-13,3.10008
2023-09-14,2.92294
2023-09-15,2.96722
2023-09-16,1.77147
2023-09-17,1.59433
2023-09-18,4.25155
2023-09-19,3.45438
2023-09-20,3.98582
2023-09-21,3.89725
2023-09-22,2.48007
2023-09-23,2.08148
2023-09-24,1.6829
2023-09-25,3.45438
2023-09-26,3.89725
2023-09-27,2.08148
2023-09-28,1.28432
2023-09-29,1.3286
2023-09-30,1.41718
2023-10-01,0.93002
2023-10-02,1.19574
2023-10-03,1.24003
2023-10-04,3.54295
2023-10-05,3.14437
2023-10-06,2.96722
2023-10-07,2.3472
2023-10-08,1.28432
2023-10-09,1.6829
2023-10-10,3.54295
2023-10-11,3.32152
2023-10-12,2.43578
2023-10-13,2.74579
2023-10-14,1.77147
2023-10-15,3.14437
2023-10-16,11.86891
2023-10-17,7.66164
2023-10-18,5.093
2023-10-19,3.23294
2023-10-20,4.29583
2023-10-21,2.30292
2023-10-22,1.77147
2023-10-23,3.49867
2023-10-24,4.29583
2023-10-25,4.96014
2023-10-26,3.98582
2023-10-27,5.00442
2023-10-28,2.12577
2023-10-29,2.39149
2023-10-30,4.42869
2023-10-31,4.7387
2023-11-01,4.78299
2023-11-02,4.29583
2023-11-03,5.00442
2023-11-04,2.74579
2023-11-05,6.64304
2023-11-06,7.21877
2023-11-07,4.60584
2023-11-08,5.44729
2023-11-09,4.82728
2023-11-10,3.76439
2023-11-11,2.39149
2023-11-12,2.25863
2023-11-13,5.44729
2023-11-14,4.03011
2023-11-15,4.25155
2023-11-16,3.27723
2023-11-17,2.52435
2023-11-18,2.21434
2023-11-19,1.10717
2023-11-20,3.18866
2023-11-21,3.7201
2023-11-22,4.11868
2023-11-23,3.94154
2023-11-24,2.74579
2023-11-25,2.12577
2023-11-26,1.77147
2023-11-27,3.23294
2023-11-28,3.41009
2023-11-29,5.89016
2023-11-30,3.7201
2023-12-01,4.65013
2023-12-02,1.46147
2023-12-03,1.0186
2023-12-04,4.42869
2023-12-05,7.92736
2023-12-06,5.40301
2023-12-07,5.40301
2023-12-08,3.54295
2023-12-09,2.08148
2023-12-10,2.39149
2023-12-11,4.34012
2023-12-12,4.65013
2023-12-13,9.56598
2023-12-14,20.10628
2023-12-15,12.5775
2023-12-16,8.37023
2023-12-17,6.59875
2023-12-18,22.45349
2023-12-19,15.01328
2023-12-20,8.94596
2023-12-21,5.80159
2023-12-22,13.15323
2023-12-23,4.56155
2023-12-24,3.7201
2023-12-25,3.49867
2023-12-26,14.2604
2023-12-27,13.68467
2023-12-28,9.96457
2023-12-29,4.42869
2023-12-30,2.43578
2023-12-31,3.36581
2024-01-01,3.41009
2024-01-02,5.80159
2024-01-03,6.02302
2024-01-04,4.7387
2024-01-05,4.87156
2024-01-06,2.43578
2024-01-07,2.92294
2024-01-08,4.38441
2024-01-09,5.71302
2024-01-10,5.35872
2024-01-11,4.56155
2024-01-12,4.78299
2024-01-13,2.74579
2024-01-14,4.0744
2024-01-15,4.91585
2024-01-16,6.55447
2024-01-17,4.38441
2024-01-18,4.7387
2024-01-19,5.31443
2024-01-20,1.86005
2024-01-21,2.3472
2024-01-22,4.47298
2024-01-23,4.56155
2024-01-24,3.85296
2024-01-25,3.63153
2024-01-26,3.54295
2024-01-27,2.21434
2024-01-28,2.12577
2024-01-29,4.42869
2024-01-30,2.30292
2024-01-31,3.01151
2024-02-01,6.20017
2024-02-02,3.7201
2024-02-03,1.81576
2024-02-04,1.55004
2024-02-05,3.54295
2024-02-06,3.41009
2024-02-07,2.92294
2024-02-08,2.30292
2024-02-09,1.24003
2024-02-10,0.93002
2024-02-11,0.97431
2024-02-12,2.0372
2024-02-13,2.87865
2024-02-14,2.65721
2024-02-15,3.41009
2024-02-16,2.21434
2024-02-17,1.0186
2024-02-18,1.0186
2024-02-19,2.48007
2024-02-20,4.03011
2024-02-21,3.14437
2024-02-22,3.10008
2024-02-23,3.0558
2024-02-24,1.50575
2024-02-25,0.93002
2024-02-26,3.32152
2024-02-27,4.7387
2024-02-28,3.7201
2024-02-29,2.30292
2024-03-01,1.37289
2024-03-02,1.06288
2024-03-03,1.19574
2024-03-04,3.10008
2024-03-05,3.49867
2024-03-06,3.27723
2024-03-07,2.83436
2024-03-08,2.3472
2024-03-09,0.97431
2024-03-10,0.93002
2024-03-11,2.92294
2024-03-12,4.25155
2024-03-13,3.36581
2024-03-14,3.85296
2024-03-15,2.39149
2024-03-16,1.6829
2024-03-17,1.46147
2024-03-18,3.58724
2024-03-19,3.49867
2024-03-20,3.63153
