date,코스닥
2023-01-08,1.18468
2023-01-09,9.38781
2023-01-10,10.54416
2023-01-11,9.78225
2023-01-12,9.75762
2023-01-13,9.14716
2023-01-14,1.55309
2023-01-15,1.0755
2023-01-16,8.43496
2023-01-17,9.39385
2023-01-18,8.92927
2023-01-19,8.80012
2023-01-20,7.53738
2023-01-21,1.24182
2023-01-22,0.7345
2023-01-23,0.92359
2023-01-24,1.48898
2023-01-25,8.80523
2023-01-26,8.97015
2023-01-27,8.33275
2023-01-28,1.59073
2023-01-29,1.11685
2023-01-30,9.3395
2023-01-31,9.0705
2023-02-01,8.77875
2023-02-02,9.4589
2023-02-03,9.87191
2023-02-04,1.5294
2023-02-05,1.05227
2023-02-06,9.4208
2023-02-07,9.57922
2023-02-08,8.56829
2023-02-09,9.59548
2023-02-10,10.27284
2023-02-11,1.44949
2023-02-12,1.10849
2023-02-13,9.64241
2023-02-14,8.35691
2023-02-15,11.95417
2023-02-16,10.18318
2023-02-17,10.09723
2023-02-18,1.57958
2023-02-19,1.05831
2023-02-20,10.65612
2023-02-21,9.70234
2023-02-22,12.12421
2023-02-23,9.69908
2023-02-24,9.7042
2023-02-25,1.73568
2023-02-26,1.10384
2023-02-27,10.92233
2023-02-28,9.06307
2023-03-01,2.07436
2023-03-02,9.75809
2023-03-03,10.61942
2023-03-04,2.09015
2023-03-05,1.43881
2023-03-06,10.33928
2023-03-07,10.08469
2023-03-08,11.39017
2023-03-09,11.46171
2023-03-10,13.8492
2023-03-11,2.25601
2023-03-12,1.65391
2023-03-13,16.44529
2023-03-14,26.3395
2023-03-15,14.46152
2023-03-16,14.13538
2023-03-17,11.41804
2023-03-18,1.89874
2023-03-19,1.41883
2023-03-20,11.68053
2023-03-21,10.16599
2023-03-22,9.29397
2023-03-23,16.98931
2023-03-24,11.63314
2023-03-25,1.96518
2023-03-26,1.48155
2023-03-27,11.81154
2023-03-28,10.31466
2023-03-29,11.3307
2023-03-30,11.13511
2023-03-31,11.18528
2023-04-01,1.8783
2023-04-02,1.43788
2023-04-03,10.73046
2023-04-04,10.55159
2023-04-05,11.6048
2023-04-06,13.05988
2023-04-07,10.49724
2023-04-08,1.84996
2023-04-09,1.65019
2023-04-10,13.7521
2023-04-11,13.66755
2023-04-12,15.00694
2023-04-13,14.21343
2023-04-14,12.20086
2023-04-15,2.01442
2023-04-16,1.70408
2023-04-17,12.14418
2023-04-18,12.41829
2023-04-19,11.05334
2023-04-20,20.66741
2023-04-21,19.14776
2023-04-22,2.37262
2023-04-23,1.78028
2023-04-24,19.76148
2023-04-25,28.62525
2023-04-26,19.94638
2023-04-27,17.05343
2023-04-28,16.01648
2023-04-29,2.0567
2023-04-30,1.42905
2023-05-01,3.25161
2023-05-02,11.52397
2023-05-03,12.38112
2023-05-04,12.07124
2023-05-05,1.82627
2023-05-06,1.43463
2023-05-07,1.09641
2023-05-08,11.67031
2023-05-09,13.47521
2023-05-10,11.67403
2023-05-11,12.28123
2023-05-12,11.62246
2023-05-13,1.66785
2023-05-14,1.25576
2023-05-15,14.94887
2023-05-16,11.71351
2023-05-17,11.19086
2023-05-18,10.69794
2023-05-19,9.81151
2023-05-20,1.40536
2023-05-21,1.13636
2023-05-22,10.00013
2023-05-23,9.42498
2023-05-24,9.89096
2023-05-25,10.51164
2023-05-26,9.72092
2023-05-27,1.43695
