date,재택
2022-08-11,9.7826
2022-08-12,8.60869
2022-08-13,3.17391
2022-08-14,2.47826
2022-08-15,5.26086
2022-08-16,14.65217
2022-08-17,11.3913
2022-08-18,8.69565
2022-08-19,7.82608
2022-08-20,2.69565
2022-08-21,2.95652
2022-08-22,9.30434
2022-08-23,9.21739
2022-08-24,9.34782
2022-08-25,10.3913
2022-08-26,8.91304
2022-08-27,2.73913
2022-08-28,2.95652
2022-08-29,7.60869
2022-08-30,8.95652
2022-08-31,8.86956
2022-09-01,8.69565
2022-09-02,9.0
2022-09-03,2.82608
2022-09-04,11.34782
2022-09-05,68.04347
2022-09-06,24.34782
2022-09-07,8.26086
2022-09-08,4.3913
2022-09-09,2.08695
2022-09-10,1.91304
2022-09-11,2.21739
2022-09-12,3.34782
2022-09-13,8.0
2022-09-14,8.91304
2022-09-15,7.56521
2022-09-16,7.34782
2022-09-17,2.26086
2022-09-18,3.26086
2022-09-19,9.13043
2022-09-20,7.08695
2022-09-21,7.43478
2022-09-22,7.34782
2022-09-23,5.47826
2022-09-24,2.04347
2022-09-25,2.73913
2022-09-26,7.04347
2022-09-27,7.04347
2022-09-28,6.34782
2022-09-29,5.82608
2022-09-30,6.65217
2022-10-01,2.13043
2022-10-02,2.21739
2022-10-03,3.91304
2022-10-04,7.56521
2022-10-05,7.0
2022-10-06,6.13043
2022-10-07,6.04347
2022-10-08,2.08695
2022-10-09,1.60869
2022-10-10,2.52173
2022-10-11,7.30434
2022-10-12,6.86956
2022-10-13,6.91304
2022-10-14,7.17391
2022-10-15,2.56521
2022-10-16,2.21739
2022-10-17,7.52173
2022-10-18,6.60869
2022-10-19,6.86956
2022-10-20,5.69565
2022-10-21,5.21739
2022-10-22,1.91304
2022-10-23,2.73913
2022-10-24,7.82608
2022-10-25,6.82608
2022-10-26,5.86956
2022-10-27,7.43478
2022-10-28,6.56521
2022-10-29,2.17391
2022-10-30,2.56521
2022-10-31,6.91304
2022-11-01,7.43478
2022-11-02,6.43478
2022-11-03,7.95652
2022-11-04,7.47826
2022-11-05,2.60869
2022-11-06,3.0
2022-11-07,8.43478
2022-11-08,7.30434
2022-11-09,8.21739
2022-11-10,7.7826
2022-11-11,6.43478
2022-11-12,2.21739
2022-11-13,3.43478
2022-11-14,11.30434
2022-11-15,10.60869
2022-11-16,8.08695
2022-11-17,8.21739
2022-11-18,7.30434
2022-11-19,2.13043
2022-11-20,2.91304
2022-11-21,7.43478
2022-11-22,7.60869
2022-11-23,7.91304
2022-11-24,8.13043
2022-11-25,6.86956
2022-11-26,2.3913
2022-11-27,2.91304
2022-11-28,8.0
2022-11-29,7.65217
2022-11-30,7.7826
2022-12-01,8.65217
2022-12-02,6.69565
2022-12-03,2.3913
2022-12-04,2.65217
2022-12-05,9.30434
2022-12-06,7.60869
2022-12-07,6.86956
2022-12-08,8.43478
2022-12-09,7.13043
2022-12-10,2.21739
2022-12-11,2.91304
2022-12-12,10.04347
2022-12-13,9.69565
2022-12-14,10.43478
2022-12-15,10.0
2022-12-16,7.30434
2022-12-17,2.7826
2022-12-18,3.52173
