date,카카오뱅크주가
2022-07-13,2.34257
2022-07-14,2.20994
2022-07-15,2.18301
2022-07-16,0.28004
2022-07-17,0.21494
2022-07-18,2.37876
2022-07-19,2.00249
2022-07-20,2.22892
2022-07-21,2.23245
2022-07-22,2.09562
2022-07-23,0.22995
2022-07-24,0.21494
2022-07-25,2.09562
2022-07-26,1.93386
2022-07-27,1.94666
2022-07-28,2.01485
2022-07-29,2.21038
2022-07-30,0.25202
2022-07-31,0.2092
2022-08-01,1.97469
2022-08-02,1.73613
2022-08-03,2.60585
2022-08-04,3.43298
2022-08-05,2.64976
2022-08-06,0.27872
2022-08-07,0.19442
2022-08-08,2.23046
2022-08-09,2.56193
2022-08-10,2.27217
2022-08-11,2.62968
2022-08-12,2.32822
2022-08-13,0.22907
2022-08-14,0.3831
2022-08-15,0.36633
2022-08-16,2.27813
2022-08-17,2.06075
2022-08-18,2.07995
2022-08-19,8.00756
2022-08-20,1.65844
2022-08-21,1.28218
2022-08-22,4.5887
2022-08-23,3.2423
2022-08-24,2.74554
2022-08-25,2.75856
2022-08-26,2.49286
2022-08-27,0.30719
2022-08-28,0.22995
2022-08-29,2.97638
2022-08-30,2.59724
2022-08-31,2.32624
2022-09-01,3.08231
2022-09-02,2.5008
2022-09-03,0.34956
2022-09-04,0.27519
2022-09-05,2.33176
2022-09-06,2.13248
2022-09-07,2.2245
2022-09-08,1.99345
2022-09-09,0.26371
2022-09-10,0.17367
2022-09-11,0.23436
2022-09-12,0.34978
2022-09-13,3.47866
2022-09-14,2.44806
2022-09-15,2.05987
2022-09-16,1.96277
2022-09-17,0.33146
2022-09-18,0.23194
2022-09-19,1.96696
2022-09-20,1.82241
2022-09-21,1.73745
2022-09-22,2.01794
2022-09-23,1.84581
2022-09-24,0.27276
2022-09-25,0.30807
2022-09-26,3.61901
2022-09-27,2.58025
2022-09-28,2.32646
2022-09-29,3.53096
2022-09-30,2.86626
2022-10-01,0.58525
2022-10-02,0.48837
2022-10-03,0.55127
2022-10-04,2.49219
2022-10-05,2.47785
2022-10-06,2.2415
2022-10-07,5.86162
2022-10-08,1.58032
2022-10-09,1.05487
2022-10-10,1.36493
2022-10-11,5.79674
2022-10-12,5.22229
2022-10-13,6.21405
2022-10-14,4.37398
2022-10-15,2.83271
2022-10-16,3.37052
2022-10-17,15.71698
2022-10-18,6.60488
2022-10-19,4.9109
2022-10-20,3.77106
2022-10-21,2.9329
2022-10-22,0.61858
2022-10-23,0.61438
2022-10-24,2.94041
2022-10-25,2.78173
2022-10-26,2.76474
2022-10-27,2.68971
2022-10-28,2.44806
2022-10-29,0.47072
2022-10-30,0.29461
2022-10-31,3.2935
2022-11-01,3.10173
2022-11-02,8.96887
2022-11-03,5.18279
2022-11-04,5.70471
2022-11-05,0.62189
2022-11-06,0.44401
2022-11-07,3.6338
2022-11-08,4.91907
2022-11-09,6.64615
2022-11-10,4.52382
2022-11-11,12.32438
2022-11-12,1.84404
2022-11-13,1.09923
2022-11-14,8.93135
2022-11-15,6.70419
2022-11-16,5.79034
2022-11-17,4.46578
2022-11-18,4.11997
2022-11-19,0.44114
2022-11-20,0.3617
2022-11-21,3.71898
2022-11-22,4.3102
2022-11-23,4.19434
2022-11-24,3.62387
2022-11-25,3.45262
2022-11-26,0.38973
2022-11-27,0.30697
2022-11-28,3.20898
2022-11-29,2.9841
2022-11-30,2.98587
2022-12-01,4.49911
2022-12-02,3.12975
2022-12-03,0.28512
2022-12-04,0.28975
2022-12-05,4.07671
2022-12-06,3.48506
2022-12-07,2.91459
2022-12-08,2.93025
2022-12-09,3.13726
2022-12-10,0.35905
2022-12-11,0.31381
2022-12-12,2.99558
2022-12-13,3.55523
2022-12-14,3.24716
2022-12-15,4.05994
2022-12-16,3.27055
2022-12-17,0.31911
2022-12-18,0.24893
2022-12-19,2.73451
2022-12-20,2.53015
2022-12-21,2.5264
2022-12-22,2.54759
2022-12-23,2.41804
2022-12-24,0.286
2022-12-25,0.222
2022-12-26,2.29093
2022-12-27,2.30439
2022-12-28,2.2618
2022-12-29,2.281
2022-12-30,0.80638
2022-12-31,0.19685
2023-01-01,0.16617
2023-01-02,2.01529
2023-01-03,2.2373
2023-01-04,2.59128
2023-01-05,3.94894
2023-01-06,2.983
2023-01-07,0.335
2023-01-08,0.26129
2023-01-09,3.61923
2023-01-10,2.9329
2023-01-11,2.83117
2023-01-12,2.50875
2023-01-13,2.86912
2023-01-14,0.3105
2023-01-15,0.29351
2023-01-16,3.98778
2023-01-17,2.88656
2023-01-18,2.37655
2023-01-19,2.24547
2023-01-20,2.16889
2023-01-21,0.24297
2023-01-22,0.17566
2023-01-23,0.19332
2023-01-24,0.23878
2023-01-25,2.65506
2023-01-26,2.69015
2023-01-27,2.71663
2023-01-28,0.31513
2023-01-29,0.25798
2023-01-30,2.60761
2023-01-31,2.32337
2023-02-01,2.3536
2023-02-02,2.52022
2023-02-03,2.59437
2023-02-04,0.28799
2023-02-05,0.22289
2023-02-06,2.1594
2023-02-07,2.26003
2023-02-08,2.97285
2023-02-09,2.71222
2023-02-10,2.48403
2023-02-11,0.28887
2023-02-12,0.21185
2023-02-13,2.42202
2023-02-14,2.41738
2023-02-15,2.63167
2023-02-16,2.75966
2023-02-17,2.28078
2023-02-18,0.25356
2023-02-19,0.21251
2023-02-20,2.55112
2023-02-21,2.15918
2023-02-22,1.93783
2023-02-23,2.13115
2023-02-24,1.76702
2023-02-25,0.19177
2023-02-26,0.16926
2023-02-27,1.78424
2023-02-28,2.27107
2023-03-01,0.36148
2023-03-02,1.95372
2023-03-03,1.7871
2023-03-04,0.20722
2023-03-05,0.16154
2023-03-06,2.10445
2023-03-07,1.83588
2023-03-08,1.88553
2023-03-09,1.8564
2023-03-10,1.7679
2023-03-11,0.25246
2023-03-12,0.28137
2023-03-13,2.38318
2023-03-14,2.10754
2023-03-15,1.99013
2023-03-16,1.78225
2023-03-17,1.83852
2023-03-18,0.20523
2023-03-19,0.15756
2023-03-20,1.76636
2023-03-21,1.62005
2023-03-22,1.81182
2023-03-23,1.75864
2023-03-24,1.58054
2023-03-25,0.17544
2023-03-26,0.14123
2023-03-27,1.73635
2023-03-28,1.7348
2023-03-29,1.68426
2023-03-30,1.71053
2023-03-31,1.64984
2023-04-01,0.18625
2023-04-02,0.15668
2023-04-03,1.61365
2023-04-04,1.58606
2023-04-05,1.54148
2023-04-06,1.52405
2023-04-07,1.66242
2023-04-08,0.17809
2023-04-09,0.1377
2023-04-10,1.69309
2023-04-11,1.88884
2023-04-12,1.75775
2023-04-13,1.7145
2023-04-14,2.07157
2023-04-15,0.22223
2023-04-16,0.17434
2023-04-17,1.64675
2023-04-18,1.57436
2023-04-19,1.50661
2023-04-20,1.45828
2023-04-21,1.29873
2023-04-22,0.15602
2023-04-23,0.12534
2023-04-24,1.35235
2023-04-25,1.47373
2023-04-26,1.46557
2023-04-27,1.372
2023-04-28,1.42827
2023-04-29,0.17367
2023-04-30,0.11806
2023-05-01,0.36413
2023-05-02,1.4894
2023-05-03,3.1964
2023-05-04,1.79527
2023-05-05,0.22002
2023-05-06,0.15249
2023-05-07,0.12733
2023-05-08,1.91312
2023-05-09,1.71957
2023-05-10,1.61806
2023-05-11,1.57326
2023-05-12,1.33448
2023-05-13,0.13395
2023-05-14,0.11166
2023-05-15,1.36626
2023-05-16,1.57414
2023-05-17,1.51257
2023-05-18,1.39097
2023-05-19,1.43511
2023-05-20,0.15006
2023-05-21,0.11475
2023-05-22,1.65712
2023-05-23,1.6046
2023-05-24,1.41039
2023-05-25,1.26209
