date,NH농협증권
2023-07-01,1.16391
2023-07-02,1.64888
2023-07-03,4.2677
2023-07-04,3.39476
2023-07-05,3.63724
2023-07-06,3.29776
2023-07-07,3.44325
2023-07-08,1.16391
2023-07-09,1.45489
2023-07-10,3.58874
2023-07-11,3.83123
2023-07-12,3.58874
2023-07-13,3.15227
2023-07-14,3.49175
2023-07-15,1.11542
2023-07-16,2.47332
2023-07-17,3.44325
2023-07-18,4.94665
2023-07-19,4.1707
2023-07-20,3.63724
2023-07-21,4.99515
2023-07-22,1.79437
2023-07-23,3.05528
2023-07-24,8.38991
2023-07-25,8.00193
2023-07-26,9.65082
2023-07-27,8.38991
2023-07-28,5.6256
2023-07-29,1.16391
2023-07-30,1.60038
2023-07-31,5.96508
2023-08-01,4.41319
2023-08-02,4.51018
2023-08-03,4.1707
2023-08-04,2.66731
2023-08-05,0.77594
2023-08-06,1.06692
2023-08-07,5.28612
2023-08-08,4.31619
2023-08-09,3.78273
2023-08-10,2.66731
2023-08-11,3.78273
2023-08-12,1.06692
2023-08-13,1.3094
2023-08-14,3.92822
2023-08-15,1.69738
2023-08-16,4.07371
2023-08-17,3.63724
2023-08-18,2.86129
2023-08-19,0.87293
2023-08-20,1.11542
2023-08-21,3.29776
2023-08-22,3.97672
2023-08-23,4.12221
2023-08-24,3.00678
2023-08-25,2.66731
2023-08-26,1.21241
2023-08-27,1.3094
2023-08-28,3.39476
2023-08-29,2.8128
2023-08-30,2.32783
2023-08-31,2.7158
2023-09-01,3.39476
2023-09-02,1.84287
2023-09-03,0.72744
2023-09-04,3.34626
2023-09-05,3.68574
2023-09-06,2.8128
2023-09-07,3.05528
2023-09-08,2.61881
2023-09-09,1.01842
2023-09-10,0.96993
2023-09-11,4.75266
2023-09-12,3.73423
2023-09-13,2.57032
2023-09-14,3.63724
2023-09-15,3.00678
2023-09-16,1.16391
2023-09-17,1.11542
2023-09-18,4.07371
2023-09-19,4.2677
2023-09-20,3.68574
2023-09-21,4.55868
2023-09-22,5.18913
2023-09-23,0.96993
2023-09-24,0.67895
2023-09-25,3.29776
2023-09-26,3.00678
2023-09-27,2.27934
2023-09-28,0.63045
2023-09-29,0.67895
2023-09-30,0.96993
2023-10-01,1.11542
2023-10-02,1.3579
2023-10-03,1.3094
2023-10-04,4.31619
2023-10-05,2.86129
2023-10-06,3.44325
2023-10-07,1.01842
2023-10-08,0.87293
2023-10-09,1.11542
2023-10-10,4.36469
2023-10-11,2.7643
2023-10-12,3.63724
2023-10-13,2.86129
2023-10-14,0.72744
2023-10-15,0.82444
2023-10-16,2.42483
2023-10-17,3.15227
