date,데이터센터
2022-05-06,0.33776
2022-05-07,0.24585
2022-05-08,0.24355
2022-05-09,0.48251
2022-05-10,0.42737
2022-05-11,0.46872
2022-05-12,0.53536
2022-05-13,0.42047
2022-05-14,0.17232
2022-05-15,0.17462
2022-05-16,0.45724
2022-05-17,0.50778
2022-05-18,0.57671
2022-05-19,0.52846
2022-05-20,0.37911
2022-05-21,0.21828
2022-05-22,0.22287
2022-05-23,0.46183
2022-05-24,0.53536
2022-05-25,0.56752
2022-05-26,0.58361
2022-05-27,0.47332
2022-05-28,0.24815
2022-05-29,0.31018
2022-05-30,0.53306
2022-05-31,0.43196
2022-06-01,0.31248
2022-06-02,0.44115
2022-06-03,0.3975
2022-06-04,0.14705
2022-06-05,0.18381
2022-06-06,0.19989
2022-06-07,0.36992
2022-06-08,0.47562
2022-06-09,0.46872
2022-06-10,0.3929
2022-06-11,0.18611
2022-06-12,0.2895
2022-06-13,0.50319
2022-06-14,0.47791
2022-06-15,0.51008
2022-06-16,0.49859
2022-06-17,0.45724
2022-06-18,0.18611
2022-06-19,0.17692
2022-06-20,0.41128
2022-06-21,0.45953
2022-06-22,0.44804
2022-06-23,0.38371
2022-06-24,0.34005
2022-06-25,0.22747
2022-06-26,0.15164
2022-06-27,0.37911
2022-06-28,0.38141
2022-06-29,0.64105
2022-06-30,0.48481
2022-07-01,0.41817
2022-07-02,0.193
2022-07-03,0.23436
2022-07-04,0.47332
2022-07-05,0.4963
2022-07-06,0.53995
2022-07-07,0.47562
2022-07-08,0.52387
2022-07-09,0.1953
2022-07-10,0.23206
2022-07-11,0.51238
2022-07-12,0.57901
2022-07-13,0.5882
2022-07-14,0.56293
2022-07-15,0.47332
2022-07-16,0.14934
2022-07-17,0.18151
2022-07-18,0.494
2022-07-19,0.3952
2022-07-20,0.51008
2022-07-21,0.43885
2022-07-22,0.34695
2022-07-23,0.14934
2022-07-24,0.1976
2022-07-25,0.46643
2022-07-26,0.44575
2022-07-27,0.47102
2022-07-28,0.46643
2022-07-29,0.37682
2022-07-30,0.17002
2022-07-31,0.24355
2022-08-01,0.3906
2022-08-02,0.46872
2022-08-03,0.45494
2022-08-04,0.54684
2022-08-05,0.42047
2022-08-06,0.17232
2022-08-07,0.22287
2022-08-08,0.54455
2022-08-09,0.66403
2022-08-10,0.52157
2022-08-11,0.43196
2022-08-12,0.46872
2022-08-13,0.19989
2022-08-14,0.13556
2022-08-15,0.16083
2022-08-16,0.50089
2022-08-17,0.47332
2022-08-18,0.37222
2022-08-19,0.3952
2022-08-20,0.15394
2022-08-21,0.14705
2022-08-22,0.53995
2022-08-23,0.43426
2022-08-24,0.52846
2022-08-25,0.51468
2022-08-26,0.51008
2022-08-27,0.25274
2022-08-28,0.21828
2022-08-29,0.494
2022-08-30,0.48021
2022-08-31,0.45264
2022-09-01,0.4894
2022-09-02,0.47102
2022-09-03,0.1953
2022-09-04,0.22747
2022-09-05,0.45494
2022-09-06,0.39979
2022-09-07,0.44115
2022-09-08,0.40898
2022-09-09,0.17232
2022-09-10,0.18841
2022-09-11,0.19989
2022-09-12,0.25274
2022-09-13,0.68011
2022-09-14,0.63875
2022-09-15,0.61348
2022-09-16,0.53306
2022-09-17,0.25504
2022-09-18,0.21368
2022-09-19,0.53765
2022-09-20,0.47562
2022-09-21,0.45494
2022-09-22,0.55144
2022-09-23,0.60199
2022-09-24,0.50549
2022-09-25,0.22976
2022-09-26,0.55374
2022-09-27,0.58591
2022-09-28,0.52617
2022-09-29,0.45953
2022-09-30,0.56523
2022-10-01,0.22287
2022-10-02,0.16773
2022-10-03,0.22517
2022-10-04,0.49859
2022-10-05,0.51238
2022-10-06,0.48021
2022-10-07,0.4894
2022-10-08,0.17462
2022-10-09,0.28261
2022-10-10,0.2941
2022-10-11,0.51697
2022-10-12,0.52617
2022-10-13,0.61807
2022-10-14,0.5905
2022-10-15,100.0
2022-10-16,26.6371
2022-10-17,8.29925
2022-10-18,3.2788
2022-10-19,2.83994
2022-10-20,2.19659
2022-10-21,1.56932
2022-10-22,0.64794
2022-10-23,0.65484
2022-10-24,1.10748
2022-10-25,1.16492
2022-10-26,1.01557
2022-10-27,0.99489
2022-10-28,0.78121
2022-10-29,0.52387
2022-10-30,0.43885
2022-10-31,0.79959
2022-11-01,0.84554
2022-11-02,0.80189
2022-11-03,0.75593
2022-11-04,0.74904
2022-11-05,0.33086
2022-11-06,0.35614
2022-11-07,0.74674
2022-11-08,0.86393
2022-11-09,0.97192
