date,우주항공관련주
2022-10-10,0.59822
2022-10-11,0.86145
2022-10-12,1.10074
2022-10-13,0.50251
2022-10-14,0.59822
2022-10-15,0.45465
2022-10-16,0.69394
2022-10-17,1.19645
2022-10-18,1.57932
2022-10-19,1.10074
2022-10-20,0.62215
2022-10-21,0.43072
2022-10-22,0.31107
2022-10-23,0.5743
2022-10-24,0.47858
2022-10-25,0.31107
2022-10-26,0.86145
2022-10-27,0.71787
2022-10-28,0.52644
2022-10-29,0.55037
2022-10-30,0.43072
2022-10-31,0.5743
2022-11-01,0.335
2022-11-02,0.93323
2022-11-03,0.93323
2022-11-04,0.69394
2022-11-05,0.81359
2022-11-06,0.64608
2022-11-07,1.12467
2022-11-08,1.10074
2022-11-09,0.88537
2022-11-10,2.0579
2022-11-11,1.19645
2022-11-12,2.8715
2022-11-13,1.10074
2022-11-14,2.79971
2022-11-15,2.77578
2022-11-16,2.8715
2022-11-17,1.55539
2022-11-18,1.12467
2022-11-19,0.86145
2022-11-20,0.76573
2022-11-21,1.1486
2022-11-22,0.59822
2022-11-23,1.1486
2022-11-24,1.3161
2022-11-25,1.43575
2022-11-26,0.69394
2022-11-27,14.66858
2022-11-28,22.18234
2022-11-29,16.12826
2022-11-30,6.05407
2022-12-01,2.94328
2022-12-02,1.93826
2022-12-03,0.9093
2022-12-04,0.98109
2022-12-05,1.4836
2022-12-06,1.60325
2022-12-07,1.24431
2022-12-08,1.29217
2022-12-09,1.12467
2022-12-10,1.10074
2022-12-11,0.83752
2022-12-12,1.34003
2022-12-13,1.57932
2022-12-14,1.12467
2022-12-15,1.24431
2022-12-16,1.24431
2022-12-17,0.95716
2022-12-18,0.93323
2022-12-19,1.38789
2022-12-20,1.12467
2022-12-21,1.53146
2022-12-22,1.60325
2022-12-23,0.86145
2022-12-24,0.69394
2022-12-25,0.62215
2022-12-26,0.78966
2022-12-27,0.67001
2022-12-28,1.00502
2022-12-29,1.96219
2022-12-30,1.05288
2022-12-31,1.34003
2023-01-01,0.98109
2023-01-02,1.10074
2023-01-03,1.7229
2023-01-04,1.4836
2023-01-05,0.88537
2023-01-06,0.69394
2023-01-07,0.62215
2023-01-08,0.50251
2023-01-09,0.78966
2023-01-10,0.7418
2023-01-11,1.29217
2023-01-12,1.45967
2023-01-13,1.74682
2023-01-14,2.08183
2023-01-15,1.50753
2023-01-16,2.44077
2023-01-17,4.95333
2023-01-18,2.44077
2023-01-19,2.10576
2023-01-20,1.12467
2023-01-21,2.10576
2023-01-22,1.34003
2023-01-23,2.12969
2023-01-24,1.84254
2023-01-25,4.57047
2023-01-26,5.31227
2023-01-27,4.28332
2023-01-28,3.63723
2023-01-29,3.6133
2023-01-30,3.80473
2023-01-31,3.70902
2023-02-01,14.33357
2023-02-02,15.53003
2023-02-03,10.45704
2023-02-04,4.73797
2023-02-05,7.0591
2023-02-06,6.078
2023-02-07,5.24048
2023-02-08,4.80976
2023-02-09,6.98731
2023-02-10,9.66738
2023-02-11,9.30844
2023-02-12,5.21655
2023-02-13,4.64225
2023-02-14,4.28332
2023-02-15,4.13974
2023-02-16,4.21153
2023-02-17,4.78583
2023-02-18,3.54151
2023-02-19,2.41684
2023-02-20,3.18257
2023-02-21,5.76692
2023-02-22,6.41301
2023-02-23,5.9105
2023-02-24,6.17372
2023-02-25,5.02512
2023-02-26,6.98731
2023-02-27,9.30844
2023-02-28,6.03015
2023-03-01,4.25939
2023-03-02,9.06915
2023-03-03,3.99617
2023-03-04,1.96219
2023-03-05,2.4647
2023-03-06,4.40296
2023-03-07,6.46087
2023-03-08,3.66116
2023-03-09,3.32615
2023-03-10,2.58435
2023-03-11,2.08183
2023-03-12,2.22541
2023-03-13,3.06293
2023-03-14,2.03397
2023-03-15,3.97224
2023-03-16,5.07298
2023-03-17,7.41804
2023-03-18,4.1876
2023-03-19,4.85762
2023-03-20,10.05025
2023-03-21,9.06915
2023-03-22,6.22158
2023-03-23,5.02512
2023-03-24,5.67121
2023-03-25,3.63723
2023-03-26,2.82364
2023-03-27,3.27829
2023-03-28,6.72409
2023-03-29,7.03517
2023-03-30,15.43431
2023-03-31,16.98971
2023-04-01,6.26944
2023-04-02,5.24048
2023-04-03,11.12706
2023-04-04,15.33859
2023-04-05,12.61067
2023-04-06,9.30844
2023-04-07,6.93945
2023-04-08,10.19382
2023-04-09,11.60564
2023-04-10,8.47092
2023-04-11,11.86886
2023-04-12,13.44819
2023-04-13,7.75305
2023-04-14,7.25053
2023-04-15,9.16487
2023-04-16,6.34122
2023-04-17,9.71524
2023-04-18,8.99736
2023-04-19,6.6523
2023-04-20,8.06413
2023-04-21,5.93443
2023-04-22,2.58435
2023-04-23,3.01507
2023-04-24,7.10696
2023-04-25,9.33237
2023-04-26,10.52883
2023-04-27,5.52763
2023-04-28,3.01507
2023-04-29,1.84254
2023-04-30,1.98612
2023-05-01,1.62718
2023-05-02,2.79971
2023-05-03,2.36898
2023-05-04,2.2972
2023-05-05,1.62718
2023-05-06,0.98109
2023-05-07,2.2972
2023-05-08,3.27829
2023-05-09,2.72792
2023-05-10,2.01005
2023-05-11,2.17755
2023-05-12,2.22541
2023-05-13,1.69897
2023-05-14,1.22038
2023-05-15,1.98612
2023-05-16,1.81861
2023-05-17,2.41684
2023-05-18,2.79971
2023-05-19,2.44077
2023-05-20,2.72792
2023-05-21,2.39291
2023-05-22,4.37903
2023-05-23,7.2266
2023-05-24,13.90284
2023-05-25,23.73773
2023-05-26,20.14836
2023-05-27,3.18257
2023-05-28,2.65613
2023-05-29,2.44077
2023-05-30,3.68509
2023-05-31,3.2065
2023-06-01,3.25436
2023-06-02,2.32112
2023-06-03,1.43575
2023-06-04,1.55539
2023-06-05,1.84254
2023-06-06,1.26824
2023-06-07,1.67504
2023-06-08,1.38789
2023-06-09,1.43575
2023-06-10,1.19645
2023-06-11,0.69394
2023-06-12,1.22038
2023-06-13,1.57932
2023-06-14,1.55539
2023-06-15,1.81861
2023-06-16,1.93826
2023-06-17,1.1486
2023-06-18,0.71787
2023-06-19,3.35008
2023-06-20,2.01005
2023-06-21,2.08183
2023-06-22,1.50753
2023-06-23,0.93323
2023-06-24,0.78966
2023-06-25,0.7418
2023-06-26,0.93323
2023-06-27,1.53146
2023-06-28,1.81861
2023-06-29,1.43575
2023-06-30,0.71787
2023-07-01,0.47858
2023-07-02,0.81359
