date,부가가치세
2022-01-12,50.80131
2022-01-13,45.2597
2022-01-14,39.04228
2022-01-15,25.89302
2022-01-16,25.31376
2022-01-17,56.65186
2022-01-18,62.6955
2022-01-19,59.89573
2022-01-20,67.75439
2022-01-21,61.13149
2022-01-22,31.28016
2022-01-23,38.05754
2022-01-24,90.82834
2022-01-25,83.47171
2022-01-26,32.30353
2022-01-27,21.87681
2022-01-28,16.3545
2022-01-29,8.72755
2022-01-30,6.6422
2022-01-31,6.58428
2022-02-01,5.13612
2022-02-02,7.78142
2022-02-03,16.62483
2022-02-04,16.10349
2022-02-05,8.28345
2022-02-06,7.99382
2022-02-07,39.48638
2022-02-08,24.44487
2022-02-09,20.44796
2022-02-10,24.83104
2022-02-11,17.2234
2022-02-12,9.19096
2022-02-13,8.8434
2022-02-14,18.92257
2022-02-15,18.90326
2022-02-16,16.18072
2022-02-17,16.3545
2022-02-18,14.63603
2022-02-19,7.54972
2022-02-20,7.62695
2022-02-21,16.29658
2022-02-22,18.82602
2022-02-23,23.6339
2022-02-24,22.0892
2022-02-25,19.28943
2022-02-26,7.83935
2022-02-27,6.58428
2022-02-28,20.83413
2022-03-01,9.88607
2022-03-02,17.37787
2022-03-03,15.77524
2022-03-04,14.48156
2022-03-05,8.16759
2022-03-06,6.70013
2022-03-07,14.75188
2022-03-08,14.5781
2022-03-09,7.12492
2022-03-10,16.41243
2022-03-11,15.87178
2022-03-12,7.87796
2022-03-13,7.26008
2022-03-14,16.47036
2022-03-15,18.51708
2022-03-16,17.12685
2022-03-17,15.75593
2022-03-18,15.2346
2022-03-19,7.82004
2022-03-20,7.82004
2022-03-21,17.18478
2022-03-22,16.95307
2022-03-23,16.81791
2022-03-24,15.42768
2022-03-25,14.19192
2022-03-26,7.20216
2022-03-27,6.91253
2022-03-28,17.6675
2022-03-29,17.99575
2022-03-30,17.49372
2022-03-31,19.75284
2022-04-01,17.28132
2022-04-02,14.86773
2022-04-03,9.15234
2022-04-04,20.83413
2022-04-05,20.46727
2022-04-06,26.81984
2022-04-07,31.06777
2022-04-08,26.70399
2022-04-09,10.11778
2022-04-10,8.43792
2022-04-11,28.73141
2022-04-12,25.68063
2022-04-13,25.391
2022-04-14,26.10542
2022-04-15,20.00386
2022-04-16,9.40335
2022-04-17,10.23363
2022-04-18,24.03938
2022-04-19,25.60339
2022-04-20,25.69994
2022-04-21,27.12878
2022-04-22,23.09326
2022-04-23,10.31087
2022-04-24,10.77428
2022-04-25,34.62058
2022-04-26,18.42054
2022-04-27,20.29349
2022-04-28,18.324
2022-04-29,16.45105
2022-04-30,8.74686
2022-05-01,7.80073
2022-05-02,20.66035
2022-05-03,19.40529
2022-05-04,16.72137
2022-05-05,7.99382
2022-05-06,12.01004
2022-05-07,7.04769
2022-05-08,7.89727
2022-05-09,19.25082
2022-05-10,18.57501
2022-05-11,18.43985
2022-05-12,20.00386
2022-05-13,16.62483
2022-05-14,7.9552
2022-05-15,7.08631
2022-05-16,18.07298
2022-05-17,19.67561
2022-05-18,18.69086
2022-05-19,18.24676
2022-05-20,16.02625
2022-05-21,8.32206
