date,상속세신고기한
2023-03-19,27.66798
2023-03-20,66.79841
2023-03-21,37.94466
2023-03-22,52.56916
2023-03-23,39.92094
2023-03-24,28.85375
2023-03-25,19.76284
2023-03-26,28.06324
2023-03-27,54.15019
2023-03-28,47.82608
2023-03-29,44.66403
2023-03-30,53.75494
2023-03-31,41.10671
2023-04-01,20.55335
2023-04-02,17.78656
2023-04-03,36.75889
2023-04-04,40.71146
2023-04-05,47.43083
2023-04-06,49.01185
2023-04-07,36.36363
2023-04-08,21.34387
2023-04-09,24.90118
2023-04-10,54.15019
2023-04-11,41.10671
2023-04-12,47.43083
2023-04-13,40.3162
2023-04-14,44.66403
2023-04-15,25.29644
2023-04-16,27.27272
2023-04-17,47.43083
2023-04-18,56.52173
2023-04-19,45.05928
2023-04-20,44.26877
2023-04-21,37.5494
2023-04-22,30.43478
2023-04-23,26.08695
2023-04-24,47.43083
2023-04-25,50.59288
2023-04-26,43.083
2023-04-27,49.01185
2023-04-28,48.22134
2023-04-29,21.73913
2023-04-30,23.32015
2023-05-01,36.36363
2023-05-02,52.96442
2023-05-03,45.45454
2023-05-04,40.3162
2023-05-05,30.03952
2023-05-06,26.08695
2023-05-07,25.69169
2023-05-08,46.64031
2023-05-09,49.80237
2023-05-10,47.43083
2023-05-11,48.6166
2023-05-12,29.64426
2023-05-13,20.94861
2023-05-14,18.57707
2023-05-15,48.22134
2023-05-16,54.54545
2023-05-17,46.24505
2023-05-18,44.66403
2023-05-19,34.38735
2023-05-20,25.69169
2023-05-21,28.06324
2023-05-22,50.19762
2023-05-23,48.22134
2023-05-24,52.56916
2023-05-25,49.80237
2023-05-26,39.92094
2023-05-27,28.45849
