date,회사채금리
2022-04-28,13.31484
2022-04-29,11.37309
2022-04-30,16.64355
2022-05-01,16.92094
2022-05-02,15.95006
2022-05-03,17.75312
2022-05-04,13.03744
2022-05-05,8.87656
2022-05-06,21.63661
2022-05-07,10.67961
2022-05-08,11.37309
2022-05-09,19.27877
2022-05-10,19.41747
2022-05-11,19.55617
2022-05-12,20.24965
2022-05-13,14.7018
2022-05-14,6.51872
2022-05-15,8.59916
2022-05-16,12.89875
2022-05-17,13.45353
2022-05-18,13.59223
2022-05-19,15.81137
2022-05-20,11.23439
2022-05-21,9.84743
2022-05-22,7.62829
2022-05-23,16.08876
2022-05-24,17.33703
2022-05-25,11.51178
2022-05-26,20.80443
2022-05-27,15.81137
2022-05-28,6.51872
2022-05-29,6.24133
2022-05-30,13.45353
2022-05-31,15.11789
2022-06-01,9.98613
2022-06-02,14.14701
2022-06-03,16.08876
2022-06-04,9.01525
2022-06-05,5.27045
2022-06-06,10.40221
2022-06-07,24.96532
2022-06-08,17.89181
2022-06-09,14.7018
2022-06-10,16.36615
2022-06-11,10.26352
2022-06-12,8.32177
2022-06-13,23.85575
2022-06-14,25.24271
2022-06-15,28.43273
2022-06-16,33.2871
2022-06-17,25.52011
2022-06-18,13.03744
2022-06-19,14.7018
2022-06-20,23.30097
2022-06-21,21.77531
2022-06-22,25.93619
2022-06-23,26.35228
2022-06-24,18.72399
2022-06-25,9.98613
2022-06-26,6.51872
2022-06-27,17.19833
2022-06-28,25.24271
2022-06-29,20.24965
2022-06-30,19.69486
2022-07-01,19.14008
2022-07-02,6.93481
2022-07-03,8.59916
2022-07-04,22.88488
2022-07-05,22.1914
2022-07-06,19.83356
2022-07-07,17.33703
2022-07-08,12.48266
2022-07-09,8.18307
2022-07-10,8.59916
2022-07-11,20.11095
2022-07-12,21.77531
2022-07-13,28.15533
2022-07-14,24.68793
2022-07-15,16.92094
2022-07-16,8.87656
2022-07-17,8.18307
2022-07-18,21.63661
2022-07-19,19.55617
2022-07-20,16.92094
2022-07-21,19.83356
2022-07-22,17.47572
2022-07-23,8.18307
2022-07-24,8.18307
2022-07-25,19.41747
2022-07-26,21.77531
2022-07-27,25.6588
2022-07-28,23.85575
2022-07-29,18.3079
2022-07-30,7.2122
2022-07-31,7.76699
2022-08-01,19.14008
2022-08-02,22.33009
2022-08-03,17.05963
2022-08-04,19.55617
2022-08-05,15.39528
2022-08-06,8.46047
2022-08-07,10.54091
2022-08-08,17.75312
2022-08-09,17.61442
2022-08-10,21.08183
2022-08-11,18.58529
2022-08-12,15.81137
2022-08-13,8.18307
2022-08-14,7.2122
2022-08-15,12.34396
2022-08-16,18.4466
2022-08-17,18.3079
2022-08-18,16.92094
2022-08-19,16.08876
2022-08-20,7.0735
2022-08-21,8.59916
2022-08-22,17.19833
2022-08-23,17.33703
2022-08-24,18.4466
2022-08-25,26.90707
2022-08-26,22.74618
2022-08-27,10.957
2022-08-28,10.957
2022-08-29,24.41054
2022-08-30,23.30097
2022-08-31,23.85575
2022-09-01,23.57836
2022-09-02,21.49791
2022-09-03,9.43134
2022-09-04,9.01525
2022-09-05,21.77531
2022-09-06,16.78224
2022-09-07,21.914
2022-09-08,15.81137
2022-09-09,7.62829
2022-09-10,8.73786
2022-09-11,8.87656
2022-09-12,11.92787
2022-09-13,20.24965
2022-09-14,25.93619
2022-09-15,22.33009
2022-09-16,18.72399
2022-09-17,11.78918
2022-09-18,10.8183
2022-09-19,24.82662
2022-09-20,26.21359
2022-09-21,22.1914
2022-09-22,30.37447
2022-09-23,34.53536
2022-09-24,18.03051
2022-09-25,14.5631
2022-09-26,44.1054
2022-09-27,37.17059
2022-09-28,38.83495
2022-09-29,37.72538
2022-09-30,31.90013
2022-10-01,14.84049
2022-10-02,11.37309
2022-10-03,14.14701
2022-10-04,30.37447
2022-10-05,26.90707
2022-10-06,29.95839
2022-10-07,27.87794
2022-10-08,12.62135
2022-10-09,12.62135
2022-10-10,16.22746
2022-10-11,30.79056
2022-10-12,44.3828
2022-10-13,47.29542
2022-10-14,33.84188
2022-10-15,20.94313
2022-10-16,20.80443
2022-10-17,36.33841
2022-10-18,35.92233
2022-10-19,46.74063
2022-10-20,63.38418
2022-10-21,70.0416
2022-10-22,39.38973
2022-10-23,41.33148
2022-10-24,90.84604
2022-10-25,84.8821
2022-10-26,81.4147
2022-10-27,82.80166
2022-10-28,63.10679
2022-10-29,25.93619
2022-10-30,22.46879
2022-10-31,40.36061
2022-11-01,58.9459
2022-11-02,49.51456
2022-11-03,56.72676
2022-11-04,40.638
2022-11-05,22.88488
2022-11-06,40.08321
2022-11-07,51.17891
2022-11-08,43.55062
2022-11-09,43.13453
2022-11-10,38.41886
2022-11-11,31.48404
2022-11-12,16.22746
2022-11-13,15.39528
2022-11-14,39.25104
2022-11-15,40.36061
2022-11-16,32.45492
2022-11-17,30.79056
2022-11-18,26.90707
2022-11-19,14.7018
2022-11-20,14.14701
2022-11-21,31.20665
2022-11-22,35.64493
2022-11-23,33.84188
2022-11-24,36.61581
2022-11-25,29.12621
2022-11-26,15.81137
2022-11-27,15.39528
2022-11-28,32.87101
2022-11-29,32.73231
2022-11-30,31.20665
2022-12-01,33.56449
2022-12-02,26.49098
2022-12-03,8.87656
2022-12-04,10.957
2022-12-05,28.29403
2022-12-06,29.68099
2022-12-07,35.64493
2022-12-08,29.5423
2022-12-09,28.71012
2022-12-10,12.48266
2022-12-11,13.31484
2022-12-12,28.71012
2022-12-13,28.01664
2022-12-14,32.17753
2022-12-15,29.95839
2022-12-16,24.41054
2022-12-17,11.78918
2022-12-18,15.95006
2022-12-19,27.04576
2022-12-20,28.15533
2022-12-21,29.68099
2022-12-22,23.99445
2022-12-23,24.27184
2022-12-24,9.98613
2022-12-25,11.51178
2022-12-26,26.76837
2022-12-27,27.46185
2022-12-28,24.96532
2022-12-29,25.6588
2022-12-30,16.78224
2022-12-31,11.0957
2023-01-01,10.54091
2023-01-02,24.54923
2023-01-03,33.0097
2023-01-04,30.92926
2023-01-05,35.09015
2023-01-06,30.92926
2023-01-07,15.53398
2023-01-08,17.61442
2023-01-09,32.03883
2023-01-10,36.47711
2023-01-11,37.86407
2023-01-12,31.76144
2023-01-13,36.06102
2023-01-14,15.11789
2023-01-15,12.62135
2023-01-16,33.1484
2023-01-17,31.34535
2023-01-18,28.29403
2023-01-19,29.4036
2023-01-20,24.27184
2023-01-21,14.84049
2023-01-22,9.84743
2023-01-23,11.0957
2023-01-24,16.22746
2023-01-25,35.22884
2023-01-26,30.92926
2023-01-27,23.30097
2023-01-28,10.67961
2023-01-29,15.25658
2023-01-30,32.87101
2023-01-31,28.01664
2023-02-01,28.15533
2023-02-02,27.18446
2023-02-03,31.90013
2023-02-04,13.31484
2023-02-05,15.25658
2023-02-06,30.51317
2023-02-07,33.2871
2023-02-08,27.04576
2023-02-09,29.4036
2023-02-10,24.13314
2023-02-11,13.17614
2023-02-12,10.26352
2023-02-13,25.38141
2023-02-14,22.0527
2023-02-15,27.46185
2023-02-16,28.01664
2023-02-17,27.18446
2023-02-18,12.34396
2023-02-19,8.59916
2023-02-20,22.0527
2023-02-21,24.96532
2023-02-22,25.93619
2023-02-23,28.57142
2023-02-24,22.74618
2023-02-25,10.26352
2023-02-26,11.0957
2023-02-27,26.07489
2023-02-28,28.84882
2023-03-01,14.7018
2023-03-02,26.07489
2023-03-03,25.10402
2023-03-04,10.67961
2023-03-05,9.70873
2023-03-06,21.63661
2023-03-07,22.0527
2023-03-08,25.52011
2023-03-09,23.57836
2023-03-10,23.02357
2023-03-11,9.57004
2023-03-12,8.18307
2023-03-13,28.01664
2023-03-14,28.15533
2023-03-15,23.02357
2023-03-16,23.99445
2023-03-17,17.05963
2023-03-18,8.87656
2023-03-19,8.46047
2023-03-20,20.38834
2023-03-21,21.08183
2023-03-22,25.52011
2023-03-23,21.08183
2023-03-24,19.69486
2023-03-25,10.40221
2023-03-26,9.01525
2023-03-27,22.46879
2023-03-28,18.72399
2023-03-29,19.69486
2023-03-30,19.00138
2023-03-31,17.61442
2023-04-01,5.54785
2023-04-02,7.62829
2023-04-03,15.39528
2023-04-04,18.03051
2023-04-05,18.86269
2023-04-06,16.36615
2023-04-07,13.17614
2023-04-08,6.10263
2023-04-09,11.0957
2023-04-10,18.03051
2023-04-11,16.64355
2023-04-12,16.36615
2023-04-13,15.67267
2023-04-14,13.59223
2023-04-15,6.24133
2023-04-16,7.62829
2023-04-17,15.39528
2023-04-18,17.75312
2023-04-19,16.36615
2023-04-20,17.61442
2023-04-21,14.00832
2023-04-22,6.10263
2023-04-23,4.57697
2023-04-24,14.84049
2023-04-25,14.7018
2023-04-26,14.5631
2023-04-27,12.34396
2023-04-28,9.15395
2023-04-29,4.85436
2023-04-30,4.43828
2023-05-01,9.98613
2023-05-02,12.89875
2023-05-03,14.7018
2023-05-04,14.5631
2023-05-05,7.3509
2023-05-06,5.96393
2023-05-07,7.62829
2023-05-08,15.53398
2023-05-09,13.45353
2023-05-10,12.62135
2023-05-11,13.59223
2023-05-12,11.51178
2023-05-13,6.24133
2023-05-14,5.96393
2023-05-15,15.11789
2023-05-16,11.37309
2023-05-17,13.45353
2023-05-18,16.78224
2023-05-19,12.34396
2023-05-20,6.79611
2023-05-21,4.29958
2023-05-22,15.53398
2023-05-23,15.95006
2023-05-24,14.7018
2023-05-25,18.03051
2023-05-26,13.86962
