date,유상증자
2022-05-24,0.23845
2022-05-25,0.2808
2022-05-26,0.28981
2022-05-27,0.20001
2022-05-28,0.08198
2022-05-29,0.09069
2022-05-30,0.20842
2022-05-31,0.2817
2022-06-01,0.12613
2022-06-02,0.35768
2022-06-03,0.32795
2022-06-04,0.11682
2022-06-05,0.06877
2022-06-06,0.08859
2022-06-07,0.28861
2022-06-08,0.23065
2022-06-09,0.22043
2022-06-10,0.26218
2022-06-11,0.0955
2022-06-12,0.09129
2022-06-13,0.1859
2022-06-14,0.23905
2022-06-15,0.21353
2022-06-16,0.24776
2022-06-17,0.23335
2022-06-18,0.0925
2022-06-19,0.08258
2022-06-20,0.25587
2022-06-21,0.279
2022-06-22,0.2802
2022-06-23,0.25317
2022-06-24,0.24146
2022-06-25,0.08889
2022-06-26,0.07448
2022-06-27,0.29221
2022-06-28,0.34267
2022-06-29,0.21653
2022-06-30,0.21293
2022-07-01,0.24416
2022-07-02,0.08198
2022-07-03,0.06967
2022-07-04,0.20271
2022-07-05,0.26608
2022-07-06,0.22524
2022-07-07,0.191
2022-07-08,0.20662
2022-07-09,0.08078
2022-07-10,0.06667
2022-07-11,0.16457
2022-07-12,0.25858
2022-07-13,0.24206
2022-07-14,0.21563
2022-07-15,0.13965
2022-07-16,0.06997
2022-07-17,0.05946
2022-07-18,0.15526
2022-07-19,0.19581
2022-07-20,0.19641
2022-07-21,0.23395
2022-07-22,0.17208
2022-07-23,0.06967
2022-07-24,0.06547
2022-07-25,0.20332
2022-07-26,0.20602
2022-07-27,0.20812
2022-07-28,0.19401
2022-07-29,0.1877
2022-07-30,0.07448
2022-07-31,0.06727
2022-08-01,0.14896
2022-08-02,0.21743
2022-08-03,0.19881
2022-08-04,0.16337
2022-08-05,0.17238
2022-08-06,0.07087
2022-08-07,0.06637
2022-08-08,0.24957
2022-08-09,0.23845
2022-08-10,0.33065
2022-08-11,0.30002
2022-08-12,0.42285
2022-08-13,0.18259
2022-08-14,0.0979
2022-08-15,0.0964
2022-08-16,0.34537
2022-08-17,0.26969
2022-08-18,0.29221
2022-08-19,0.30903
2022-08-20,0.08949
2022-08-21,0.08619
2022-08-22,0.15196
2022-08-23,0.17689
2022-08-24,0.19551
2022-08-25,0.25077
2022-08-26,0.28621
2022-08-27,0.14715
2022-08-28,0.10241
2022-08-29,0.47361
2022-08-30,0.33456
2022-08-31,0.33005
2022-09-01,0.29552
2022-09-02,0.19731
2022-09-03,0.09129
2022-09-04,0.09009
2022-09-05,0.18139
2022-09-06,0.1919
2022-09-07,0.17989
2022-09-08,0.17749
2022-09-09,0.05345
