date,KB손해보험다이렉트
2022-03-02,49.46996
2022-03-03,45.84805
2022-03-04,43.46289
2022-03-05,25.79505
2022-03-06,21.28975
2022-03-07,45.49469
2022-03-08,44.78798
2022-03-09,23.40989
2022-03-10,42.31448
2022-03-11,42.93286
2022-03-12,23.14487
2022-03-13,25.88339
2022-03-14,48.23321
2022-03-15,47.70318
2022-03-16,44.87632
2022-03-17,41.16607
2022-03-18,42.22614
2022-03-19,23.32155
2022-03-20,21.11307
2022-03-21,46.46643
2022-03-22,44.69964
2022-03-23,40.72438
2022-03-24,38.95759
2022-03-25,37.19081
2022-03-26,22.43816
2022-03-27,22.87985
2022-03-28,40.19434
2022-03-29,41.51943
2022-03-30,45.40636
2022-03-31,40.45936
2022-04-01,41.07773
2022-04-02,21.81978
2022-04-03,20.22968
2022-04-04,51.76678
2022-04-05,34.98233
2022-04-06,39.13427
2022-04-07,37.45583
2022-04-08,32.77385
2022-04-09,15.5477
2022-04-10,15.81272
2022-04-11,40.45936
2022-04-12,43.90459
2022-04-13,41.25441
2022-04-14,39.04593
2022-04-15,36.48409
2022-04-16,19.6113
2022-04-17,19.52296
2022-04-18,44.34628
2022-04-19,40.63604
2022-04-20,35.07067
2022-04-21,35.33568
2022-04-22,31.36042
2022-04-23,16.43109
2022-04-24,16.25441
2022-04-25,37.36749
2022-04-26,37.01413
2022-04-27,37.01413
2022-04-28,35.24734
2022-04-29,34.62897
2022-04-30,16.43109
2022-05-01,18.37455
2022-05-02,50.35335
2022-05-03,41.78445
2022-05-04,38.95759
2022-05-05,17.22614
2022-05-06,36.13074
2022-05-07,17.5795
2022-05-08,18.10954
2022-05-09,46.73144
2022-05-10,41.51943
2022-05-11,40.63604
2022-05-12,40.72438
2022-05-13,45.22968
2022-05-14,18.46289
2022-05-15,18.46289
2022-05-16,42.66784
2022-05-17,43.90459
2022-05-18,42.22614
2022-05-19,39.04593
2022-05-20,35.15901
2022-05-21,20.053
2022-05-22,17.40282
2022-05-23,42.93286
2022-05-24,40.45936
2022-05-25,35.68904
2022-05-26,39.04593
2022-05-27,38.69257
2022-05-28,20.14134
2022-05-29,16.96113
2022-05-30,44.69964
2022-05-31,42.22614
2022-06-01,23.49823
2022-06-02,39.57597
2022-06-03,41.07773
2022-06-04,19.16961
2022-06-05,16.07773
2022-06-06,21.73144
2022-06-07,42.75618
2022-06-08,39.22261
2022-06-09,33.83392
2022-06-10,42.49116
2022-06-11,20.22968
2022-06-12,17.1378
2022-06-13,46.73144
2022-06-14,43.28621
2022-06-15,43.28621
2022-06-16,39.57597
2022-06-17,34.80565
2022-06-18,17.1378
2022-06-19,18.72791
2022-06-20,41.96113
2022-06-21,41.69611
2022-06-22,43.72791
2022-06-23,37.89752
2022-06-24,33.92226
2022-06-25,19.96466
2022-06-26,15.45936
2022-06-27,46.02473
2022-06-28,37.6325
2022-06-29,37.01413
2022-06-30,37.80918
2022-07-01,40.28268
2022-07-02,19.34628
2022-07-03,16.87279
2022-07-04,46.37809
2022-07-05,43.81625
2022-07-06,36.66077
2022-07-07,36.66077
2022-07-08,34.80565
2022-07-09,17.31448
2022-07-10,18.63957
2022-07-11,41.87279
2022-07-12,39.57597
2022-07-13,37.54416
2022-07-14,38.42756
2022-07-15,40.106
2022-07-16,21.11307
2022-07-17,19.87632
2022-07-18,44.69964
2022-07-19,35.77738
2022-07-20,35.6007
2022-07-21,32.33215
2022-07-22,31.27208
2022-07-23,18.0212
2022-07-24,17.49116
2022-07-25,41.25441
2022-07-26,39.13427
2022-07-27,40.106
2022-07-28,32.95053
2022-07-29,29.94699
2022-07-30,17.1378
2022-07-31,17.5795
2022-08-01,36.30742
2022-08-02,33.83392
2022-08-03,38.69257
2022-08-04,36.92579
2022-08-05,31.18374
2022-08-06,16.87279
2022-08-07,17.1378
2022-08-08,42.40282
2022-08-09,43.63957
2022-08-10,41.51943
2022-08-11,36.92579
2022-08-12,39.66431
2022-08-13,18.99293
2022-08-14,17.75618
2022-08-15,22.17314
2022-08-16,49.20494
2022-08-17,42.31448
2022-08-18,38.0742
2022-08-19,35.95406
2022-08-20,18.99293
2022-08-21,18.10954
2022-08-22,47.17314
2022-08-23,39.04593
2022-08-24,36.83745
2022-08-25,35.07067
2022-08-26,34.36395
2022-08-27,21.81978
2022-08-28,18.0212
2022-08-29,38.25088
2022-08-30,37.80918
2022-08-31,37.10247
2022-09-01,36.48409
2022-09-02,35.6007
2022-09-03,17.31448
2022-09-04,16.34275
2022-09-05,39.31095
2022-09-06,36.57243
2022-09-07,34.89399
2022-09-08,35.6007
2022-09-09,18.0212
2022-09-10,13.60424
2022-09-11,14.22261
2022-09-12,16.96113
2022-09-13,44.25795
2022-09-14,44.16961
2022-09-15,39.39929
2022-09-16,38.5159
2022-09-17,17.40282
2022-09-18,16.25441
2022-09-19,42.75618
2022-09-20,42.5795
2022-09-21,42.84452
2022-09-22,38.95759
2022-09-23,32.24381
2022-09-24,19.6113
2022-09-25,17.40282
2022-09-26,40.72438
2022-09-27,40.106
2022-09-28,40.5477
2022-09-29,30.47703
2022-09-30,38.0742
2022-10-01,21.11307
2022-10-02,18.0212
2022-10-03,19.96466
2022-10-04,47.5265
2022-10-05,42.40282
2022-10-06,36.48409
2022-10-07,37.19081
2022-10-08,21.11307
2022-10-09,16.25441
2022-10-10,21.99646
2022-10-11,46.28975
2022-10-12,38.33922
2022-10-13,37.98586
2022-10-14,33.92226
2022-10-15,18.99293
2022-10-16,19.78798
2022-10-17,42.04946
2022-10-18,37.6325
2022-10-19,41.51943
2022-10-20,39.04593
2022-10-21,38.16254
2022-10-22,16.87279
2022-10-23,17.93286
2022-10-24,40.45936
2022-10-25,40.98939
2022-10-26,39.04593
2022-10-27,35.42402
2022-10-28,33.5689
2022-10-29,15.98939
2022-10-30,16.16607
2022-10-31,42.22614
2022-11-01,36.74911
2022-11-02,36.48409
2022-11-03,32.06713
2022-11-04,32.06713
2022-11-05,19.43462
2022-11-06,15.28268
2022-11-07,35.95406
2022-11-08,35.95406
2022-11-09,37.89752
2022-11-10,28.18021
2022-11-11,30.74204
2022-11-12,14.04593
2022-11-13,16.51943
2022-11-14,38.86925
2022-11-15,38.16254
2022-11-16,38.86925
2022-11-17,27.0318
2022-11-18,27.12014
2022-11-19,15.98939
2022-11-20,17.22614
2022-11-21,40.72438
2022-11-22,33.83392
2022-11-23,34.0106
2022-11-24,32.15547
2022-11-25,29.5053
2022-11-26,14.92932
2022-11-27,17.40282
2022-11-28,34.45229
2022-11-29,31.5371
2022-11-30,35.33568
2022-12-01,35.24734
2022-12-02,32.77385
2022-12-03,14.75265
2022-12-04,15.45936
2022-12-05,36.21908
2022-12-06,30.83038
2022-12-07,34.18727
2022-12-08,32.50883
2022-12-09,33.92226
2022-12-10,15.45936
2022-12-11,15.45936
2022-12-12,39.84098
2022-12-13,33.21554
2022-12-14,35.86572
2022-12-15,32.06713
2022-12-16,32.95053
2022-12-17,18.63957
2022-12-18,16.16607
2022-12-19,41.07773
2022-12-20,37.6325
2022-12-21,33.03886
2022-12-22,32.33215
2022-12-23,32.15547
2022-12-24,21.20141
2022-12-25,15.106
2022-12-26,43.28621
2022-12-27,35.07067
2022-12-28,33.92226
2022-12-29,30.83038
2022-12-30,33.83392
2022-12-31,15.98939
2023-01-01,19.96466
2023-01-02,37.80918
2023-01-03,34.09893
2023-01-04,31.5371
2023-01-05,31.89045
2023-01-06,28.00353
2023-01-07,15.01766
2023-01-08,13.69257
2023-01-09,34.09893
2023-01-10,31.36042
2023-01-11,32.50883
2023-01-12,33.1272
2023-01-13,30.38869
2023-01-14,14.13427
2023-01-15,18.19787
2023-01-16,37.72084
2023-01-17,33.39222
2023-01-18,32.06713
2023-01-19,29.24028
2023-01-20,28.09187
2023-01-21,15.45936
2023-01-22,11.48409
2023-01-23,15.72438
2023-01-24,17.93286
2023-01-25,57.50883
2023-01-26,36.48409
2023-01-27,33.39222
2023-01-28,18.63957
2023-01-29,15.81272
2023-01-30,36.74911
2023-01-31,36.0424
2023-02-01,36.0424
2023-02-02,34.71731
2023-02-03,31.27208
2023-02-04,18.99293
2023-02-05,16.43109
2023-02-06,41.16607
2023-02-07,35.42402
2023-02-08,35.07067
2023-02-09,33.30388
2023-02-10,31.44876
2023-02-11,17.31448
2023-02-12,19.08127
2023-02-13,41.69611
2023-02-14,41.07773
2023-02-15,36.21908
2023-02-16,33.21554
2023-02-17,35.42402
2023-02-18,18.72791
2023-02-19,20.84805
2023-02-20,40.19434
2023-02-21,38.60424
2023-02-22,37.98586
2023-02-23,38.5159
2023-02-24,38.5159
