date,알트코인
2022-09-13,0.50321
2022-09-14,0.3895
2022-09-15,0.35805
2022-09-16,0.32418
2022-09-17,0.24677
2022-09-18,0.22983
2022-09-19,0.52015
2022-09-20,0.34596
2022-09-21,0.2758
2022-09-22,0.3508
2022-09-23,0.48628
2022-09-24,0.2637
2022-09-25,0.22499
2022-09-26,0.36289
2022-09-27,0.2758
2022-09-28,0.36289
2022-09-29,0.29999
2022-09-30,0.35563
2022-10-01,0.23709
2022-10-02,0.24918
2022-10-03,0.23467
2022-10-04,0.24193
2022-10-05,0.27338
2022-10-06,0.30241
2022-10-07,0.37499
2022-10-08,0.3895
2022-10-09,0.22015
2022-10-10,0.14999
2022-10-11,0.36531
2022-10-12,0.31934
2022-10-13,0.97014
2022-10-14,0.31451
2022-10-15,0.21289
2022-10-16,0.19838
2022-10-17,0.20322
2022-10-18,0.24918
2022-10-19,0.20322
2022-10-20,0.21289
2022-10-21,0.30725
2022-10-22,0.1887
2022-10-23,0.16451
2022-10-24,0.21773
2022-10-25,0.28064
2022-10-26,0.35805
2022-10-27,0.41128
2022-10-28,0.22983
2022-10-29,0.19596
2022-10-30,0.24677
2022-10-31,0.34596
2022-11-01,0.30483
2022-11-02,0.33144
2022-11-03,0.28789
2022-11-04,0.30967
2022-11-05,0.33628
2022-11-06,0.23709
2022-11-07,0.29515
2022-11-08,0.59031
2022-11-09,0.96772
2022-11-10,0.94837
2022-11-11,0.45967
2022-11-12,0.39918
2022-11-13,0.36773
2022-11-14,0.63628
2022-11-15,0.42821
2022-11-16,0.28064
2022-11-17,0.24918
2022-11-18,0.24193
2022-11-19,0.27822
2022-11-20,0.40886
2022-11-21,0.41612
2022-11-22,0.28064
2022-11-23,0.32902
2022-11-24,0.36773
2022-11-25,0.33144
2022-11-26,0.22983
2022-11-27,0.19112
2022-11-28,0.3508
2022-11-29,0.23951
2022-11-30,0.23951
2022-12-01,0.24677
2022-12-02,0.26854
2022-12-03,0.15725
2022-12-04,0.23467
2022-12-05,0.32902
2022-12-06,0.25644
2022-12-07,0.34112
2022-12-08,0.35805
2022-12-09,0.29757
2022-12-10,0.15483
2022-12-11,0.20564
2022-12-12,0.34838
2022-12-13,0.37015
2022-12-14,0.28064
2022-12-15,0.30241
2022-12-16,0.22015
2022-12-17,0.36047
2022-12-18,0.24193
2022-12-19,0.29515
2022-12-20,0.33628
2022-12-21,0.22257
2022-12-22,0.24677
2022-12-23,0.22741
2022-12-24,0.16209
2022-12-25,0.18386
2022-12-26,0.23225
2022-12-27,0.36773
2022-12-28,0.42579
2022-12-29,0.3508
2022-12-30,0.30725
2022-12-31,0.17419
2023-01-01,0.22741
2023-01-02,0.36289
2023-01-03,0.24435
2023-01-04,0.28064
2023-01-05,0.46692
2023-01-06,0.41612
2023-01-07,0.17177
2023-01-08,0.25886
2023-01-09,0.41128
2023-01-10,0.34112
2023-01-11,0.30967
2023-01-12,0.30483
2023-01-13,0.29515
2023-01-14,0.63628
2023-01-15,0.47418
2023-01-16,0.47902
2023-01-17,0.49837
2023-01-18,0.46208
2023-01-19,0.3387
2023-01-20,0.29273
2023-01-21,0.44031
2023-01-22,0.37983
2023-01-23,0.36289
2023-01-24,0.5395
2023-01-25,0.51047
2023-01-26,0.46692
2023-01-27,0.35322
2023-01-28,0.32902
2023-01-29,0.31934
2023-01-30,0.58305
2023-01-31,0.42096
2023-02-01,0.37015
2023-02-02,0.51047
2023-02-03,0.35805
2023-02-04,0.39192
2023-02-05,0.71369
2023-02-06,0.70885
2023-02-07,0.50563
2023-02-08,0.40644
2023-02-09,0.43547
2023-02-10,0.49354
2023-02-11,0.28547
2023-02-12,0.35805
2023-02-13,0.51773
2023-02-14,0.40886
2023-02-15,0.37015
2023-02-16,0.59757
2023-02-17,0.4766
2023-02-18,0.39192
2023-02-19,0.42821
2023-02-20,0.53708
2023-02-21,0.60966
2023-02-22,0.42821
2023-02-23,0.36773
2023-02-24,0.35563
2023-02-25,0.3266
2023-02-26,0.28547
2023-02-27,0.36047
2023-02-28,0.36531
2023-03-01,0.31451
2023-03-02,0.41612
2023-03-03,0.50079
2023-03-04,0.24193
2023-03-05,0.3266
2023-03-06,0.37499
2023-03-07,0.29273
2023-03-08,0.29757
2023-03-09,0.35322
2023-03-10,0.3895
2023-03-11,0.51289
2023-03-12,0.42096
2023-03-13,0.44031
2023-03-14,0.82256
2023-03-15,0.58305
2023-03-16,0.89998
2023-03-17,0.73547
2023-03-18,0.72095
2023-03-19,0.46692
2023-03-20,0.85643
2023-03-21,1.18788
2023-03-22,0.87095
2023-03-23,0.74514
2023-03-24,0.65805
2023-03-25,0.44999
2023-03-26,0.36047
2023-03-27,0.88546
2023-03-28,0.79837
2023-03-29,0.80321
2023-03-30,0.80079
2023-03-31,0.49595
2023-04-01,0.44031
2023-04-02,0.43547
2023-04-03,0.43547
2023-04-04,0.48386
2023-04-05,0.61208
2023-04-06,0.51531
2023-04-07,0.39676
2023-04-08,0.26128
2023-04-09,0.39918
2023-04-10,0.44757
2023-04-11,0.75482
2023-04-12,0.88788
2023-04-13,0.59273
2023-04-14,0.63144
2023-04-15,0.43547
2023-04-16,0.32902
2023-04-17,0.65805
2023-04-18,0.52015
2023-04-19,0.72337
2023-04-20,0.4645
2023-04-21,0.45725
2023-04-22,0.38709
2023-04-23,0.30967
2023-04-24,0.45483
2023-04-25,0.51047
2023-04-26,0.39192
2023-04-27,0.4766
2023-04-28,0.47176
2023-04-29,0.30967
2023-04-30,0.35563
2023-05-01,0.47418
2023-05-02,0.42096
2023-05-03,0.37983
2023-05-04,0.34354
2023-05-05,0.37257
2023-05-06,0.51289
2023-05-07,0.45967
2023-05-08,0.79353
2023-05-09,0.69434
2023-05-10,0.43789
2023-05-11,0.43305
2023-05-12,0.56853
2023-05-13,0.39676
2023-05-14,0.27338
2023-05-15,0.39192
2023-05-16,0.39918
2023-05-17,0.41128
2023-05-18,1.44191
2023-05-19,0.87337
2023-05-20,0.29031
2023-05-21,0.3508
2023-05-22,0.43789
2023-05-23,0.37499
2023-05-24,0.43789
2023-05-25,0.4137
2023-05-26,0.4645
2023-05-27,0.29999
