date,재택근무직업
2022-08-23,38.48484
2022-08-24,33.63636
2022-08-25,27.57575
2022-08-26,21.81818
2022-08-27,20.60606
2022-08-28,20.60606
2022-08-29,39.69696
2022-08-30,36.0606
2022-08-31,34.24242
2022-09-01,21.81818
2022-09-02,24.24242
2022-09-03,16.36363
2022-09-04,29.0909
2022-09-05,36.96969
2022-09-06,30.0
2022-09-07,25.45454
2022-09-08,18.78787
2022-09-09,14.24242
2022-09-10,12.72727
2022-09-11,17.87878
2022-09-12,23.93939
2022-09-13,44.24242
2022-09-14,29.0909
2022-09-15,27.57575
2022-09-16,30.60606
2022-09-17,16.96969
2022-09-18,26.66666
2022-09-19,36.96969
2022-09-20,32.72727
2022-09-21,30.60606
2022-09-22,31.51515
2022-09-23,21.51515
2022-09-24,14.54545
2022-09-25,20.0
2022-09-26,37.57575
2022-09-27,25.15151
2022-09-28,28.78787
2022-09-29,33.63636
2022-09-30,23.93939
2022-10-01,13.93939
2022-10-02,20.0
2022-10-03,36.96969
2022-10-04,35.15151
2022-10-05,34.54545
2022-10-06,30.90909
2022-10-07,28.18181
2022-10-08,16.96969
2022-10-09,24.24242
2022-10-10,25.15151
2022-10-11,38.78787
2022-10-12,32.12121
2022-10-13,26.96969
2022-10-14,24.84848
2022-10-15,16.36363
2022-10-16,29.39393
2022-10-17,42.42424
2022-10-18,41.81818
2022-10-19,34.24242
2022-10-20,33.63636
2022-10-21,29.69696
2022-10-22,23.93939
2022-10-23,33.93939
2022-10-24,37.57575
2022-10-25,32.72727
2022-10-26,37.27272
2022-10-27,29.39393
2022-10-28,23.63636
2022-10-29,21.81818
2022-10-30,18.18181
2022-10-31,28.78787
2022-11-01,39.39393
2022-11-02,35.45454
2022-11-03,28.18181
2022-11-04,32.12121
2022-11-05,19.39393
2022-11-06,30.90909
2022-11-07,38.18181
2022-11-08,27.57575
2022-11-09,27.57575
2022-11-10,31.21212
2022-11-11,24.84848
2022-11-12,20.90909
2022-11-13,24.84848
2022-11-14,41.81818
2022-11-15,41.21212
2022-11-16,36.0606
2022-11-17,45.75757
2022-11-18,32.12121
2022-11-19,19.69696
2022-11-20,26.96969
2022-11-21,49.69696
2022-11-22,36.96969
2022-11-23,36.36363
2022-11-24,35.45454
2022-11-25,24.54545
2022-11-26,19.39393
2022-11-27,25.15151
2022-11-28,43.0303
2022-11-29,34.24242
2022-11-30,34.24242
2022-12-01,28.18181
2022-12-02,27.27272
2022-12-03,14.54545
2022-12-04,28.18181
2022-12-05,40.60606
2022-12-06,31.81818
2022-12-07,37.87878
2022-12-08,31.81818
2022-12-09,34.54545
2022-12-10,19.39393
2022-12-11,30.0
2022-12-12,39.69696
2022-12-13,38.18181
2022-12-14,37.27272
2022-12-15,49.39393
2022-12-16,34.54545
2022-12-17,24.84848
2022-12-18,30.90909
2022-12-19,48.18181
2022-12-20,42.12121
2022-12-21,35.75757
2022-12-22,31.51515
2022-12-23,33.63636
2022-12-24,20.60606
2022-12-25,26.0606
2022-12-26,41.51515
2022-12-27,41.51515
2022-12-28,41.51515
2022-12-29,45.75757
2022-12-30,31.21212
2022-12-31,16.96969
2023-01-01,33.0303
2023-01-02,36.66666
2023-01-03,37.57575
2023-01-04,41.21212
2023-01-05,42.12121
2023-01-06,37.87878
2023-01-07,24.24242
2023-01-08,33.33333
2023-01-09,54.54545
2023-01-10,36.36363
2023-01-11,41.81818
2023-01-12,50.30303
2023-01-13,39.69696
2023-01-14,25.15151
2023-01-15,35.75757
2023-01-16,43.93939
2023-01-17,39.0909
2023-01-18,40.30303
2023-01-19,47.57575
2023-01-20,25.75757
2023-01-21,17.87878
2023-01-22,21.81818
2023-01-23,31.51515
2023-01-24,28.48484
2023-01-25,48.18181
2023-01-26,44.24242
2023-01-27,36.0606
2023-01-28,23.33333
2023-01-29,32.42424
2023-01-30,51.81818
2023-01-31,43.33333
2023-02-01,40.90909
2023-02-02,46.96969
2023-02-03,33.63636
2023-02-04,28.18181
2023-02-05,41.81818
2023-02-06,53.0303
2023-02-07,45.75757
2023-02-08,43.63636
2023-02-09,48.48484
2023-02-10,39.69696
2023-02-11,24.54545
2023-02-12,35.45454
2023-02-13,52.12121
2023-02-14,46.66666
2023-02-15,42.72727
2023-02-16,44.84848
2023-02-17,36.96969
2023-02-18,33.33333
2023-02-19,30.0
2023-02-20,55.75757
2023-02-21,49.39393
2023-02-22,44.24242
2023-02-23,56.66666
2023-02-24,43.63636
2023-02-25,31.21212
2023-02-26,29.69696
2023-02-27,43.93939
2023-02-28,49.39393
2023-03-01,43.93939
2023-03-02,50.0
2023-03-03,36.0606
2023-03-04,30.0
2023-03-05,38.18181
2023-03-06,53.0303
2023-03-07,49.69696
2023-03-08,44.24242
2023-03-09,45.75757
2023-03-10,28.18181
2023-03-11,20.90909
2023-03-12,29.69696
2023-03-13,45.45454
2023-03-14,45.45454
2023-03-15,49.0909
2023-03-16,43.93939
2023-03-17,31.81818
2023-03-18,28.18181
2023-03-19,28.48484
2023-03-20,53.93939
2023-03-21,49.39393
2023-03-22,42.42424
2023-03-23,36.96969
2023-03-24,33.63636
2023-03-25,21.81818
2023-03-26,33.33333
2023-03-27,62.12121
2023-03-28,47.87878
2023-03-29,36.96969
2023-03-30,34.54545
2023-03-31,35.15151
2023-04-01,21.51515
2023-04-02,28.18181
2023-04-03,39.69696
2023-04-04,38.78787
2023-04-05,39.69696
2023-04-06,46.66666
2023-04-07,33.0303
2023-04-08,23.0303
2023-04-09,31.81818
2023-04-10,45.45454
2023-04-11,43.63636
2023-04-12,45.75757
2023-04-13,37.57575
2023-04-14,29.69696
2023-04-15,23.0303
2023-04-16,38.48484
2023-04-17,48.48484
2023-04-18,39.69696
2023-04-19,33.93939
2023-04-20,35.45454
2023-04-21,30.60606
2023-04-22,21.21212
2023-04-23,34.24242
2023-04-24,37.87878
2023-04-25,44.84848
2023-04-26,40.90909
2023-04-27,26.36363
2023-04-28,33.33333
2023-04-29,25.15151
2023-04-30,26.36363
2023-05-01,36.66666
2023-05-02,43.0303
2023-05-03,42.12121
2023-05-04,35.75757
2023-05-05,27.87878
2023-05-06,29.39393
2023-05-07,29.69696
2023-05-08,53.0303
2023-05-09,49.0909
2023-05-10,43.0303
2023-05-11,42.12121
2023-05-12,34.24242
2023-05-13,21.81818
2023-05-14,21.21212
2023-05-15,42.72727
