date,달러인덱스
2022-08-20,14.10881
2022-08-21,6.42589
2022-08-22,41.38367
2022-08-23,51.68855
2022-08-24,43.18011
2022-08-25,38.42401
2022-08-26,33.59287
2022-08-27,15.9287
2022-08-28,5.98968
2022-08-29,40.79737
2022-08-30,38.30206
2022-08-31,39.71857
2022-09-01,43.58818
2022-09-02,46.31801
2022-09-03,15.93808
2022-09-04,6.11632
2022-09-05,44.55909
2022-09-06,47.62195
2022-09-07,58.48968
2022-09-08,53.40525
2022-09-09,38.89774
2022-09-10,19.61069
2022-09-11,8.95872
2022-09-12,37.44371
2022-09-13,66.75891
2022-09-14,64.48405
2022-09-15,54.69043
2022-09-16,53.82739
2022-09-17,19.27298
2022-09-18,7.78142
2022-09-19,47.41088
2022-09-20,47.6923
2022-09-21,54.67636
2022-09-22,76.94652
2022-09-23,61.78236
2022-09-24,25.54878
2022-09-25,10.67073
2022-09-26,73.43808
2022-09-27,79.10412
2022-09-28,96.29455
2022-09-29,100.0
2022-09-30,87.0544
2022-10-01,25.54878
2022-10-02,11.57598
2022-10-03,61.92307
2022-10-04,78.86022
2022-10-05,90.32363
2022-10-06,90.77861
2022-10-07,71.57598
2022-10-08,23.30675
2022-10-09,9.62476
2022-10-10,46.89962
2022-10-11,68.04409
2022-10-12,63.70544
2022-10-13,61.94652
2022-10-14,63.33958
2022-10-15,21.54784
2022-10-16,9.18855
2022-10-17,47.8424
2022-10-18,58.50375
2022-10-19,59.77954
2022-10-20,53.3818
2022-10-21,57.55159
2022-10-22,21.33208
2022-10-23,7.37804
2022-10-24,49.29174
2022-10-25,53.4287
2022-10-26,64.02439
2022-10-27,68.97748
2022-10-28,56.87617
2022-10-29,17.60318
2022-10-30,6.70262
2022-10-31,42.71575
2022-11-01,50.35647
2022-11-02,48.80863
2022-11-03,63.50375
2022-11-04,49.22607
2022-11-05,20.56285
2022-11-06,7.35928
2022-11-07,54.57317
2022-11-08,63.96341
2022-11-09,68.46153
2022-11-10,67.80018
2022-11-11,77.9409
2022-11-12,24.38086
2022-11-13,9.05722
2022-11-14,56.16322
2022-11-15,60.03283
2022-11-16,54.43245
2022-11-17,54.24015
2022-11-18,45.75046
2022-11-19,15.07973
2022-11-20,5.80206
2022-11-21,40.49718
2022-11-22,46.57129
2022-11-23,40.38461
2022-11-24,44.58724
2022-11-25,36.95121
2022-11-26,14.03377
2022-11-27,5.42682
2022-11-28,35.57223
2022-11-29,40.96153
2022-11-30,39.29174
2022-12-01,47.27485
2022-12-02,43.01594
2022-12-03,15.04221
2022-12-04,5.51594
2022-12-05,34.10412
2022-12-06,44.71388
2022-12-07,44.64352
2022-12-08,39.11819
2022-12-09,36.11163
2022-12-10,13.2317
2022-12-11,5.27673
2022-12-12,27.75328
2022-12-13,38.67729
2022-12-14,40.27673
2022-12-15,45.06566
2022-12-16,38.27392
2022-12-17,13.27392
2022-12-18,5.25797
2022-12-19,26.909
2022-12-20,41.64634
2022-12-21,38.27392
2022-12-22,37.84709
2022-12-23,33.50375
2022-12-24,11.37898
2022-12-25,3.94934
2022-12-26,15.66135
2022-12-27,25.71294
2022-12-28,29.91088
2022-12-29,28.46153
2022-12-30,25.27204
2022-12-31,9.70919
2023-01-01,4.15103
2023-01-02,16.23358
2023-01-03,31.6651
2023-01-04,33.02532
2023-01-05,29.92964
2023-01-06,35.4878
2023-01-07,15.3893
2023-01-08,4.63883
2023-01-09,30.41275
2023-01-10,37.34052
2023-01-11,31.80581
2023-01-12,34.04315
2023-01-13,35.9756
2023-01-14,11.98405
2023-01-15,4.21669
2023-01-16,26.51031
2023-01-17,29.77016
2023-01-18,36.51031
2023-01-19,33.4287
2023-01-20,26.63696
2023-01-21,10.64258
2023-01-22,3.90712
2023-01-23,14.62476
2023-01-24,23.40056
2023-01-25,28.93527
2023-01-26,28.30206
2023-01-27,26.909
2023-01-28,11.18667
2023-01-29,4.89212
2023-01-30,22.51876
2023-01-31,30.10787
2023-02-01,25.90994
2023-02-02,33.9212
2023-02-03,33.40525
